university_name,course_name,abbrv,direct_entry_requirements,utme_requirements,subjects
UNIVERSITY OF MAIDUGURI  eLEARNING MAIDUGURI BORNO STATE,ACCOUNTING,MAIDUGURI-ELUON,.,"Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) subjects","Economics, Mathematics and any other Arts or Social Science subject."
UNIVERSITY OF MAIDUGURI  eLEARNING MAIDUGURI BORNO STATE,BANKING AND FINANCE,MAIDUGURI-ELUON,.,"Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) subjects","Economics, Mathematics and any other Arts or Social Science subject."
UNIVERSITY OF MAIDUGURI  eLEARNING MAIDUGURI BORNO STATE,BUSINESS ADMINISTRATION,MAIDUGURI-ELUON,.,"Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) subjects","Economics, Mathematics and any other Arts or Social Science subject."
UNIVERSITY OF MAIDUGURI  eLEARNING MAIDUGURI BORNO STATE,ECONOMICS,MAIDUGURI-ELUON,.,"Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) subjects","Economics, Mathematics and any other Arts or Social Science subject."
UNIVERSITY OF MAIDUGURI  eLEARNING MAIDUGURI BORNO STATE,MARKETING,MAIDUGURI-ELUON,.,"Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) subjects","Economics, Mathematics and any other Arts or Social Science subject."
NATIONAL OPEN UNIVERSITY OF NIGERIAN Elearning LAGOS STATE,ACCOUNTING,NOUN-ELUON,.,"Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) subjects","Economics, Mathematics and any other Arts or Social Science subject."
NATIONAL OPEN UNIVERSITY OF NIGERIAN Elearning LAGOS STATE,BANKING & FINANCE,NOUN-ELUON,.,"Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) subjects","Economics, Mathematics and any other Arts or Social Science subject."
NATIONAL OPEN UNIVERSITY OF NIGERIAN Elearning LAGOS STATE,BUSINESS ADMINISTRATION,NOUN-ELUON,.,"Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) subjects","Economics, Mathematics and any other Arts or Social Science subject."
NATIONAL OPEN UNIVERSITY OF NIGERIAN Elearning LAGOS STATE,ECONOMICS,NOUN-ELUON,.,"Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) subjects","Economics, Mathematics and any other Arts or Social Science subject."
NATIONAL OPEN UNIVERSITY OF NIGERIAN Elearning LAGOS STATE,MARKETING,NOUN-ELUON,.,"Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) subjects","Economics, Mathematics and any other Arts or Social Science subject."
NATIONAL OPEN UNIVERSITY OF NIGERIAN Elearning LAGOS STATE,PUBLIC ADMINISTRATION,NOUN-ELUON,.,"Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) subjects","Economics, Mathematics and any other Arts or Social Science subject."
UNIVERSITY OF UYO E LEARNING UYO AKWA IBOM STATE,ACCOUNTING,UYO-ELUON,.,"Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) subjects","Economics, Mathematics and any other Arts or Social Science subject."
UNIVERSITY OF UYO E LEARNING UYO AKWA IBOM STATE,BANKING AND FINANCE,UYO-ELUON,.,"Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) subjects","Economics, Mathematics and any other Arts or Social Science subject."
UNIVERSITY OF UYO E LEARNING UYO AKWA IBOM STATE,BUSINESS ADMINISTRATION,UYO-ELUON,.,"Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) subjects","Economics, Mathematics and any other Arts or Social Science subject."
UNIVERSITY OF UYO E LEARNING UYO AKWA IBOM STATE,ECONOMICS,UYO-ELUON,.,"Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) subjects","Economics, Mathematics and any other Arts or Social Science subject."
