university_name,state,program_type
UNIVERSITY OF MAIDUGURI  eLEARNING MAIDUGURI BORNO STATE,BORNO,E LEARNING UNIVERSITIES OF NIGERIA
NATIONAL OPEN UNIVERSITY OF NIGERIAN Elearning LAGOS STATE,LAGOS,E LEARNING UNIVERSITIES OF NIGERIA
UNIVERSITY OF UYO E LEARNING UYO AKWA IBOM STATE,AKWA IBOM,E LEARNING UNIVERSITIES OF NIGERIA
USMANU DANFODIYO UNIVERSITY  eLEARNING SOKOTO SOKOTO STATE,SOKOTO,E LEARNING UNIVERSITIES OF NIGERIA
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,IMO,STATE UNIVERSITIES OF AGRICULTURE
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,ONDO,STATE UNIVERSITIES OF MEDICAL SCIENCES
STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES IGBO ENO ENUGU STATE,ENUGU,STATE UNIVERSITIES OF MEDICAL SCIENCES
UNIVERSITY OF MAIDUGURI SANDWICH PROGRAMME BORNO STATE,BORNO,SANDWICH PROGRAMMES
NATIONAL OPEN UNIVERSITY OF NIGERIA JABI ABUJA FCT,"FCT, ABUJA",OPEN AND DISTANCE LEARNING PROGRAMMES
AL MUHIBBAH OPEN UNIVERSITY KUBWA ABUJA,"FCT, ABUJA",OPEN AND DISTANCE LEARNING PROGRAMMES
MIVA OPEN UNIVERSITY UTAKO ABUJA,"FCT, ABUJA",OPEN AND DISTANCE LEARNING PROGRAMMES
AHMADU BELLO UNIVERSITY OPEN & DISTANCE LEARNING PROGRAMME ZARIA KADUNA STATE,KADUNA,OPEN AND DISTANCE LEARNING PROGRAMMES
ICONIC OPEN UNIVERSITY SOKOTO SOKOTO STATE,SOKOTO,OPEN AND DISTANCE LEARNING PROGRAMMES
BAUCHI STATE UNIVERSITY GADAU BAUCHI STATE,BAUCHI,STATE UNIVERSITIES
BORNO STATE UNIVERSITY MAIDUGURI BORNO STATE,BORNO,STATE UNIVERSITIES
PLATEAU STATE UNIVERSITY BOKKOS PLATEAU STATE,PLATEAU,STATE UNIVERSITIES
SHEHU SHAGARI UNIVERSITY OF EDUCATION TAMBUWAL SOKOTO STATE,SOKOTO,STATE UNIVERSITIES
SOKOTO STATE UNIVERSITY SOKOTO SOKOTO STATE,SOKOTO,STATE UNIVERSITIES
SULTAN ABUBAKAR UNIVERSITY OF EDUCATION TAMBUWAL SOKOTO STATE,SOKOTO,STATE UNIVERSITIES
AKWA IBOM STATE UNIVERSITY IKOT AKPADEN AKWA IBOM STATE,AKWA IBOM,STATE UNIVERSITIES
ADAMAWA STATE UNIVERSITY MUBI ADAMAWA STATE,ADAMAWA,STATE UNIVERSITIES
ZAMFARA STATE UNIVERSITY TALATA MAFARA ZAMFARA STATE,ZAMFARA,STATE UNIVERSITIES
KWARA STATE UNIVERSITY MALETE ILORIN KWARA STATE,KWARA,STATE UNIVERSITIES
LAGOS STATE UNIVERSITY OF EDUCATION OTOIJANIKIN LAGOS STATE,LAGOS,STATE UNIVERSITIES
LAGOS STATE UNIVERSITY OJO LAGOS STATE,LAGOS,STATE UNIVERSITIES
ADEKUNLE AJASIN UNIVERSITY AKUNGBA AKOKO ONDO STATE,ONDO,STATE UNIVERSITIES
EDO UNIVERSITY IYAMHO EDO STATE,EDO,STATE UNIVERSITIES
AMBROSE ALLI UNIVERSITY EKPOMA EDO STATE,EDO,STATE UNIVERSITIES
YUSUF MAITAMA SULE UNIVERSITY KANO KANO STATE,KANO,STATE UNIVERSITIES
SA'ADATU RIMI UNIVERSITY OF EDUCATION KUMBOTSO KANO STATE,KANO,STATE UNIVERSITIES
EMMANUEL ALAYANDE UNIVERSITY OF EDUCATION OYO OYO STATE,OYO,STATE UNIVERSITIES
FIRST TECHNICAL UNIVERSITY IBADAN OYO STATE,OYO,STATE UNIVERSITIES
UNIVERSITY OF DELTA AGBOR DELTA STATE,DELTA,STATE UNIVERSITIES
DELTA STATE UNIVERSITY ABRAKA DELTA STATE,DELTA,STATE UNIVERSITIES
DENNIS OSADEBAY UNIVERSITY ASABA DELTA STATE,DELTA,STATE UNIVERSITIES
CHUKWUEMEKA ODUMEGWU OJUKWU UNIVERSITY ULI ANAMBRA STATE,ANAMBRA,STATE UNIVERSITIES
EBONYI STATE UNIVERSITY ABAKALIKI EBONYI STATE,EBONYI,STATE UNIVERSITIES
NIGER DELTA UNIVERSITY WILBERFORCE ISLAND BAYELSA STATE,BAYELSA,STATE UNIVERSITIES
UNIVERSITY OF AFRICA TORU ORUA BAYELSA STATE,BAYELSA,STATE UNIVERSITIES
BAYELSA MEDICAL UNIVERSITY YENAGOA BAYELSA STATE,BAYELSA,STATE UNIVERSITIES
