university_name,state,program_type
UNIVERSITY OF MAIDUGURI  eLEARNING MAIDUGURI BORNO STATE,BORNO,E_LEARNING_UNIVERSITIES_OF_NIGERIA
NATIONAL OPEN UNIVERSITY OF NIGERIAN Elearning LAGOS STATE,LAGOS,E_LEARNING_UNIVERSITIES_OF_NIGERIA
UNIVERSITY OF UYO E LEARNING UYO AKWA IBOM STATE,AKWA IBOM,E_LEARNING_UNIVERSITIES_OF_NIGERIA
USMANU DANFODIYO UNIVERSITY  eLEARNING SOKOTO SOKOTO STATE,SOKOTO,E_LEARNING_UNIVERSITIES_OF_NIGERIA
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,IMO,STATE_UNIVERSITIES_OF_AGRICULTURE
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,ONDO,STATE_UNIVERSITIES_OF_MEDICAL_SCIENCES
STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES IGBO ENO ENUGU STATE,ENUGU,STATE_UNIVERSITIES_OF_MEDICAL_SCIENCES
UNIVERSITY OF MAIDUGURI SANDWICH PROGRAMME BORNO STATE,BORNO,SANDWICH_PROGRAMMES
NATIONAL OPEN UNIVERSITY OF NIGERIA JABI ABUJA FCT,"FCT, ABUJA",OPEN_AND_DISTANCE_LEARNING_PROGRAMMES
AL MUHIBBAH OPEN UNIVERSITY KUBWA ABUJA,"FCT, ABUJA",OPEN_AND_DISTANCE_LEARNING_PROGRAMMES
MIVA OPEN UNIVERSITY UTAKO ABUJA,"FCT, ABUJA",OPEN_AND_DISTANCE_LEARNING_PROGRAMMES
AHMADU BELLO UNIVERSITY OPEN & DISTANCE LEARNING PROGRAMME ZARIA KADUNA STATE,KADUNA,OPEN_AND_DISTANCE_LEARNING_PROGRAMMES
ICONIC OPEN UNIVERSITY SOKOTO SOKOTO STATE,SOKOTO,OPEN_AND_DISTANCE_LEARNING_PROGRAMMES
BAUCHI STATE UNIVERSITY GADAU BAUCHI STATE,BAUCHI,STATE_UNIVERSITIES
BORNO STATE UNIVERSITY MAIDUGURI BORNO STATE,BORNO,STATE_UNIVERSITIES
PLATEAU STATE UNIVERSITY BOKKOS PLATEAU STATE,PLATEAU,STATE_UNIVERSITIES
SHEHU SHAGARI UNIVERSITY OF EDUCATION TAMBUWAL SOKOTO STATE,SOKOTO,STATE_UNIVERSITIES
SOKOTO STATE UNIVERSITY SOKOTO SOKOTO STATE,SOKOTO,STATE_UNIVERSITIES
SULTAN ABUBAKAR UNIVERSITY OF EDUCATION TAMBUWAL SOKOTO STATE,SOKOTO,STATE_UNIVERSITIES
AKWA IBOM STATE UNIVERSITY IKOT AKPADEN AKWA IBOM STATE,AKWA IBOM,STATE_UNIVERSITIES
ADAMAWA STATE UNIVERSITY MUBI ADAMAWA STATE,ADAMAWA,STATE_UNIVERSITIES
ZAMFARA STATE UNIVERSITY TALATA MAFARA ZAMFARA STATE,ZAMFARA,STATE_UNIVERSITIES
KWARA STATE UNIVERSITY MALETE ILORIN KWARA STATE,KWARA,STATE_UNIVERSITIES
LAGOS STATE UNIVERSITY OF EDUCATION OTOIJANIKIN LAGOS STATE,LAGOS,STATE_UNIVERSITIES
LAGOS STATE UNIVERSITY OJO LAGOS STATE,LAGOS,STATE_UNIVERSITIES
ADEKUNLE AJASIN UNIVERSITY AKUNGBA AKOKO ONDO STATE,ONDO,STATE_UNIVERSITIES
EDO UNIVERSITY IYAMHO EDO STATE,EDO,STATE_UNIVERSITIES
AMBROSE ALLI UNIVERSITY EKPOMA EDO STATE,EDO,STATE_UNIVERSITIES
YUSUF MAITAMA SULE UNIVERSITY KANO KANO STATE,KANO,STATE_UNIVERSITIES
SA'ADATU RIMI UNIVERSITY OF EDUCATION KUMBOTSO KANO STATE,KANO,STATE_UNIVERSITIES
EMMANUEL ALAYANDE UNIVERSITY OF EDUCATION OYO OYO STATE,OYO,STATE_UNIVERSITIES
FIRST TECHNICAL UNIVERSITY IBADAN OYO STATE,OYO,STATE_UNIVERSITIES
UNIVERSITY OF DELTA AGBOR DELTA STATE,DELTA,STATE_UNIVERSITIES
DELTA STATE UNIVERSITY ABRAKA DELTA STATE,DELTA,STATE_UNIVERSITIES
DENNIS OSADEBAY UNIVERSITY ASABA DELTA STATE,DELTA,STATE_UNIVERSITIES
CHUKWUEMEKA ODUMEGWU OJUKWU UNIVERSITY ULI ANAMBRA STATE,ANAMBRA,STATE_UNIVERSITIES
EBONYI STATE UNIVERSITY ABAKALIKI EBONYI STATE,EBONYI,STATE_UNIVERSITIES
NIGER DELTA UNIVERSITY WILBERFORCE ISLAND BAYELSA STATE,BAYELSA,STATE_UNIVERSITIES
