Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,"·         ND Lower credit

·         Two (2) A’ level subjects including Accounting and either Economics or Business Management

·         JUPEB

Special consideration

B.Sc. with a minimum of 22 or HND with lower credit in any social science discipline

Caveat: Candidate must meet O’ level requirements for direct entry.","Credit passes in English Language, Mathematics, Economics, and anyone (1) social science and any one (1) science subject.","Use of English, Mathematics, Economics and any other social science subject."
AGRICULTURAL SCIENCE AND EDUCATION,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,"NCE in Agric Education (DM) at merit level, A’ level/OND in Agric Science","Credit Passes in English Language, Mathematics, Agric Science and any two Science subject from Biology, Chemistry, Economics, Geography.","Use of English, Agric Science any two subjects from Biology/Mathematics/ Chemistry, Economics, Geography"
AGRICULTURE,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ANATOMY,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,"i.      HSC (High School Certificate)

ii.      G.C.E. A-Level with Credit in Biology, Chemistry, and Physics.

iii.      A credit pass in A level in either JUPEB or IJAMB in Physics, Chemistry, and Biology.

iv     Credit passes in all the required O’ level subjects in addition to all the above.","Credit passes in English Language, Mathematics, Physics, Biology, and Chemistry. (All obtained in one sitting)","Use of English, Biology, Chemistry and Physics"
APPLIED GEOPHYSICS,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,"(i) Two (2) ‘A’ Level passes from Geology, Geophysics, Chemistry, Mathematics, Physics, Geography, and Biology","Five (5) SSC Credit passes in English Language, Physics, Mathematics, Chemistry, Physics and Biology","Any three (3) of Physics, Mathematics, Chemistry, Biology and Geography"
ARCHITECTURE,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
AUTOMOBILE TECHNOLOGY EDUCATION,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,[Not Available],[Not Available],[Not Available]
BANKING & FINANCE,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,"ND Lower Credit Two (2) A’ Level Two(2) A’Level Subjects one of which should be banking and finance or Accounting and either Economics or Business Management. JUPEB Special Consideration BSc with a minimum of 2-2 or HND with lower credit in any social science discipline Foundation international exams such as CIBN, ICAN, ACCA, ICMA GPFA……… CAVEATS Candidate must meet o’ level requirement for direct entry","Five (5) SSCE credit passes in English Language, Maths, economics and two Other relevant subjects","Mathematics, Economics and any other social science subject"
BIOCHEMISTRY,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,"HND, OND, NCE, A-Level","Credit passes in English Language, Mathematics, Biology, Chemistry, Physics","Use of English, Biology, Chemistry and Physics"
BIOTECHNOLOGY,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,"i.            Two A “level passes (graded A – E) relevant subjects (Biology, Chemistry, and Physics)

      ii.       ND/NCE with good grades in relevant O’level subjects","Credit Passes in English Language, Mathematics, Physics, Chemistry, and Biology","Use of English, Biology, Chemistry, and Physics or Mathematics."
BOTANY,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUILDING TECHNOLOGY EDUCATION,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
BUSINESS EDUCATION,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,National Certificate of Education (NCE) in Business Education/OND in Business Education.,"Credit Passes in English Language, Mathematics, Economics, Government and science subject (1)","Use of English, Mathematics, Economics and any other one subject."
CHEMICAL ENGINEERING:,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,"i.   Very good passes in three (3) JUPEB/A-Level subjects: Physics, Mathematics, Chemistry.

ii. HND/ND Upper credit or A/Level Cambridge.

iii. Candidate must satisfy the O’ level requirements","Credit Passes in English Language, Mathematics, Chemistry, Physics and Biology","Use of English, Mathematics, Physics and Chemistry"
CHEMISTRY,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,"i.         Two ‘A’level passes in Chemistry and any one of Physics, Mathematics or Biology.

     ii.    ND/NCE with good grades in relevant O’ level subjects","Credit Passes in English Language, Mathematics, Physics, Chemistry and Biology","Use of English, Chemistry and any two of Physics, Biology, and Mathematics"
CHRISTIAN RELIGIOUS STUDIES,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,Two (2) ‘A’ Level passes/NCE to include CRS/Religious Studies.,"Five (5) SSC credit passes in English Language, CRS and three (3) other relevant subjects.",Two (2) Arts subjects including CRS and any other subject.
CIVIL ENGINEERING,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,"i.   Very good passes in three (3) JUPEB/A-Level subjects: Physics, Mathematics, Chemistry.

ii. HND/ND Upper credit or A/Level Cambridge

  iii. Candidate must satisfy the O’ level requirements.","Credit Passes in English language, Mathematics, Physics, Chemistry, and any other science subject.","Use of English, Mathematics, Physics, and Chemistry"
COMPUTER SCIENCE,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,[Not Available],"Credit Passes in English Language, Mathematics, Physics and other two Science subjects from Chemistry, Biology","Use of English, Mathematics, Physics, Chemistry, and Biology"
CRIMINOLOGY & SECURITY STUDIES,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,"All candidates seeking admission by Direct Entry (DE) into the 200 Level must have Advanced Level or its approved equivalent with at least Credit level passes in at least two (2) social science subjects, one of which must be Government. Candidates with acceptable pass in JUBEB and Upper Credit in Ordinary National Diploma (OND) and Higher National Diploma (HND) from approved Polytechnic and Monotechnic Diploma-Awarding Institutions and/or their approved equivalent in the following disciplines: Peaceand Conflict Studies, Criminal Justice Administration, Paralegal Studies, Social Policy, Public Administration, Law, Security and Intelligence, and other related disciplines as well as First Degree in any discipline are also eligible for admission through DE, in addition to satisfying the O’Level minimum requirements. In addition, a minimum of 12 years of practical experience in related fields such as military, police and other State law enforcement agencies, in addition to satisfying the basic O’Level requirements, may be considered for admission into DE—the Officer must be in active service and not below the rank of Major or its equivalent.","For admission into the four-year-degree programme in Criminology and Security Studies, a candidate must have Senior Secondary School Certificate Examination (SSCE) or its equivalent with at least credit level passes in five (5) subjects: English Language, Mathematics, Government, and any other two subjects from: Geography, Economics, History, Civic Education, Financial Accounting, Biology, Chemistry, Physics, Christian Religious Knowledge, French, and Nigerian Languages (i.e. Hausa, Igbo or Yoruba) at not more than two sittings. The candidate must also earn an acceptable score in the Unified Tertiary Matriculation Examination (UTME).","The required UTME subjects are English Language, Government, and any other two subjects from either of Life/Health Sciences, Behavioural/Social Sciences or Arts/Humanities background."
ECONOMICS,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,"Candidates seeking Direct Entry admission into the 200level of the B.Sc. Economics degree program shall possess any of the following qualifications:

a.     GCE Advanced level passes in at least two subjects which must include Economics.

b.     Acceptable passes in JUPEB or its equivalent;

c.      National Diploma Upper Credit or its equivalent in a related field.

d.     Higher National Diploma (HND) Lower Credit in a related field.

e.     NCE credit or its equivalent in related field;

f.    First degree in a related area from a","Credit Passes in English, Mathematics, Economics and any two relevant subjects from the following: Further mathematics, Government, Accounting, Geography, Lit. in English, Commerce, Book Keeping, Civic Education, History, CRK/IRK, any Nigerian Language/French, Physics, Chemistry","Use of English, Mathematics, Economics and any one of the Further Mathematics, Government, Accounting, Geography, Lit. in English, commerce, Book Keeping, Civic Education, History, CRK/IRK"
EDUCATION & BIOLOGY,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,"i.               A pass at merit level in relevant Diploma program with SSCE requirements.

ii.             Advanced level passes in two (2) relevant subjects with SSCE requirements.

iii.           NCE with at least merit pass in 2 relevant subjects or a double major subject with SSCE requirements.

iv.           IJMB passes in two (2) relevant subjects with SSCE requirements.

v.             Any other equivalent qualifications with SSCE requirements.

vi.           Any other equivalent qualifications as may be determined by the Department.","Credit Passes in English Language, Mathematics, Biology and any other two subjects from Chemistry, Physics, Health Science and Agricultural Science.","Use of English, Biology and any other two subjects from Chemistry, Health Science, and Agricultural Science."
EDUCATION AND CHEMISTRY:,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,"i.            A pass at merit level in relevant Diploma Programme with SSCE requirements.

ii.          Advanced level passes in 2 relevant subjects with SSCE requirements.

iii.        NCE with at least merit pass in 2 relevant subjects or a double major subject with SSCE requirements.

iv.        IJMB passes in 2 relevant subjects with SSCE requirements.

v.          Any other equivalent qualifications with SSCE requirements.

vi.     Any other equivalent qualification as may be determined by the Department.","Credit Passes in English Language, Mathematics, Chemistry and any other two subjects from Physics, Biology and Agricultural Science.","Use of English, Chemistry and any other two subjects from Physics, Biology and Mathematics"
EDUCATION AND COMPUTER SCIENCE,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,[Not Available],[Not Available],[Not Available]
EDUCATION AND ECONOMICS,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,[Not Available],[Not Available],[Not Available]
EDUCATION AND ENGLISH AND LITERARY STUDIES,"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",AEFUNA,"Credit in five subjects including English Language, Mathematics, Literature in English and any other two from Arts or Social Sciences and NCE with a minimum of merit pass level.","Credit Passes in English Language, Mathematics, Literature In English and any other two Arts Or Social Science subjects.","Use of English, Literature in English, and any other two Arts or Social Science Subjects."
