Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"FEDERAL UNIVERSITY, BIRNIN-KEBBI, KEBBI STATE",FED-KEBBI,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
ANATOMY,"FEDERAL UNIVERSITY, BIRNIN-KEBBI, KEBBI STATE",FED-KEBBI,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
APPLIED GEOPHYSICS,"FEDERAL UNIVERSITY, BIRNIN-KEBBI, KEBBI STATE",FED-KEBBI,'A' Level passes in Chemistry and Physics or Mathematics.,"Five (5) SSC credit passes including English Language, Mathematics, Physics and Chemistry/Biology.","Any three (3) of Physics, Chemistry, Biology and Mathematics."
ARCHITECTURE,"FEDERAL UNIVERSITY, BIRNIN-KEBBI, KEBBI STATE",FED-KEBBI,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
BIOCHEMISTRY,"FEDERAL UNIVERSITY, BIRNIN-KEBBI, KEBBI STATE",FED-KEBBI,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"FEDERAL UNIVERSITY, BIRNIN-KEBBI, KEBBI STATE",FED-KEBBI,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BUILDING TECHNOLOGY,"FEDERAL UNIVERSITY, BIRNIN-KEBBI, KEBBI STATE",FED-KEBBI,"'A' Level passes in Mathematics, Physics and Chemistry.","Five (5) SSC credit passes in Mathematics, English Language, Physics, Chemistry and any one of Geography, Economics, Arts and Technical drawing. For holders of NTC, the other relevant subjects could be Intro. to Building Construction, Bricklaying, Concreting, Walls, Floors and Ceiling Finishing, Building/Engineering Drawing, Joinery, Carpentry, Gas, Steam Work and Bronze Welding, Cold / Hot Water Supply, Sanitation and Drainage.","Mathematics, Physics and Chemistry"
BUSINESS ADMINISTRATION,"FEDERAL UNIVERSITY, BIRNIN-KEBBI, KEBBI STATE",FED-KEBBI,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
BUSINESS EDUCATION,"FEDERAL UNIVERSITY, BIRNIN-KEBBI, KEBBI STATE",FED-KEBBI,"i)            Five ‘O’ level credit passes in the Senior Secondary School Certificate Examination or its equivalent in not more than two (2) sittings with credit passes in English language, Mathematics and Economics.

      ii)            NCE at Grade 9.0 in relevant subjects provided the O’ Level requirements are satisfied.

    iii)            Relevant Diploma at lower credit provided the O’ Level requirements are satisfied.

    iv)            GCE O’Level two (2) passes in relevant subject areas at Advance level with SC/GCE O’Level credit passes in five (5) subjects at not more than two (2) sittings.

      v)            IJMB","Five ‘O’ level credit passes in the Senior Secondary School Certificate Examination (SSCE) or its equivalent in not more than two (2) sittings with credit passes in English language, Mathematics and Economics. In addition, they must have acceptable pass in the Post-UTME","English language, Mathematics, Economics and any other subject"
CHEMISTRY,"FEDERAL UNIVERSITY, BIRNIN-KEBBI, KEBBI STATE",FED-KEBBI,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"FEDERAL UNIVERSITY, BIRNIN-KEBBI, KEBBI STATE",FED-KEBBI,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
DEMOGRAPHY & SOCIAL STATISTICS,"FEDERAL UNIVERSITY, BIRNIN-KEBBI, KEBBI STATE",FED-KEBBI,"Two (2)'A'  level passes in Geography, Economics, Government and Mathematics","Five (5)SSC credit passes including English Language, Mathematics, Economics, Government and any one of Geography or Biology","Mathematics, Economics/Geography and any other subject."
ECONOMICS,"FEDERAL UNIVERSITY, BIRNIN-KEBBI, KEBBI STATE",FED-KEBBI,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
EDUCATION & BIOLOGY,"FEDERAL UNIVERSITY, BIRNIN-KEBBI, KEBBI STATE",FED-KEBBI,"Five O’ Level credits including English Language and Mathematics and three A’ levels credits in the relevant subjects, and also have acceptable score in the University Post-DE screening examination.

NCEand ND in relevant courses are acceptable.","Five O’ Level credits including English Language and Mathematics with three other relevant science subjects in not more than two (2) sittings. In addition, students should also have an acceptable score in the UTME and Post-UTME Screening examination organised by the University. Candidates must in addition to these requirements satisfy the admission requirements stipulated by the teaching subjects departments in the Faculty of Science.","English, Mathematics, Biology and any other science subject"
EDUCATION & CHEMISTRY,"FEDERAL UNIVERSITY, BIRNIN-KEBBI, KEBBI STATE",FED-KEBBI,"Five O’ Level credits including English Language and Mathematics and three A’ levels credits in the relevant subjects, and also have acceptable score in the University Post-DE screening examination. NCE, IJMB and ND in relevant courses are acceptable. Candidates must in addition to the requirements stated above satisfy the admission requirements stipulated by the teaching subjects departments in the Faculty of Science","Five O’ Level credits including English Language and Mathematics with three other relevant science subjects in not more than two (2) sittings. In addition, students should also have an acceptable score in the UTME and Post-UTME Screening examination organised by the University. Candidates must in addition to these requirements satisfy the admission requirements stipulated by the teaching subjects departments in the Faculty of Science.","English, Mathematics, Chemistry and any other relevant subject"
EDUCATION & COMPUTER SCIENCE,"FEDERAL UNIVERSITY, BIRNIN-KEBBI, KEBBI STATE",FED-KEBBI,"Five O’ Level credits including English Language and Mathematics and three A’ levels credits in the relevant subjects, and also have acceptable score in the University Post-DE screening examination. NCE and ND in relevant courses are acceptable. Candidates must in addition to the requirements stated above satisfy the admission requirements stipulated by the teaching subjects departments in the Faculty of Science.","Five O’ Level credits including English Language and Mathematics with three other relevant science subjects in not more than two (2) sittings. In addition, students should also have an acceptable score in the UTME and Post-UTME Screening examination organised by the University. Candidates must in addition to these requirements satisfy the admission requirements stipulated by the teaching subjects departments in the Faculty of Science","English, Mathematics and any other two science subjects"
EDUCATION & ECONOMICS,"FEDERAL UNIVERSITY, BIRNIN-KEBBI, KEBBI STATE",FED-KEBBI,"i)      Five ‘O’ level credit passes in the Senior Secondary School Certificate Examination or its equivalent in not more than two (2) sittings with credit passes in English language, Mathematics and Economics.

      ii)            NCE at Grade 9.0 in relevant subjects provided the O’ Level requirements are satisfied.

    iii)            Relevant Diploma at lower credit provided the O’ Level requirements are satisfied.

    iv)         GCE O’Level two (2) passes in relevant subject areas at Advance level with SSCE/GCE O’Level credit passes in five (5) subjects at not more than two (2) sittings.

IJMB","Five ‘O’ level credit passes in the Senior Secondary School Certificate Examination (SSCE) or its equivalent in not more than two (2) sittings with credit passes in English language, Mathematics and Economics. In addition, they must have acceptable pass in the Post-UTME.","English language, Mathematics, Economics and any other subject"
