Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"FEDERAL UNIVERSITY, DUTSE, JIGAWA STATE",FED-DUTSE,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
ACTUARIAL SCIENCE,"FEDERAL UNIVERSITY, DUTSE, JIGAWA STATE",FED-DUTSE,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
AGRICULTURE,"FEDERAL UNIVERSITY, DUTSE, JIGAWA STATE",FED-DUTSE,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
BANKING & FINANCE,"FEDERAL UNIVERSITY, DUTSE, JIGAWA STATE",FED-DUTSE,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"FEDERAL UNIVERSITY, DUTSE, JIGAWA STATE",FED-DUTSE,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics."
BIOLOGY,"FEDERAL UNIVERSITY, DUTSE, JIGAWA STATE",FED-DUTSE,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"FEDERAL UNIVERSITY, DUTSE, JIGAWA STATE",FED-DUTSE,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
BOTANY,"FEDERAL UNIVERSITY, DUTSE, JIGAWA STATE",FED-DUTSE,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics /Mathematics."
BUSINESS ADMINISTRATION,"FEDERAL UNIVERSITY, DUTSE, JIGAWA STATE",FED-DUTSE,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
CHEMISTRY,"FEDERAL UNIVERSITY, DUTSE, JIGAWA STATE",FED-DUTSE,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"FEDERAL UNIVERSITY, DUTSE, JIGAWA STATE",FED-DUTSE,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CRIMINOLOGY & SECURITY STUDIES,"FEDERAL UNIVERSITY, DUTSE, JIGAWA STATE",FED-DUTSE,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
CYBER SECURITY,"FEDERAL UNIVERSITY, DUTSE, JIGAWA STATE",FED-DUTSE,"i)      Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"FEDERAL UNIVERSITY, DUTSE, JIGAWA STATE",FED-DUTSE,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5) SSCE credit passes in English Language, Mathematics, Economics and any other two (2) Social Sciences subjects OR any one Social Sciences and one of Islamic Religious Knowledge/Christian Religious Studies/History","Use of English, Economics, Mathematics and any of Social Sciences , History, Literature in English, French and Islamic Religious Knowledge/Christian Religious Studies."
