Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"FEDERAL UNIVERSITY, DUTSIN-MA, KATSINA STATE",DUTSIN_MA,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
AGRICULTURAL SCIENCE AND EDUCATION,"FEDERAL UNIVERSITY, DUTSIN-MA, KATSINA STATE",DUTSIN_MA,[Not Available],[Not Available],[Not Available]
AGRICULTURE,"FEDERAL UNIVERSITY, DUTSIN-MA, KATSINA STATE",DUTSIN_MA,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ANIMAL & ENVIRONMENTAL BIOLOGY,"FEDERAL UNIVERSITY, DUTSIN-MA, KATSINA STATE",DUTSIN_MA,"Two (2) 'A' Level passes or NCE in Biology, Zoology or Botany and one other Science subject","Five (5) SSC credit passes in English Language, Mathematics, Biology and two (2) other Science subject.","Biology and any two (2) of Physics, Chemistry and Mathematics."
APPLIED GEOPHYSICS,"FEDERAL UNIVERSITY, DUTSIN-MA, KATSINA STATE",DUTSIN_MA,[Not Available],[Not Available],[Not Available]
ARABIC,"FEDERAL UNIVERSITY, DUTSIN-MA, KATSINA STATE",DUTSIN_MA,Two (2) ‘A’ Level passes in Arabic and any other Arts subject.,"Five (5) SSC credit passes in English Language, Arabic and three (3) other relevant subjects.",Arabic and two (2) subjects from Arts and/or Social Sciences.
BANKING AND FINANCE,"FEDERAL UNIVERSITY, DUTSIN-MA, KATSINA STATE",DUTSIN_MA,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"FEDERAL UNIVERSITY, DUTSIN-MA, KATSINA STATE",DUTSIN_MA,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"FEDERAL UNIVERSITY, DUTSIN-MA, KATSINA STATE",DUTSIN_MA,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BUSINESS EDUCATION,"FEDERAL UNIVERSITY, DUTSIN-MA, KATSINA STATE",DUTSIN_MA,"(i)    Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii)           NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
