Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"FEDERAL UNIVERSITY, GASHUA, YOBE STATE",FED-GASHUA,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
AGRICULTURAL SCIENCE AND EDUCATION,"FEDERAL UNIVERSITY, GASHUA, YOBE STATE",FED-GASHUA,[Not Available],[Not Available],[Not Available]
AGRICULTURE,"FEDERAL UNIVERSITY, GASHUA, YOBE STATE",FED-GASHUA,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ARABIC STUDIES,"FEDERAL UNIVERSITY, GASHUA, YOBE STATE",FED-GASHUA,Two (2) ‘A’ Level passes in Arabic and any other Arts subject.,"Five (5) SSC credit passes in English Language, Arabic and three (3) other relevant subjects.",Arabic and two (2) subjects from Arts and/or Social Sciences.
BIOCHEMISTRY,"FEDERAL UNIVERSITY, GASHUA, YOBE STATE",FED-GASHUA,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"FEDERAL UNIVERSITY, GASHUA, YOBE STATE",FED-GASHUA,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"FEDERAL UNIVERSITY, GASHUA, YOBE STATE",FED-GASHUA,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
CHEMISTRY,"FEDERAL UNIVERSITY, GASHUA, YOBE STATE",FED-GASHUA,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"FEDERAL UNIVERSITY, GASHUA, YOBE STATE",FED-GASHUA,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS & DEVELOPMENT STUDIES,"FEDERAL UNIVERSITY, GASHUA, YOBE STATE",FED-GASHUA,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
EDUCATION AND BIOLOGY,"FEDERAL UNIVERSITY, GASHUA, YOBE STATE",FED-GASHUA,[Not Available],[Not Available],[Not Available]
EDUCATION AND CHEMISTRY,"FEDERAL UNIVERSITY, GASHUA, YOBE STATE",FED-GASHUA,[Not Available],[Not Available],[Not Available]
EDUCATION AND ENGLISH LANGUAGE,"FEDERAL UNIVERSITY, GASHUA, YOBE STATE",FED-GASHUA,[Not Available],[Not Available],[Not Available]
