Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AVIATION MANAGEMENT,"FEDERAL UNIVERSITY OF TRANSPORTATION, DAURA, KATSINA STATE",FUT-DAURA,[Not Available],[Not Available],[Not Available]
CIVIL ENGINEERING,"FEDERAL UNIVERSITY OF TRANSPORTATION, DAURA, KATSINA STATE",FUT-DAURA,[Not Available],[Not Available],[Not Available]
ELECTRICAL AND ELECTRONICS ENGINEERING,"FEDERAL UNIVERSITY OF TRANSPORTATION, DAURA, KATSINA STATE",FUT-DAURA,[Not Available],[Not Available],[Not Available]
HIGHWAY ENGINEERING,"FEDERAL UNIVERSITY OF TRANSPORTATION, DAURA, KATSINA STATE",FUT-DAURA,[Not Available],[Not Available],[Not Available]
INLAND WATERWAYS SAFETY & ENVIRONMENTAL ADMINISTRATION,"FEDERAL UNIVERSITY OF TRANSPORTATION, DAURA, KATSINA STATE",FUT-DAURA,[Not Available],[Not Available],[Not Available]
LOGISTICS AND SUPPLY CHAIN MANAGEMENT,"FEDERAL UNIVERSITY OF TRANSPORTATION, DAURA, KATSINA STATE",FUT-DAURA,[Not Available],[Not Available],[Not Available]
MARITIME ECONOMICS,"FEDERAL UNIVERSITY OF TRANSPORTATION, DAURA, KATSINA STATE",FUT-DAURA,[Not Available],[Not Available],[Not Available]
MARITIME SAFETY AND ENVIRONMENTAL ADMINISTRATION,"FEDERAL UNIVERSITY OF TRANSPORTATION, DAURA, KATSINA STATE",FUT-DAURA,[Not Available],[Not Available],[Not Available]
MECHANICAL ENGINEERING,"FEDERAL UNIVERSITY OF TRANSPORTATION, DAURA, KATSINA STATE",FUT-DAURA,[Not Available],[Not Available],[Not Available]
MECHATRONICS ENGINEERING,"FEDERAL UNIVERSITY OF TRANSPORTATION, DAURA, KATSINA STATE",FUT-DAURA,[Not Available],[Not Available],[Not Available]
RAILWAY ENGINEERING,"FEDERAL UNIVERSITY OF TRANSPORTATION, DAURA, KATSINA STATE",FUT-DAURA,[Not Available],[Not Available],[Not Available]
RAILWAY TRANSPORT MANAGEMENT,"FEDERAL UNIVERSITY OF TRANSPORTATION, DAURA, KATSINA STATE",FUT-DAURA,[Not Available],[Not Available],[Not Available]
SEA PORT & DRY PORT MANAGEMENT,"FEDERAL UNIVERSITY OF TRANSPORTATION, DAURA, KATSINA STATE",FUT-DAURA,[Not Available],[Not Available],[Not Available]
TRANSPORT MANAGEMENT,"FEDERAL UNIVERSITY OF TRANSPORTATION, DAURA, KATSINA STATE",FUT-DAURA,[Not Available],[Not Available],[Not Available]
