Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"NIGERIAN POLICE ACADEMY, WUDIL, KANO STATE",POL-ACAD,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
BANKING & FINANCE,"NIGERIAN POLICE ACADEMY, WUDIL, KANO STATE",POL-ACAD,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"NIGERIAN POLICE ACADEMY, WUDIL, KANO STATE",POL-ACAD,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"NIGERIAN POLICE ACADEMY, WUDIL, KANO STATE",POL-ACAD,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
CHEMISTRY,"NIGERIAN POLICE ACADEMY, WUDIL, KANO STATE",POL-ACAD,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"NIGERIAN POLICE ACADEMY, WUDIL, KANO STATE",POL-ACAD,[Not Available],"Five (5) SSC credit passes in Mathematics, a basic science and three (3) other subjects chosen from the following:

Economics,

Geography,

Government/History,

Further Mathematics,

Physics,

Chemistry,

Biology/Agricultural Science.

English Language,

Typewriting,

'O' Level credit passes in English Language and Physics is compulsory.","Mathematics and any two (2) of Geography, Physics, Economics or Chemistry."
CRIMINOLOGY,"NIGERIAN POLICE ACADEMY, WUDIL, KANO STATE",POL-ACAD,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ECONOMICS,"NIGERIAN POLICE ACADEMY, WUDIL, KANO STATE",POL-ACAD,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ENGLISH LANGUAGE,"NIGERIAN POLICE ACADEMY, WUDIL, KANO STATE",POL-ACAD,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
FORENSIC SCIENCE,"NIGERIAN POLICE ACADEMY, WUDIL, KANO STATE",POL-ACAD,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
