Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"UNIVERSITY OF ABUJA, GWAGWALADA, ABUJA, FCT",ABUJA,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
ADVERTISING,"UNIVERSITY OF ABUJA, GWAGWALADA, ABUJA, FCT",ABUJA,[Not Available],[Not Available],[Not Available]
AERONAUTICAL ENGINEERING,"UNIVERSITY OF ABUJA, GWAGWALADA, ABUJA, FCT",ABUJA,[Not Available],[Not Available],[Not Available]
AGRICULTURAL ENGINEERING,"UNIVERSITY OF ABUJA, GWAGWALADA, ABUJA, FCT",ABUJA,[Not Available],[Not Available],[Not Available]
AGRICULTURAL SCIENCE & EDUCATION,"UNIVERSITY OF ABUJA, GWAGWALADA, ABUJA, FCT",ABUJA,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
AGRICULTURE,"UNIVERSITY OF ABUJA, GWAGWALADA, ABUJA, FCT",ABUJA,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ARABIC STUDIES,"UNIVERSITY OF ABUJA, GWAGWALADA, ABUJA, FCT",ABUJA,Two (2) ‘A’ Level passes in Arabic and any other Arts subject.,"Five (5) SSC credit passes in English Language, Arabic and three (3) other relevant subjects.",Arabic and two (2) subjects from Arts and/or Social Sciences.
ARCHITECTURE,"UNIVERSITY OF ABUJA, GWAGWALADA, ABUJA, FCT",ABUJA,[Not Available],[Not Available],[Not Available]
BANKING & FINANCE,"UNIVERSITY OF ABUJA, GWAGWALADA, ABUJA, FCT",ABUJA,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"UNIVERSITY OF ABUJA, GWAGWALADA, ABUJA, FCT",ABUJA,[Not Available],[Not Available],[Not Available]
BIOLOGY,"UNIVERSITY OF ABUJA, GWAGWALADA, ABUJA, FCT",ABUJA,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
