Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"UNIVERSITY OF CALABAR, CALABAR, CROSS RIVER STATE",CALABAR,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
ADULT EDUCATION,"UNIVERSITY OF CALABAR, CALABAR, CROSS RIVER STATE",CALABAR,"(i)    Two (2) 'A' Level   passes.

(ii)           NCE merit in two (2) subjects.","Five (5) 'O' Level credit passes including English Language, Mathematics and three (3) of Literature in English, History, French, Yoruba, Igbo, Hausa, Christian Religious Studies, Islamic Studies, Geography/Physic, Economics and Government or TC II with pass in English Language and four (4) other subjects.","Government/History, one (1) Social Science subject and any other subject."
AGRIC-ECONOMICS & EXTENSION,"UNIVERSITY OF CALABAR, CALABAR, CROSS RIVER STATE",CALABAR,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science plus Mathematics or Physics."
AGRICULTURAL ENGINEERING,"UNIVERSITY OF CALABAR, CALABAR, CROSS RIVER STATE",CALABAR,'A' Level passes or equivalent in Physics and Mathematics.,"Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any from Introduction to Agricultural Science, Materials and Workshop Process and Machining, Tractor Layout Power Unit Under Carriage and Auto Electricity; Transmission System; Implement and Machine; Principles of Crop Husbandry and Land Use, Materials and Workshop Processes; Construction and Maintenance of Agricultural Machines; general Metal Work; General Wood Work and Building/Engineering Drawing.","Mathematics, Chemistry and Physics."
AGRICULTURAL SCIENCE & EDUCATION,"UNIVERSITY OF CALABAR, CALABAR, CROSS RIVER STATE",CALABAR,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
AGRICULTURE (CROP SCIENCE OPTION),"UNIVERSITY OF CALABAR, CALABAR, CROSS RIVER STATE",CALABAR,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ANIMAL SCIENCE,"UNIVERSITY OF CALABAR, CALABAR, CROSS RIVER STATE",CALABAR,Two (2) ‘A’ level passes or its equivalent in Chemistry and one of Biology/Botany/Zoology/Agriculture Science/Geography/Geology/Mathematics/Economics.,"Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Biology/Agric Science and one of Physics, Geography or Economics.","Chemistry, Biology/Agriculture and Mathematics /Physics."
APPLIED CHEMISTRY,"UNIVERSITY OF CALABAR, CALABAR, CROSS RIVER STATE",CALABAR,"(i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
APPLIED GEOPHYSICS,"UNIVERSITY OF CALABAR, CALABAR, CROSS RIVER STATE",CALABAR,'A' Level passes in Chemistry and Physics or Mathematics.,"Five (5) SSC credit passes including English Language, Mathematics, Physics and Chemistry/Biology.","Any three (3) of Physics, Chemistry, Biology and Mathematics."
ARCHITECTURE,"UNIVERSITY OF CALABAR, CALABAR, CROSS RIVER STATE",CALABAR,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

(ii)   ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
