Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"UNIVERSITY OF IBADAN, IBADAN, OYO STATE",IBADAN,"(i)  Two subjects in HSC, GCE A Level to include Accounting

(ii) OND in Accounting with a minimum of lower credit grade, or

(iii) HND in relevant discipline with at least lower credit, or

(iv) passed the Skills Level/P.E.1/Intermediate examinations of a recognized professional Accounting bodies such as ICAN and ACCA","Five (5) ‘O’ level subjects at one sitting or Six (6) ‘O’ level subjects at Two (2) sittings to include English Language, Mathematics and Economics/Financial Accounting and any 2 or 3 subjects in SSE, GCE or NECO","English Language, Mathematics and any two Social or Management science subjects"
ADULT EDUCATION,"UNIVERSITY OF IBADAN, IBADAN, OYO STATE",IBADAN,"(i)    Two (2) 'A' Level   passes.

(ii)   NCE with passes in two (2) subjects at Merit level.","Five (5) 'O' Level credit passes or Six (6) ‘O’ Level  Credits at Two (2) sittings  including English Language, and any other subjects from Arts, Social Sciences or Science.","English Language and any three subjects from Arts, Social Science and/or Science."
AGRIC EXTENSION & RURAL DEVELOPMENT,"UNIVERSITY OF IBADAN, IBADAN, OYO STATE",IBADAN,"Two (2)  ‘A’ level passes in Chemistry and One from Biology / Botany / Zoology / Agricultural Science, Economics, Physics, Geography and Geology / Mathematics (Pure & Applied)","Five (5) ‘O’ level subjects at one sitting or 6 ‘O’ level subjects at two sittings to include: English Language, Biology/Agric Science, Chemistry, Mathematics and anyone/two of Geography, Physics and Economics.","English Language, Chemistry, Agriculture or Biology, Mathematics or Physics"
AGRICULTURAL & ENVIRONMENTAL ENGINEERING,"UNIVERSITY OF IBADAN, IBADAN, OYO STATE",IBADAN,Two (2) ‘A’ level passes in Physics and Mathematics plus UME requirements.,"Five (5) ‘O’ level subjects at one sitting or 6 ‘O’ level subjects at 2 sittings to include English Language, Physics, Chemistry and Mathematics with any ONE or TWO of the following subjects as the case may be; Biology, Agricultural Science, Further Mathematics, Technical Drawing, Economics, Geography, Metal Work and Wood Work. SSC credit passes in English Language, Mathematics, Physics, Chemistry and any from Introduction to Agricultural Science, Materials and Workshop Process and Machining, Tractor Layout Power Unit Under Carriage and Auto Electricity; Transmission System; Implement and Machine; Principles of Crop Husbandry and Land Use, Materials and Workshop Processes; Construction and Maintenance of Agricultural Machines; general Metal Work; General Wood Work and Building/Engineering Drawing.","English Language, Physics, Chemistry, and Mathematics."
AGRICULTURAL ECONOMICS,"UNIVERSITY OF IBADAN, IBADAN, OYO STATE",IBADAN,"Two (2) ‘A’ level passes in Chemistry and One from Biology / Botany / Zoology / Agricultural Science, Economics, Physics, Geography and Geology / Mathematics (Pure & Applied)","Five (5) ‘O’ level subjects at one sitting or 6 ‘O’ level subjects at two sittings to include: English Language, Biology/Agric Science, Chemistry, Mathematics and anyone/two of Geography, Physics and Economics.","English Language, Chemistry, Agriculture or Biology, Mathematics or Physics"
AGRICULTURE,"UNIVERSITY OF IBADAN, IBADAN, OYO STATE",IBADAN,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) ‘O’ level subjects at one sitting or Six (6) ‘O’ level subjects at two (2) sittings to include: English Language, Biology/Agric Science, Chemistry, Mathematics and anyone/two of Geography, Physics and Economics.","English Language, Chemistry, Agriculture or Biology, Mathematics or Physics"
AGRONOMY,"UNIVERSITY OF IBADAN, IBADAN, OYO STATE",IBADAN,"Two (2) ‘A’ level passes in Chemistry and One from Biology / Botany / Zoology / Agricultural Science, Economics, Physics, Geography and Geology / Mathematics (Pure & Applied)","Five (5) ‘O’ level subjects at one sitting or Six (6) ‘O’ level subjects at two (2) sittings to include: English Language, Biology/Agric Science, Chemistry, Mathematics and anyone/two of Geography, Physics and Economics.","English Language, Chemistry, Agriculture or Biology, Mathematics or Physics"
ANIMAL SCIENCE,"UNIVERSITY OF IBADAN, IBADAN, OYO STATE",IBADAN,Two (2) ‘A’ level passes or its equivalent in Chemistry and one of Biology/Botany/Zoology/Agriculture Science/Geography/Geology/Mathematics/Economics.,"Five (5) ‘O’ level subjects at one sitting or 6 ‘O’ level subjects at two sittings to include: English Language, Biology/Agric Science, Chemistry, Mathematics and anyone/two of Geography, Physics and Economics.","English Language, Chemistry, Agriculture or Biology, Mathematics or Physics"
ANTHROPOLOGY,"UNIVERSITY OF IBADAN, IBADAN, OYO STATE",IBADAN,Two (2) ‘A’ level passes in Arts subjects or NCE with Credit pass in Arts subjects: Geography / Economics,"Five (5) ‘O’ level credit passes at one (1) sitting or Six (6) ‘O’ level credit passes at two (2) sittings to include English Language, two Arts subjects and others from Arts or Social Sciences subjects.  Commerce, Business Studies, Book Keeping, Accounting and Civic Education are not acceptable","English Language, one Arts subject and any two Arts or Social Sciences. Commerce, Business Studies, Book Keeping, Accounting and Civic Education are not acceptable"
ANTHROPOLOGY (BIOLOGICAL),"UNIVERSITY OF IBADAN, IBADAN, OYO STATE",IBADAN,"Two (2) ‘A’ level passes or NCE (at least a Credit pass) in Biology and any of the following Science subjects Mathematics, Physics, Chemistry and Geography","Five (5) ‘O’ level subjects at one sitting or 6 ‘O’ level subjects at 2 sittings to include English Language, Mathematics, Biology and two other Science subjects excluding Agricultural Science) from Chemistry, Physics and Geography.","English Language, Biology and two other Science subjects from Chemistry, Physics, Mathematics and Geography"
