Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"UNIVERSITY OF NIGERIA, NSUKKA, ENUGU STATE",UNN,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
ADULT EDUCATION,"UNIVERSITY OF NIGERIA, NSUKKA, ENUGU STATE",UNN,"(i)    Two (2) 'A' Level   passes.

(ii)           NCE merit in two (2) subjects.","Five (5) 'O' Level credit passes including English Language, Mathematics and three (3) of Literature in English, History, French, Yoruba, Igbo, Hausa, Christian Religious Studies, Islamic Studies, Geography/Physic, Economics and Government or TC II with pass in English Language and four (4) other subjects.","Government/History, one (1) Social Science subject and any other subject."
AGRIBUSINESS,"UNIVERSITY OF NIGERIA, NSUKKA, ENUGU STATE",UNN,[Not Available],[Not Available],[Not Available]
AGRIC EXTENSION SERVICES,"UNIVERSITY OF NIGERIA, NSUKKA, ENUGU STATE",UNN,Two (2) ‘A’ Level passes or equivalents in Chemistry and Biology/Agricultural Science/Botany/Zoology/Economics/Mathematics/Physics/Geography/Geology.,"Five (5) SSC credit passes  in English Language, Chemistry, Mathematics, Biology/Agricultural Science plus one of Physics, Geography and Economics.","Chemistry, Biology /Agriculture and Physics or Mathematics"
AGRICULTURAL & BIORESOURCES ENGINEERING,"UNIVERSITY OF NIGERIA, NSUKKA, ENUGU STATE",UNN,'A' Level passes or equivalent in Physics and Mathematics.,"Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any from Introduction to Agricultural Science, Materials and Workshop Process and Machining, Tractor Layout Power Unit Under Carriage and Auto Electricity; Transmission System; Implement and Machine; Principles of Crop Husbandry and Land Use, Materials and Workshop Processes; Construction and Maintenance of Agricultural Machines; general Metal Work; General Wood Work and Building/Engineering Drawing.","Mathematics, Chemistry and Physics."
AGRICULTURAL ECONOMICS,"UNIVERSITY OF NIGERIA, NSUKKA, ENUGU STATE",UNN,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science and Mathematics or Physics."
AGRICULTURAL SCIENCE & EDUCATION,"UNIVERSITY OF NIGERIA, NSUKKA, ENUGU STATE",UNN,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents which must include English Language, Mathematics, Biology/Agricultural Science/Animal Husbandry/Fishery plus at least a pass in Chemistry in SSCE/GCE O-level/NECO/NABTEB or their equivalent.","Biology or Agriculture, Chemistry and any one of Physics, Economics, Geography, Mathematics, Government, Animal Husbandry, Fishery, Home Management, etc."
AGRICULTURE,"UNIVERSITY OF NIGERIA, NSUKKA, ENUGU STATE",UNN,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ANIMAL SCIENCE,"UNIVERSITY OF NIGERIA, NSUKKA, ENUGU STATE",UNN,Two (2) ‘A’ level passes or its equivalent in Chemistry and one of Biology/Botany/Zoology/Agriculture Science/Geography/Geology/Mathematics/Economics.,"Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Biology/Agric Science and one of Physics, Geography or Economics.","Chemistry, Biology/Agriculture and Mathematics /Physics."
ARCHAEOLOGY,"UNIVERSITY OF NIGERIA, NSUKKA, ENUGU STATE",UNN,"A.  Archaeology and Heritage Studies




Two (2) papers at HSC or GCE A/Level, including a credit pass in English Language and a pass in Mathematics at WASC. Holders of Diploma or NCE recognized by the University of Nigeria also qualify for Direct Entry




B.  Tourism Studies

In addition to UNN minimum entry requirements; applicants shall have one of the following from recognized institutions;

i)  Credit level passes in ND in Hospitality Management or Hotel and Catering Management or Tourism

ii)  Credit level passes in HND in Hospitality Management or Hotel and Catering Management or Tourism","A.  Archaeology and Heritage Studies




In addition to UNN minimum entry requirements 

Five (5) credit passes including English Language, Mathematics and any other Arts or Science subjects as SSCE or GCE O/Level or its equivalent;




B.  Tourism Studies

In addition to UNN minimum entry requirements;

Five (5)( credit passes including Mathematics, English Language, Geography/Tourism/Economics, and any of the core Arts, Social Science or Science subjects at not more than two sittings'","Any two (2) subjects from Arts, Social Sciences and one of History, Religious Studies, Government and Geography."
