Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"UNIVERSITY OF PORT-HARCOURT, RIVERS STATE",PHC,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
ADULT & NON-FORMAL EDUCATION,"UNIVERSITY OF PORT-HARCOURT, RIVERS STATE",PHC,"(i) Two (2) 'A' Level   passes.

(ii) NCE merit in two (2) subjects.","Five (5) SSC credits in English Language, Mathematics and Any three (3) relevant subjects from French, Literature in English, History/Government, CRK/IRK, Economics, Mathematics, Biology, Chemistry, Agricultural Science, Further Mathematics, Technical Drawing, Physics, Igbo/Hausa/Yoruba, Fine Art, Geography, Commerce, Accounting, Music","Any three (3) relevant subjects from French, Literature in English, History/Government, CRK/IRK, Economics, Mathematics, Biology, Chemistry, Agricultural Science, Further Mathematics, Technical Drawing, Physics, Igbo/Hausa/Yoruba, Fine Art, Geography, Commerce, Accounting, Music"
ADULT EDUCATION,"UNIVERSITY OF PORT-HARCOURT, RIVERS STATE",PHC,"(i)    Two (2) 'A' Level   passes.

(ii)           NCE merit in two (2) subjects.","Five (5) O level credit passes including English Language, Mathematics and any other three (3) relevant subjects from French, Literature in English, History/Government, CRK/IRK, Economics,  Biology, Chemistry, Agricultural Science, Further Mathematics, Technical Drawing, Physics, Igbo/Hausa/Yoruba, Fine Art, Geography, Commerce, Accounting, Music","Any three (3) relevant subjects from French, Literature in English, History/Government, CRK/IRK, Economics, Mathematics, Biology, Chemistry, Agricultural Science, Further Mathematics, Technical Drawing, Physics, Igbo/Hausa/Yoruba, Fine Art, Geography, Commerce, Accounting, Music"
AGRIBUSINESS MANAGEMENT,"UNIVERSITY OF PORT-HARCOURT, RIVERS STATE",PHC,[Not Available],[Not Available],[Not Available]
AGRIC-ECONOMICS & EXTENSION,"UNIVERSITY OF PORT-HARCOURT, RIVERS STATE",PHC,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science plus Mathematics or Physics."
AGRICULTURAL EXTENSION AND DEVELOPMENT STUDIES,"UNIVERSITY OF PORT-HARCOURT, RIVERS STATE",PHC,[Not Available],[Not Available],[Not Available]
AGRICULTURE,"UNIVERSITY OF PORT-HARCOURT, RIVERS STATE",PHC,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ANATOMY,"UNIVERSITY OF PORT-HARCOURT, RIVERS STATE",PHC,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
ANIMAL & ENVIRONMENTAL BIOLOGY,"UNIVERSITY OF PORT-HARCOURT, RIVERS STATE",PHC,"Two (2) 'A' Level passes or NCE in Biology, Zoology or Botany and one other Science subject","Five (5) SSC credit passes in English Language, Mathematics, Biology and two (2) other Science subject.","Biology and any two (2) of Physics, Chemistry and Mathematics."
ANIMAL SCIENCE,"UNIVERSITY OF PORT-HARCOURT, RIVERS STATE",PHC,Two (2) ‘A’ level passes or its equivalent in Chemistry and one of Biology/Botany/Zoology/Agriculture Science/Geography/Geology/Mathematics/Economics.,"Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Biology/Agric Science and one of Physics, Geography or Economics.","Chemistry, Biology/Agriculture and Mathematics /Physics."
BANKING & FINANCE,"UNIVERSITY OF PORT-HARCOURT, RIVERS STATE",PHC,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
