Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AGRIC EXTENSION & RURAL DEVELOPMENT,"FEDERAL UNIVERSITY OF AGRICULTURE, ABEOKUTA, OGUN STATE",FUNAAB,‘A’ Level passes in Chemistry and Biology.,"Five (5) SSC credit passes to include English, Physics, Chemistry, Biology and Mathematics.","Chemistry, Biology/ Agricultural Science and Mathematics or Physics."
AGRICULTURAL ECONOMICS & FARM MANAGEMENT,"FEDERAL UNIVERSITY OF AGRICULTURE, ABEOKUTA, OGUN STATE",FUNAAB,‘A’ Level passes in Chemistry and Biology or ND/HND (upper credit) in Agriculture.,"Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Chemistry, Biology/ Agricultural Science and Mathematics or Physics."
AGRICULTURAL ENGINEERING,"FEDERAL UNIVERSITY OF AGRICULTURE, ABEOKUTA, OGUN STATE",FUNAAB,'A' Level passes or equivalent in Physics and Mathematics.,"Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Mathematics, Chemistry and Physics."
ANIMAL BREEDING & GENETICS,"FEDERAL UNIVERSITY OF AGRICULTURE, ABEOKUTA, OGUN STATE",FUNAAB,‘A’ level passes in Chemistry and Biology.,"Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Biology and Physics.","Chemistry, Biology/Agriculture and Mathematics /Physics."
ANIMAL NUTRITION,"FEDERAL UNIVERSITY OF AGRICULTURE, ABEOKUTA, OGUN STATE",FUNAAB,‘A’ level passes in Chemistry and Biology.,"Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Biology and Physics.","Biology/Agricultural Science., Chemistry and Mathematics/ Physics."
ANIMAL PHYSIOLOGY,"FEDERAL UNIVERSITY OF AGRICULTURE, ABEOKUTA, OGUN STATE",FUNAAB,‘A’ level passes in Chemistry and Biology.,"Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Biology and Physics.","Chemistry, Biology/Agriculture and Mathematics /Physics."
ANIMAL PRODUCTION & HEALTH SERVICES,"FEDERAL UNIVERSITY OF AGRICULTURE, ABEOKUTA, OGUN STATE",FUNAAB,‘A’ Level passes in Chemistry and Biology.,"Five SSC credit passes in Chemistry, Mathematics, Biology, Physics and English Language.","Chemistry, Biology/Agricultural Science and Physics/Mathematics."
AQUACULTURE & FISHERIES MANAGEMENT,"FEDERAL UNIVERSITY OF AGRICULTURE, ABEOKUTA, OGUN STATE",FUNAAB,‘A’ Level passes in Chemistry and Biology.,"Five (5) SSC credit passes in English Language, Chemistry, Biology Mathematics and Physics.","Chemistry, Biology/Agricultural Science and Mathematics/ Physics"
BIOCHEMISTRY,"FEDERAL UNIVERSITY OF AGRICULTURE, ABEOKUTA, OGUN STATE",FUNAAB,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics."
BIOLOGICAL SCIENCE(S),"FEDERAL UNIVERSITY OF AGRICULTURE, ABEOKUTA, OGUN STATE",FUNAAB,"(i)    Two (2) 'A' Level passes to include one (1) of Botany, Zoology, Biology or Chemistry.

 

(ii)    ND/NCE in related programme/subject.","Five (5) SSC credit passes to include English Language, Mathematics, Chemistry, Biology and any other Science subject.","Biology, Chemistry and Physics or Mathematics."
