Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ANIMAL SCIENCE,"FEDERAL UNIVERSITY OF AGRICULTURE, ZURU, KEBBI STATE",FUA-ZURU,Two (2) ‘A’ level passes or its equivalent in Chemistry and one of Biology/Botany/Zoology/Agriculture Science/Geography/Geology/Mathematics/Economics.,"Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Biology/Agric Science and one of Physics, Geography or Economics.","Chemistry, Biology/Agriculture and Mathematics /Physics."
BIOLOGY,"FEDERAL UNIVERSITY OF AGRICULTURE, ZURU, KEBBI STATE",FUA-ZURU,"(i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

 

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
CHEMISTRY,"FEDERAL UNIVERSITY OF AGRICULTURE, ZURU, KEBBI STATE",FUA-ZURU,"(i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"FEDERAL UNIVERSITY OF AGRICULTURE, ZURU, KEBBI STATE",FUA-ZURU,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CROP SCIENCE,"FEDERAL UNIVERSITY OF AGRICULTURE, ZURU, KEBBI STATE",FUA-ZURU,Two (2) ‘A’ Level passes in Chemistry and Biology/Agricultural Science/Botany/Zoology or Physics/Mathematics/Economics.,"Five (5) SSC credit passes to include Chemistry, Biology/Agricultural Science, Mathematics and one Science/Social Science subject and at least 'O' Level pass in Physics.","Chemistry, Biology/Agriculture and Mathematics or Physics."
DOCTOR OF VETERINARY MEDICINE,"FEDERAL UNIVERSITY OF AGRICULTURE, ZURU, KEBBI STATE",FUA-ZURU,"A' level passes in Chemistry, Biology/Zoology, Physics or Mathematics.","Five (5) O' level credit passes to include English Language, Biology, Physics, Chemistry and Mathematics.","Physics, Chemistry           and Biology."
ECONOMICS / EXTENSION SERVICES,"FEDERAL UNIVERSITY OF AGRICULTURE, ZURU, KEBBI STATE",FUA-ZURU,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science plus Mathematics or Physics."
FISHERIES / FORESTRY / WILDLIFE,"FEDERAL UNIVERSITY OF AGRICULTURE, ZURU, KEBBI STATE",FUA-ZURU,Two (2) ‘A’ Level passes in Chemistry and Biology/Botany/Agric Science/Zoology/Physics.,"Five (5) SSC credit passes in English Language, Chemistry, Biology/Agricultural Science, Mathematics and Physics/Geography/Economics.","Chemistry, Biology/Agricultural Science and Mathematics/ Physics."
MATHEMATICS,"FEDERAL UNIVERSITY OF AGRICULTURE, ZURU, KEBBI STATE",FUA-ZURU,"(i) Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics.","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
PHYSICS,"FEDERAL UNIVERSITY OF AGRICULTURE, ZURU, KEBBI STATE",FUA-ZURU,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
