Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AUDIOLOGY,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, AZARE, BAUCHI STATE",FUHSA,[Not Available],[Not Available],[Not Available]
BIOSTATISTICS,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, AZARE, BAUCHI STATE",FUHSA,[Not Available],[Not Available],[Not Available]
DENTAL TECHNOLOGY,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, AZARE, BAUCHI STATE",FUHSA,[Not Available],[Not Available],[Not Available]
DENTAL THERAPY,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, AZARE, BAUCHI STATE",FUHSA,[Not Available],[Not Available],[Not Available]
DENTISTRY,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, AZARE, BAUCHI STATE",FUHSA,[Not Available],[Not Available],[Not Available]
ENVIRONMENTAL HEALTH,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, AZARE, BAUCHI STATE",FUHSA,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY AND HEALTH INFORMATICS,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, AZARE, BAUCHI STATE",FUHSA,[Not Available],[Not Available],[Not Available]
MEDICINE & SURGERY,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, AZARE, BAUCHI STATE",FUHSA,[Not Available],[Not Available],[Not Available]
NURSING,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, AZARE, BAUCHI STATE",FUHSA,[Not Available],[Not Available],[Not Available]
NUTRITION & DIETETICS,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, AZARE, BAUCHI STATE",FUHSA,[Not Available],[Not Available],[Not Available]
OPTOMETRY,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, AZARE, BAUCHI STATE",FUHSA,[Not Available],[Not Available],[Not Available]
PHYSIOTHERAPY,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, AZARE, BAUCHI STATE",FUHSA,[Not Available],[Not Available],[Not Available]
RADIOGRAPHY,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, AZARE, BAUCHI STATE",FUHSA,[Not Available],[Not Available],[Not Available]
