Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AUDIOLOGY,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, ILA-ORANGUN, OSUN STATE",FUHS-ILA,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, ILA-ORANGUN, OSUN STATE",FUHS-ILA,[Not Available],[Not Available],[Not Available]
BIOTECHNOLOGY & MOLECULAR BIOLOGY,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, ILA-ORANGUN, OSUN STATE",FUHS-ILA,[Not Available],[Not Available],[Not Available]
DOCTOR OF PHYSIOTHERAPY,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, ILA-ORANGUN, OSUN STATE",FUHS-ILA,[Not Available],[Not Available],[Not Available]
ENVIRONMENTAL HEALTH SCIENCE,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, ILA-ORANGUN, OSUN STATE",FUHS-ILA,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY AND HEALTH INFORMATICS,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, ILA-ORANGUN, OSUN STATE",FUHS-ILA,[Not Available],[Not Available],[Not Available]
MEDICAL LABORATORY SCIENCE,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, ILA-ORANGUN, OSUN STATE",FUHS-ILA,[Not Available],[Not Available],[Not Available]
MEDICINE & SURGERY,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, ILA-ORANGUN, OSUN STATE",FUHS-ILA,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, ILA-ORANGUN, OSUN STATE",FUHS-ILA,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, ILA-ORANGUN, OSUN STATE",FUHS-ILA,[Not Available],[Not Available],[Not Available]
NUTRITION & DIETETICS,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, ILA-ORANGUN, OSUN STATE",FUHS-ILA,[Not Available],[Not Available],[Not Available]
PHARMACOLOGY,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, ILA-ORANGUN, OSUN STATE",FUHS-ILA,[Not Available],[Not Available],[Not Available]
PROSTHETICS & ORTHOTICS,"FEDERAL UNIVERSITY OF HEALTH SCIENCES, ILA-ORANGUN, OSUN STATE",FUHS-ILA,[Not Available],[Not Available],[Not Available]
