Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"AIR FORCE INSTITUTE OF TECHNOLOGY, KADUNA, KADUNA STATE (DEGREE)",AFIT-DEG,"A' Level/IJMB with 9 points from Economics and any other two subjects from Business Management, Accounts, Government. ND with minimum of upper credit in Accountancy","Five (5) credits in English Language, Mathematics, Economics and any other two (2) subjects from Government, Commerce, Accounting, Geography","English Language, Mathematics, Economics Principles of Account and any other subject from Commerce, Marketing, Government and Geography"
AEROSPACE ENGINEERING,"AIR FORCE INSTITUTE OF TECHNOLOGY, KADUNA, KADUNA STATE (DEGREE)",AFIT-DEG,"IJMB – 13 points with a minimum of ‘B’ in Mathematics and Physics.
ND with Upper Credit in Aircraft Engineering Technology.","Five (5) credits in English Language, Mathematics, Physic, Chemistry and any other science subject from Additional Mathematics/Further Mathematics, Tech Drawing, Biology, Geography, Basic Electricity/Basic Electronics and Agricultural Science","English Language, Mathematics, Physic and Chemistry"
AUTOMOTIVE ENGINEERING,"AIR FORCE INSTITUTE OF TECHNOLOGY, KADUNA, KADUNA STATE (DEGREE)",AFIT-DEG,"A' Level/IJMB with 9 points from Mathematics, Physics and Chemistry. 
ND with Upper Credit in Mechanical Engineering Technology.","Five (5) credits in English, Mathematics, Physics, Chemistry and any other subject from Additional Mathematics/Further Mathematics, Tech Drawing, Biology, Geography, Basic Electricity/Basic Electronics and Agricultural Science","English Language Mathematics, Physics and Chemistry"
BANKING & FINANCE,"AIR FORCE INSTITUTE OF TECHNOLOGY, KADUNA, KADUNA STATE (DEGREE)",AFIT-DEG,"A' Level/IJMB with 9 points from Economics and any other two subjects from Business Management, Accounts, Government. ND with Upper Credit in Banking and Finance.","Five (5) credits in English Language, Mathematics, Economics and any other two (2) subjects from Government, Commerce, Accounting, Geography","English Language, Mathematics, Economics Principles of Account and any other subject from Commerce, Marketing, Government and Geography"
BUSINESS ADMINISTRATION,"AIR FORCE INSTITUTE OF TECHNOLOGY, KADUNA, KADUNA STATE (DEGREE)",AFIT-DEG,"ND with Upper Credit in Business Administration and Management, Accounting, Banking and Finance, Cooperative Economics and Management and Marketing.

A' Level/IJMB with 9 points from Economics and any other two subjects from Business Management","Five (5) credits in English Language, Mathematics, Economics and any other subject from Government, Commerce, Accounting, Book-Keeping, Book Method, Marketing, Geography, Office Technology and Civic Education.","English Language, Mathematics, Economics and any other subject from Commerce, Geography, Government and Principles of Accounts"
CHEMISTRY,"AIR FORCE INSTITUTE OF TECHNOLOGY, KADUNA, KADUNA STATE (DEGREE)",AFIT-DEG,"ND with Upper Credit in any Chemistry related programme.

A' Level/IJMB with at least grade 'C' in Chemistry and Physics","Five (5) credits in English Language, Mathematics, Physic, Chemistry and either Biology or Agricultural Science","Physic, Chemistry and (Biology or Mathematics)"
CIVIL ENGINEERING,"AIR FORCE INSTITUTE OF TECHNOLOGY, KADUNA, KADUNA STATE (DEGREE)",AFIT-DEG,"ND with Upper Credit in Civil Engineering

IJMB or GCE A ‘Level with at least 9 points in Mathematics, Physics and Chemistry. HND in Civil Engineering with Upper Credit can be considered for 300 level","Five (5) credits in English, Mathematics, Physics, Chemistry and any other subject from Additional Mathematics/Further Mathematics, Tech Drawing, Biology,  Geography, Basic Electricity/Basic Electronics and Agricultural Science","English Language, Mathematics, Physics and Chemistry"
COMPUTER SCIENCE,"AIR FORCE INSTITUTE OF TECHNOLOGY, KADUNA, KADUNA STATE (DEGREE)",AFIT-DEG,(i) Two (2) 'A' Level passes with at least grade 'C' in Mathematics and Physics. (ii) ND with Upper Credit in Computer Science.,"Five (5) credits in English, Mathematics, Physics, Chemistry and any other subject from Computer Studies, Additional Mathematics/Further Mathematics, Tech Drawing, Biology, Geography, Basic Electricity/Basic Electronics and Agricultural Science","English Language, Mathematics, Physics and any other subject from Computer Studies, Chemistry, Geography, Biology, Agric Science and Economics."
CYBER SECURITY,"AIR FORCE INSTITUTE OF TECHNOLOGY, KADUNA, KADUNA STATE (DEGREE)",AFIT-DEG,(i) Two (2) 'A' Level passes with at least grade 'C' in Mathematics and Physics. (ii) ND with Upper Credit in Computer Science.,"Five (5) credits in English, Mathematics, Physics, Chemistry and any other subject from Computer Studies, Additional Mathematics/Further Mathematics, Tech Drawing, Biology, Geography, Basic Electricity/Basic Electronics and Agricultural Science","English Language, Mathematics, Physics and any other subject from Computer Studies, Chemistry, Geography, Biology, Agric Science and Economics."
ECONOMICS,"AIR FORCE INSTITUTE OF TECHNOLOGY, KADUNA, KADUNA STATE (DEGREE)",AFIT-DEG,"A' Level/IJMB with 9 points from Economics and any other two social science subjects.

ND with Upper Credit in any social and management sciences programme.","Five (5) credits in English Language, Mathematics, Economics and any other two (2) subjects from Government, Commerce, Accounting, Geography, Agricultural Science, CRS/IRS, Further Mathematics and physics","Mathematics, Economics and any other subject from Government, Commerce, Accounting, Geography, Agricultural Science and physics"
