Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
CHEMICAL ENGINEERING,"FEDERAL UNIVERSITY OF PETROLEUM RESOURCES, EFFURUN, DELTA STATE",FUPRE,"'A' Level passes in Physics, Chemistry and Mathematics.","Five (5) credit passes including English Language, Mathematics, Physics, Chemistry and any other subject from either Biology, Agricultural Science, Technical Drawing, Further Mathematics, Geography, Economics, Dying & Bleaching or Leather Goods Manufacturing.","Mathematics, Physics and Chemistry."
CHEMISTRY,"FEDERAL UNIVERSITY OF PETROLEUM RESOURCES, EFFURUN, DELTA STATE",FUPRE,"Two 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.","Five (5) credit passes including English Language, Mathematics, Chemistry, Physics and any other subject from Biology/Agricultural Science, Computer Studies, Cosmetology and Dying & Bleaching","Chemistry, Mathematics, Physics or Biology."
CIVIL ENGINEERING,"FEDERAL UNIVERSITY OF PETROLEUM RESOURCES, EFFURUN, DELTA STATE",FUPRE,"(i)       'A' Level passes in Physics, Chemistry and Mathematics","Five (5) credit passes including English Language, Mathematics, Physics, Chemistry and any other subject from Biology, Agricultural Science, Technical Drawing, Further Mathematics, Geography, Economics, Data Processing","Physics, Chemistry and Mathematics"
COMPUTER ENGINEERING,"FEDERAL UNIVERSITY OF PETROLEUM RESOURCES, EFFURUN, DELTA STATE",FUPRE,"'A' Level passes in Mathematics, Chemistry and Physics.","Five (5) credit passes including English Language, Mathematics, Physics, Chemistry and any other subject from Biology, Agricultural Science, Technical Drawing, Further Mathematics, Geography, Economics, Computer Studies, Data Processing/GSM Maintenance","Mathematics, Physics and Chemistry."
COMPUTER SCIENCE,"FEDERAL UNIVERSITY OF PETROLEUM RESOURCES, EFFURUN, DELTA STATE",FUPRE,Two (2) 'A' Level passes in science subjects including Mathematics,"Five (5) credit passes including English Language, Mathematics, Physics and any other two subject from Computer Studies, Chemistry, Biology/Agricultural Science or Data Processing/GSM Maintenance.","Mathematics, Physics and any other from Chemistry, Biology or Agricultural Science."
ELECTRICAL /ELECTRONICS ENGINEERING,"FEDERAL UNIVERSITY OF PETROLEUM RESOURCES, EFFURUN, DELTA STATE",FUPRE,"'A' Level passes in Mathematics, Physics and Chemistry","Five (5) credit passes including English Language, Mathematics, Physics, Chemistry and any other subject from Biology, Agricultural Science, Technical Drawing, Further Mathematics, Geography, Economics, Electrical Installation & Maintenance Work, Auto Electrical Work.","Mathematics, Physics and Chemistry"
ENVIRONMENTAL MANAGEMENT & TOXICOLOGY,"FEDERAL UNIVERSITY OF PETROLEUM RESOURCES, EFFURUN, DELTA STATE",FUPRE,Two (2) 'A' Level passes in Chemistry and Biology,"Five (5) credit passes including English Language, Mathematics, Biology, Chemistry, and  Physics or a pass in Physics and a credit pass in Geography, Computer Studies, Agricultural Science, Health Education, Fisheries or Tourism","Biology, Chemistry, Mathematics or Physics"
GEOLOGY,"FEDERAL UNIVERSITY OF PETROLEUM RESOURCES, EFFURUN, DELTA STATE",FUPRE,"Two (2) 'A' Level passes from Chemistry, Mathematics, Physics, Biology and Geography.","Five (5) credit passes including English Language, Mathematics, Chemistry, Physics and any other subject from Computer Studies, Biology, Agricultural Science, Geography, Data Processing or Mining.","Mathematics, Chemistry and any other one from Physics, Biology and Geography."
GEOPHYSICS,"FEDERAL UNIVERSITY OF PETROLEUM RESOURCES, EFFURUN, DELTA STATE",FUPRE,Two 'A' Level passes in Chemistry and Physics or Mathematics.,"Five (5) credit passes including English Language, Mathematics, Chemistry, Physics and any other one from  Biology, Agricultural Science, Geography, Computer Studies, Data Processing or Mining.","Mathematics, Chemistry and Physics"
INDUSTRIAL CHEMISTRY,"FEDERAL UNIVERSITY OF PETROLEUM RESOURCES, EFFURUN, DELTA STATE",FUPRE,Two (2) 'A' Level passes in Chemistry and Mathematics or Biology,"Five (5) credit passes including English Language, Mathematics, Chemistry, Physics and any other subject from Biology, Agricultural Science, Computer Studies, Cosmetology and Dying & Bleaching","Chemistry, Mathematics, Physics or Biology"
