Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
APPLIED GEOPHYSICS,"FEDERAL UNIVERSITY OF TECHNOLOGY, BABURA, JIGAWA STATE",FUT-BABURA,[Not Available],[Not Available],[Not Available]
BIOLOGY,"FEDERAL UNIVERSITY OF TECHNOLOGY, BABURA, JIGAWA STATE",FUT-BABURA,[Not Available],[Not Available],[Not Available]
BIOTECHNOLOGY,"FEDERAL UNIVERSITY OF TECHNOLOGY, BABURA, JIGAWA STATE",FUT-BABURA,[Not Available],[Not Available],[Not Available]
CHEMISTRY,"FEDERAL UNIVERSITY OF TECHNOLOGY, BABURA, JIGAWA STATE",FUT-BABURA,[Not Available],[Not Available],[Not Available]
CIVIL ENGINEERING,"FEDERAL UNIVERSITY OF TECHNOLOGY, BABURA, JIGAWA STATE",FUT-BABURA,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"FEDERAL UNIVERSITY OF TECHNOLOGY, BABURA, JIGAWA STATE",FUT-BABURA,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"FEDERAL UNIVERSITY OF TECHNOLOGY, BABURA, JIGAWA STATE",FUT-BABURA,[Not Available],[Not Available],[Not Available]
ELECTRICAL ENGINEERING,"FEDERAL UNIVERSITY OF TECHNOLOGY, BABURA, JIGAWA STATE",FUT-BABURA,[Not Available],[Not Available],[Not Available]
INDUSTRIAL CHEMISTRY,"FEDERAL UNIVERSITY OF TECHNOLOGY, BABURA, JIGAWA STATE",FUT-BABURA,[Not Available],[Not Available],[Not Available]
MATHEMATICS,"FEDERAL UNIVERSITY OF TECHNOLOGY, BABURA, JIGAWA STATE",FUT-BABURA,[Not Available],[Not Available],[Not Available]
MECHANICAL ENGINEERING,"FEDERAL UNIVERSITY OF TECHNOLOGY, BABURA, JIGAWA STATE",FUT-BABURA,[Not Available],[Not Available],[Not Available]
PHYSICS,"FEDERAL UNIVERSITY OF TECHNOLOGY, BABURA, JIGAWA STATE",FUT-BABURA,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"FEDERAL UNIVERSITY OF TECHNOLOGY, BABURA, JIGAWA STATE",FUT-BABURA,[Not Available],[Not Available],[Not Available]
