Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AEROSPACE ENGINEERING,"FEDERAL UNIVERSITY OF TECHNOLOGY, IKOT-ABASI, AKWA IBOM STATE",FUTIA,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"FEDERAL UNIVERSITY OF TECHNOLOGY, IKOT-ABASI, AKWA IBOM STATE",FUTIA,[Not Available],[Not Available],[Not Available]
CIVIL ENGINEERING,"FEDERAL UNIVERSITY OF TECHNOLOGY, IKOT-ABASI, AKWA IBOM STATE",FUTIA,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"FEDERAL UNIVERSITY OF TECHNOLOGY, IKOT-ABASI, AKWA IBOM STATE",FUTIA,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"FEDERAL UNIVERSITY OF TECHNOLOGY, IKOT-ABASI, AKWA IBOM STATE",FUTIA,[Not Available],[Not Available],[Not Available]
ELECTRICAL AND ELECTRONICS ENGINEERING,"FEDERAL UNIVERSITY OF TECHNOLOGY, IKOT-ABASI, AKWA IBOM STATE",FUTIA,[Not Available],[Not Available],[Not Available]
LIBRARY & INFORMATION TECHNOLOGY,"FEDERAL UNIVERSITY OF TECHNOLOGY, IKOT-ABASI, AKWA IBOM STATE",FUTIA,[Not Available],[Not Available],[Not Available]
MATHEMATICS/STATISTICS,"FEDERAL UNIVERSITY OF TECHNOLOGY, IKOT-ABASI, AKWA IBOM STATE",FUTIA,[Not Available],[Not Available],[Not Available]
MECHANICAL ENGINEERING,"FEDERAL UNIVERSITY OF TECHNOLOGY, IKOT-ABASI, AKWA IBOM STATE",FUTIA,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"FEDERAL UNIVERSITY OF TECHNOLOGY, IKOT-ABASI, AKWA IBOM STATE",FUTIA,[Not Available],[Not Available],[Not Available]
PHYSICS,"FEDERAL UNIVERSITY OF TECHNOLOGY, IKOT-ABASI, AKWA IBOM STATE",FUTIA,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"FEDERAL UNIVERSITY OF TECHNOLOGY, IKOT-ABASI, AKWA IBOM STATE",FUTIA,[Not Available],[Not Available],[Not Available]
