Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AGRIBUSINESS,"FEDERAL UNIVERSITY OF TECHNOLOGY, OWERRI, IMO STATE",FUTO,[Not Available],[Not Available],[Not Available]
AGRICULTURAL ECONOMICS,"FEDERAL UNIVERSITY OF TECHNOLOGY, OWERRI, IMO STATE",FUTO,"FUTO requires

i.     At least two A’ level passes not below Grade C in Chemistry and any one of Zoology, Botany, Agricultural Science, Biology, Mathematics, Physics and Economics.

ii     OND/HND at Credit in Life Sciences.

iii. First Degree in Life Sciences.

iv. Very good passes in three JUPEB subjects namely Chemistry ,   Biology/ Agricultural Science, Mathematics , Physics and Economics

Candidates must in addition meet the ‘O’ Level requirements.  FUTO does not accept NCE","At least five O’ Level Credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and any other subject, in not more than two sittings.","Any three of Chemistry, Biology/Agricultural Science, Mathematics Physics and Economics"
AGRICULTURAL ENGINEERING,"FEDERAL UNIVERSITY OF TECHNOLOGY, OWERRI, IMO STATE",FUTO,"FUTO requires:

i. At least two ‘A’ level passes not below Grade C in Physics, Mathematics, Chemistry and Biology

ii. ND/ HND  at  Credit level in Physics, Mathematics, Statistics, Chemistry, Computer Science, Geology or any Engineering Discipline

iii. . First Degree in Physics, Mathematics, Statistics, Chemistry, Computer Science, Geology or any Engineering Discipline

iv. Very good passes in three JUPEB subjects namely Chemistry, Physics and Mathematics.

Candidates must in addition meet the ‘O’ Level requirements.  FUTO does not accept NCE","At least five O’ Level credit passes in not more than two (2) sitting to include Mathematics, Chemistry, Physics, English Language and any  from Biology, Agricultural Science, Further Mathematics, Technical Drawing, Computer Studies, Data processing, Metal work, Wood-work Technology","Mathematics, Chemistry and Physics."
AGRICULTURE,"FEDERAL UNIVERSITY OF TECHNOLOGY, OWERRI, IMO STATE",FUTO,"FUTO requires

i.     At least two A’ level passes not below Grade C in Chemistry and any one of Zoology, Botany, Agricultural Science, Biology, Mathematics, Physics and Economics.

ii     OND/HND at Credit in Life Sciences.

iii. First Degree in Life Sciences.

iv. Very good passes in three JUPEB subjects namely Chemistry ,   Biology/ Agricultural Science, Mathematics , Physics and Economics

Candidates must in addition meet the ‘O’ Level requirements.  FUTO does not accept NCE","At least five O’ Level Credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and any other subject, in not more than two sittings.","Any three of Chemistry, Biology/Agricultural Science, Mathematics Physics and Economics"
ANIMAL SCIENCE AND TECHNOLOGY,"FEDERAL UNIVERSITY OF TECHNOLOGY, OWERRI, IMO STATE",FUTO,"FUTO requires

i.     At least two A’ level passes not below Grade C in Chemistry and any one of Zoology, Botany, Agricultural Science, Biology, Mathematics, Physics and Economics.

ii     OND/HND at Credit in Life Sciences.

iii. First Degree in Life Sciences.

iv. Very good passes in three JUPEB subjects namely Chemistry ,   Biology/ Agricultural Science, Mathematics , Physics and Economics

Candidates must in addition meet the ‘O’ Level requirements.  FUTO does not accept NCE","At least five O’ Level Credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and any other subject, in not more than two sittings","Any three of Chemistry, Biology/Agricultural Science, Mathematics Physics and Economics"
ARCHITECTURE,"FEDERAL UNIVERSITY OF TECHNOLOGY, OWERRI, IMO STATE",FUTO,"FUTO requires:

i. At least two ‘A’ level passes not below Grade C in Mathematics and Physics.

ii. ND/HND at Upper Credit level in Architectural Technology, Building, Quantity Surveying and Engineering

iii. First Degree in Building, Quantity Surveying and   Civil Engineering

iv. Very good passes in three JUPEB subjects namely, Mathematics, Physics, and Chemistry

 Candidates must in addition meet the ‘O’ Level requirements.  FUTO does not accept NCE","At least five O’Level credit passes in English Language, Mathematics, Physics, and any two of Chemistry, Geography, Economics, Biology, Technical Drawing and Fine Arts, in not more than two sittings.","Mathematics, Physics and any one of Fine Art, Geography, Chemistry, and Economics."
BIOCHEMISTRY,"FEDERAL UNIVERSITY OF TECHNOLOGY, OWERRI, IMO STATE",FUTO,"FUTO  requires:

i.    At least two ‘A’ Level passes not below Grade C in  Physics, Chemistry and Biology.

ii. ND/HND at Credit level in life sciences.

iii.   First Degree in life sciences.

iv. Very good passes in three JUPEB subjects namely Chemistry, Biology and Physics / Mathematics.

 

Candidates must in addition meet the ‘O’ Level requirements.  FUTO does not accept NCE","Five O’ level credit passes in English Language, Chemistry, Mathematics, Physics and Biology in not more than two sittings.","Biology, Chemistry and Physics /Mathematics."
BIOLOGICAL SCIENCE(S),"FEDERAL UNIVERSITY OF TECHNOLOGY, OWERRI, IMO STATE",FUTO,"FUTO  requires:

i.    At least two ‘A’ Level passes not below Grade C in Physics, Chemistry and Biology.

 ii. ND/HND at Credit level in  life sciences.

iii.   First Degree in life sciences.

iv. Very good passes in three JUPEB subjects namely Chemistry, Biology and  Physics/Mathematics

 

Candidates must in addition meet the ‘O’ Level requirements.  FUTO does not accept NCE","Five O’ level credit passes in English Language, Chemistry, Mathematics, Physics and Biology in not more than two sittings.","Biology, Chemistry and Physics/Mathematics."
BIOLOGY,"FEDERAL UNIVERSITY OF TECHNOLOGY, OWERRI, IMO STATE",FUTO,"FUTO  requires:

i.    At least two ‘A’ Level passes not below Grade C in Physics, Chemistry and Biology.

 ii. ND/HND at Credit level in  life sciences.

iii.   First Degree in life sciences.

iv. Very good passes in three JUPEB subjects namely Chemistry, Biology and  Physics/Mathematics

 

Candidates must in addition meet the ‘O’ Level requirements.  FUTO does not accept NCE","Five O’ level credit passes in English Language, Chemistry, Mathematics, Physics and Biology in not more than two sittings.","Biology, Chemistry and Physics/Mathematics."
BIOMEDICAL ENGINEERING,"FEDERAL UNIVERSITY OF TECHNOLOGY, OWERRI, IMO STATE",FUTO,"FUTO  requires:

i. At least two ‘A’ level passes not below Grade C in Physics Chemistry, Biology and Mathematics.

ii. OND/HND at Credit level in Biomedical Engineering/Technology, Biomedical and Health Sciences or any Physical/Engineering Sciences discipline

iii. First Degree in Biomedical Engineering/Technology, Biomedical and Health Sciences, Physical/Engineering Sciences discipline.

iv. Very good passes in three JUPEB subjects namely Chemistry, Physics and Mathematics.

 

Candidates must in addition meet the ‘O’ Level requirements.  FUTO does not accept NCE","At least five O’ Level credit passes in  English Language, Mathematics, Chemistry, Physics and Biology in not more than two sittings","Mathematics, Chemistry and Physics."
