Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
CIVIL ENGINEERING,"NIGERIAN MARITIME UNIVERSITY, OKERENKOKO, DELTA STATE",MARITIME-U,(i) 'A' Level passes in Physics and Mathematics. (ii) ND/HND upper credit at appropriate levels.,"Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and one Science subject","Physics, Chemistry and Mathematics"
ELECTRICAL ENGINEERING,"NIGERIAN MARITIME UNIVERSITY, OKERENKOKO, DELTA STATE",MARITIME-U,"(i)      'A' Level passes in Mathematics and Physics.

 ND/HND in Elect Eng. Upper/Lower credit respectively.","Five (5) SSC credit passes including Mathematics, Physics, Chemistry and English Language.","Mathematics, Physics and Chemistry."
ENVIRONMENTAL MANAGEMENT & POLLUTION CONTROL,"NIGERIAN MARITIME UNIVERSITY, OKERENKOKO, DELTA STATE",MARITIME-U,"Two (2) ‘A’ Level passes in Chemistry and any one of Biology, Agricultural Science, Botany and Zoology.","Five (5) SSC credit passes in English Language, Chemistry, Biology Science, Physics and Mathematics.","Chemistry, Biology and Mathematics/ Physics"
FISHERIES & AQUACULTURE,"NIGERIAN MARITIME UNIVERSITY, OKERENKOKO, DELTA STATE",MARITIME-U,"(i) Two (2) 'A' Level passes in any of Chemistry, Biology, Botany, Zoology, Agricultural Science Geography, Mathematics (pure & applied), Physics, Geology and Economics.

 

(ii)NCE Agriculture","Five (5) SSC credit passes in Biology/Agricultural Science, Chemistry, Mathematics and English Language plus any other Science subject.","Chemistry, Biology/Agricultural Science and any other Science subject."
MARINE ECONOMICS & FINANCE,"NIGERIAN MARITIME UNIVERSITY, OKERENKOKO, DELTA STATE",MARITIME-U,"(i)       'A' Level passes in Physics and Mathematics.

(ii)     ND/HND upper credit at appropriate levels.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and one Science subject","Chemistry, Mathematics and Physics."
MARINE ENGINEERING,"NIGERIAN MARITIME UNIVERSITY, OKERENKOKO, DELTA STATE",MARITIME-U,"(i)       'A' Level passes in Physics and Mathematics.

(ii)     ND/HND upper credit at appropriate levels.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and one Science subject .","Chemistry, Mathematics and Physics."
MARINE GEOLOGY,"NIGERIAN MARITIME UNIVERSITY, OKERENKOKO, DELTA STATE",MARITIME-U,"(i) Two (2) 'A' Level passes from Geology, Chemistry, Mathematics, Physics, Biology and Geography.","Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and any other subject.","Any three (3) of Chemistry, Physics, Mathematics, Biology and Geography."
MECHANICAL ENGINEERING,"NIGERIAN MARITIME UNIVERSITY, OKERENKOKO, DELTA STATE",MARITIME-U,"(i)        Two (2) 'A' Level passes from Chemistry, Physics and Mathematics.

(ii)       ND upper credit, NCE technical and HND in Mech. Engineering.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and any other Science subject.","Mathematics, Physics and Chemistry."
METEOROLOGY & CLIMATE CHANGE,"NIGERIAN MARITIME UNIVERSITY, OKERENKOKO, DELTA STATE",MARITIME-U,"(i) ND upper credit in Meteorology in addition to the 'O' Level requirements.  OR

(ii)WMO Class II Certificate in Weather Forecasting in     addition to the 'O' Level requirements.

(iii) 'A' Level passes in Mathematics and Physics in addition to the SSC requirements.","Five (5) SSC credit passes including Physics, Mathematics and English Language and either Chemistry or Geography","Mathematics, Physics, Chemistry or Geography"
METEOROLOGY AND CLIMATE CHANGE,"NIGERIAN MARITIME UNIVERSITY, OKERENKOKO, DELTA STATE",MARITIME-U,"(i)       'A' Level passes in Mathematics and Physics.

(ii)      ND upper credit level in Meteorology.

NMO Class II Certificate in Weather Forecasting, plus 'O' Level SSC requirements","Five (5) SSC credit passes including Physics, Mathematics. English Language and either Chemistry or Geography","Mathematics, Physics, Chemistry or Geography."
NAUTICAL SCIENCE,"NIGERIAN MARITIME UNIVERSITY, OKERENKOKO, DELTA STATE",MARITIME-U,"'A' Level passes in any two (2) of  Mathematics, Physics and Chemistry","'A' Level passes in any two (2) of  Mathematics, Physics and Chemistry","Mathematics, Chemistry and Physics"
PETROLEUM & GAS ENGINEERING,"NIGERIAN MARITIME UNIVERSITY, OKERENKOKO, DELTA STATE",MARITIME-U,"'A' Level passes to include Physics, Chemistry and Mathematics.","Five (5) SSC credits to include Physics, Chemistry, Mathematics, English Language and any one Science subject.","Chemistry, Mathematics and Physics"
PORT MANAGEMENT,"NIGERIAN MARITIME UNIVERSITY, OKERENKOKO, DELTA STATE",MARITIME-U,"(i)     Two ‘A’ level passes in Physics/Mathematics/Economics/Geography.

ii)             OND/HND in Estate Management, Quantity Surveying, Building Tech and Engineering (Upper/Lower credit).","Five (5) SSCE credit passes to include English Language, Mathematics,  Physics plus a pass in Chemistry and either Economics  or  Biology.","Mathematics, Physics and one of Chemistry, Economics and Biology."
TRANSPORT LOGISTICS MANAGEMENT,"NIGERIAN MARITIME UNIVERSITY, OKERENKOKO, DELTA STATE",MARITIME-U,"(i)     Two ‘A’ level passes in Physics/Mathematics/Economics/Geography.

ii)             OND/HND in Estate Management, Quantity Surveying, Building Tech and Engineering (Upper/Lower credit).","Five (5) SSCE credit passes to include English Language, Mathematics,  Physics plus a pass in Chemistry and either Economics  or  Biology.","Mathematics, Physics and one of Chemistry, Economics and Biology."
