Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"AL-MUHIBBAH OPEN UNIVERSITY, KUBWA, ABUJA",AL-MUHIBBAH,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"AL-MUHIBBAH OPEN UNIVERSITY, KUBWA, ABUJA",AL-MUHIBBAH,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"AL-MUHIBBAH OPEN UNIVERSITY, KUBWA, ABUJA",AL-MUHIBBAH,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"AL-MUHIBBAH OPEN UNIVERSITY, KUBWA, ABUJA",AL-MUHIBBAH,[Not Available],[Not Available],[Not Available]
DATA SCIENCE,"AL-MUHIBBAH OPEN UNIVERSITY, KUBWA, ABUJA",AL-MUHIBBAH,[Not Available],[Not Available],[Not Available]
ECONOMICS,"AL-MUHIBBAH OPEN UNIVERSITY, KUBWA, ABUJA",AL-MUHIBBAH,[Not Available],[Not Available],[Not Available]
ENTREPRENEURSHIP,"AL-MUHIBBAH OPEN UNIVERSITY, KUBWA, ABUJA",AL-MUHIBBAH,[Not Available],[Not Available],[Not Available]
HEALTH CARE AND HOSPITAL MANAGEMENT,"AL-MUHIBBAH OPEN UNIVERSITY, KUBWA, ABUJA",AL-MUHIBBAH,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS,"AL-MUHIBBAH OPEN UNIVERSITY, KUBWA, ABUJA",AL-MUHIBBAH,[Not Available],[Not Available],[Not Available]
MARKETING,"AL-MUHIBBAH OPEN UNIVERSITY, KUBWA, ABUJA",AL-MUHIBBAH,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"AL-MUHIBBAH OPEN UNIVERSITY, KUBWA, ABUJA",AL-MUHIBBAH,[Not Available],[Not Available],[Not Available]
PROJECT MANAGEMENT,"AL-MUHIBBAH OPEN UNIVERSITY, KUBWA, ABUJA",AL-MUHIBBAH,[Not Available],[Not Available],[Not Available]
PUBLIC HEALTH,"AL-MUHIBBAH OPEN UNIVERSITY, KUBWA, ABUJA",AL-MUHIBBAH,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"AL-MUHIBBAH OPEN UNIVERSITY, KUBWA, ABUJA",AL-MUHIBBAH,[Not Available],[Not Available],[Not Available]
