Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"ICONIC OPEN UNIVERSITY, SOKOTO, SOKOTO STATE",ICONIC-OU,[Not Available],[Not Available],[Not Available]
ARABIC STUDIES,"ICONIC OPEN UNIVERSITY, SOKOTO, SOKOTO STATE",ICONIC-OU,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"ICONIC OPEN UNIVERSITY, SOKOTO, SOKOTO STATE",ICONIC-OU,[Not Available],[Not Available],[Not Available]
CRIMINOLOGY AND SECURITY STUDIES,"ICONIC OPEN UNIVERSITY, SOKOTO, SOKOTO STATE",ICONIC-OU,[Not Available],[Not Available],[Not Available]
ENGLISH,"ICONIC OPEN UNIVERSITY, SOKOTO, SOKOTO STATE",ICONIC-OU,[Not Available],[Not Available],[Not Available]
HEALTH INFORMATION MANAGEMENT,"ICONIC OPEN UNIVERSITY, SOKOTO, SOKOTO STATE",ICONIC-OU,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"ICONIC OPEN UNIVERSITY, SOKOTO, SOKOTO STATE",ICONIC-OU,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS AND DIPLOMACY,"ICONIC OPEN UNIVERSITY, SOKOTO, SOKOTO STATE",ICONIC-OU,[Not Available],[Not Available],[Not Available]
ISLAMIC STUDIES,"ICONIC OPEN UNIVERSITY, SOKOTO, SOKOTO STATE",ICONIC-OU,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"ICONIC OPEN UNIVERSITY, SOKOTO, SOKOTO STATE",ICONIC-OU,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"ICONIC OPEN UNIVERSITY, SOKOTO, SOKOTO STATE",ICONIC-OU,[Not Available],[Not Available],[Not Available]
PUBLIC ADMINISTRATION,"ICONIC OPEN UNIVERSITY, SOKOTO, SOKOTO STATE",ICONIC-OU,[Not Available],[Not Available],[Not Available]
PUBLIC HEALTH,"ICONIC OPEN UNIVERSITY, SOKOTO, SOKOTO STATE",ICONIC-OU,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"ICONIC OPEN UNIVERSITY, SOKOTO, SOKOTO STATE",ICONIC-OU,[Not Available],[Not Available],[Not Available]
