Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"MIVA OPEN UNIVERSITY, UTAKO, ABUJA",MIVA,"Two (2) ‘A’ Level passes including Economics and one of Accounting, Mathematics, Statistics, Business Management.

 

HND/ND/NCE at Credit/Merit level in relevant programmes/subjects.","Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Use of English, Mathematics, Economics and any other Social Science subject."
BUSINESS MANAGEMENT,"MIVA OPEN UNIVERSITY, UTAKO, ABUJA",MIVA,"Two (2) ‘A’ Level passes including Economics and one of Accounting, Mathematics, Statistics, Business Management.

 

HND/ND/NCE at Credit/Merit level in relevant programmes/subjects.","Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) Art, Commercial or Social Science subjects.","Use of English, Mathematics, Economics and any other Social Science subject."
COMPUTER SCIENCE,"MIVA OPEN UNIVERSITY, UTAKO, ABUJA",MIVA,"Two (2) ‘A’ Level passes in sciences subjects, including Mathematics.

 

HND/ND/NCE at Credit/Merit level in relevant programmes/subjects.","Five (5) SSC credit passes including English Language, Mathematics, Physics and two (2) other Science subjects.","Use of English, Mathematics, Physics and one (1) of Biology, Chemistry, Agricultural Science, Economics and Geography."
CYBER SECURITY,"MIVA OPEN UNIVERSITY, UTAKO, ABUJA",MIVA,"Two (2) ‘A’ Level passes in sciences subjects, including Mathematics.

 

HND/ND/NCE at Credit/Merit level in relevant programmes/subjects.","Five (5) SSC credit passes including English Language, Mathematics, Physics and two (2) other Science subjects.","Use of English, Mathematics, Physics and one (1) of Biology, Chemistry, Agricultural Science, Economics and Geography."
DATA SCIENCE,"MIVA OPEN UNIVERSITY, UTAKO, ABUJA",MIVA,"Two (2) ‘A’ Level passes including Economics and one of Accounting, Mathematics, Statistics, Business Management.

 

HND/ND/NCE at Credit/Merit level in relevant programmes/subjects.","Five (5) SSC credit passes including English Language, Mathematics, Physics and two (2) other Science subjects.","Use of English, Mathematics, Physics and one (1) of Biology, Chemistry, Agricultural Science, Economics and Geography."
ECONOMICS,"MIVA OPEN UNIVERSITY, UTAKO, ABUJA",MIVA,"Two (2) ‘A’ Level passes including Economics and one of Accounting, Mathematics, Statistics, Business Management, Geography, History, Government.

 

HND/ND/NCE at Credit/Merit level in relevant programmes/subjects.","Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) Art, Commercial or Social Science subjects.","Use of English, Mathematics, Economics and any other Social Science subject."
NURSING SCIENCE,"MIVA OPEN UNIVERSITY, UTAKO, ABUJA",MIVA,Registered Nurse Certificate (RN) and the required five subjects at SSC.,"Five SSC credit passes including Mathematics, Physics, Chemistry, Biology and English Language at not more than two sittings.","Use of English, Physics, Chemistry, Biology"
PUBLIC HEALTH,"MIVA OPEN UNIVERSITY, UTAKO, ABUJA",MIVA,"National Diploma in Science Laboratory Technology, Diploma in

Medical Laboratory Science, Diploma Dental Technology, Community Health Extension Workers, and other candidates such as Registered Nurses and Registered Midwives.




Five SSSC (or equivalent) credit passes in relevant subjects, two of which are at the Advanced Level.","Five credit passes at the SSC in English Language, Mathematics, Biology or Health Science, Chemistry, Physics.","Use of English, Biology, Chemistry, Physics"
PUBLIC POLICY AND ADMINISTRATION,"MIVA OPEN UNIVERSITY, UTAKO, ABUJA",MIVA,"Two (2) A' level/IJMB/JUPEB passes in Economics and Government/History/Social Studies/Sociology.

HND/ND/NCE at Credit/Merit level in relevant programmes/subjects.","Five (5) SSC O'Level credit passes to include English Language,  Economics or Government or History or Civic Education. Candidates must obtain at least a pass in Mathematics.","Use of English, Government, Economics and any other subject."
SOFTWARE ENGINEERING,"MIVA OPEN UNIVERSITY, UTAKO, ABUJA",MIVA,"Two (2) ‘A’ Level passes in sciences subjects, including Mathematics.

 

HND/ND/NCE at Credit/Merit level in relevant programmes/subjects.","Five (5) SSC credit passes including English Language, Mathematics, Physics and two (2) other Science subjects.","Use of English, Mathematics, Physics and one (1) of Biology, Chemistry, Agricultural Science, Economics and Geography."
