Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AGRICULTURAL SCIENCE AND EDUCATION,"ABUBAKAR TATARI ALI POLYTECHNIC, BAUCHI STATE. (AFFILIATED TO ATBU BAUCHI)",ATAPOLY-DG,[Not Available],[Not Available],[Not Available]
AUTOMOBILE TECHNOLOGY EDUCATION,"ABUBAKAR TATARI ALI POLYTECHNIC, BAUCHI STATE. (AFFILIATED TO ATBU BAUCHI)",ATAPOLY-DG,"NCE merit in relevant subjects.

 

 Two (2) 'A' Level passes in the subjects listed under the UTME requirements.","Five (5) 'O' Level credit passes in English Language Mathematics and one (1) of Biology /Agricultural Science; Physics, or Chemistry and two (2) from General Science/IntegratedScience, Technical Drawing/Fine Art, Geography, Health Science Food and Nutrition, Physical and Health Education, Auto Technical, Building, Electrical Electronic, Metal Work and Wood Work.","Math, Physics and any other subject."
BUILDING TECHNOLOGY EDUCATION,"ABUBAKAR TATARI ALI POLYTECHNIC, BAUCHI STATE. (AFFILIATED TO ATBU BAUCHI)",ATAPOLY-DG,Same as in Electrical Electronics Engineering,Same as in Electrical Electronics Engineering,Same as in Electrical Electronics Engineering
BUSINESS EDUCATION,"ABUBAKAR TATARI ALI POLYTECHNIC, BAUCHI STATE. (AFFILIATED TO ATBU BAUCHI)",ATAPOLY-DG,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
EDUCATION & COMPUTER SCIENCE,"ABUBAKAR TATARI ALI POLYTECHNIC, BAUCHI STATE. (AFFILIATED TO ATBU BAUCHI)",ATAPOLY-DG,Two (2) ‘A’ Level passes including Physics or Chemistry.,"Five (5) SSC credit passes or its equivalents including Mathematics, English Language and three (3) other Science subjects.","Mathematics, Physics and one of Biology, Chemistry and Geography."
EDUCATION AND BIOLOGY,"ABUBAKAR TATARI ALI POLYTECHNIC, BAUCHI STATE. (AFFILIATED TO ATBU BAUCHI)",ATAPOLY-DG,[Not Available],[Not Available],[Not Available]
EDUCATION AND CHEMISTRY,"ABUBAKAR TATARI ALI POLYTECHNIC, BAUCHI STATE. (AFFILIATED TO ATBU BAUCHI)",ATAPOLY-DG,[Not Available],[Not Available],[Not Available]
EDUCATION AND INTEGRATED SCIENCE,"ABUBAKAR TATARI ALI POLYTECHNIC, BAUCHI STATE. (AFFILIATED TO ATBU BAUCHI)",ATAPOLY-DG,[Not Available],[Not Available],[Not Available]
EDUCATION AND MATHEMATICS,"ABUBAKAR TATARI ALI POLYTECHNIC, BAUCHI STATE. (AFFILIATED TO ATBU BAUCHI)",ATAPOLY-DG,[Not Available],[Not Available],[Not Available]
ELECTRICAL/ELECTRONICS EDUCATION,"ABUBAKAR TATARI ALI POLYTECHNIC, BAUCHI STATE. (AFFILIATED TO ATBU BAUCHI)",ATAPOLY-DG,Same as in Electrical Electronics Engineering,Same as in Electrical Electronics Engineering,Same as in Electrical Electronics Engineering
METAL WORK TECHNOLOGY EDUCATION,"ABUBAKAR TATARI ALI POLYTECHNIC, BAUCHI STATE. (AFFILIATED TO ATBU BAUCHI)",ATAPOLY-DG,"NCE merit in relevant subjects.

 

 Two (2) 'A' Level passes in the subjects listed under the UTME requirements.","Five (5) 'O' Level credit passes in English Language Mathematics and one (1) of Biology /Agricultural Science; Physics, or Chemistry and two (2) from General Science/IntegratedScience, Technical Drawing/Fine Art, Geography, Health Science Food and Nutrition, Physical and Health Education, Auto Technical, Building, Electrical Electronic, Metal Work and Wood Work.","Math, Physics and any other subject."
WOODWORK TECHNOLOGY EDUCATION,"ABUBAKAR TATARI ALI POLYTECHNIC, BAUCHI STATE. (AFFILIATED TO ATBU BAUCHI)",ATAPOLY-DG,"NCE merit in relevant subjects.

 

 Two (2) 'A' Level passes in the subjects listed under the UTME requirements.","Five (5) 'O' Level credit passes in English Language Mathematics and one (1) of Biology /Agricultural Science; Physics, or Chemistry and two (2) from General Science/IntegratedScience, Technical Drawing/Fine Art, Geography, Health Science Food and Nutrition, Physical and Health Education, Auto Technical, Building, Electrical Electronic, Metal Work and Wood Work.","Math, Physics and any other subject."
