Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ADULT EDUCATION,"ADENIRAN OGUNSANYA COL OF EDU, OTTO-IJANIKIN, LAGOS (AFFL TO EKITI STATE UNIV)",AOCOE,"(i)    Two (2) 'A' Level   passes.

(ii)           NCE merit in two (2) subjects.","Five (5) 'O' Level credit passes including English Language, Mathematics and three (3) of Literature in English, History, French, Yoruba, Igbo, Hausa, Christian Religious Studies, Islamic Studies, Geography/Physic, Economics and Government or TC II with pass in English Language and four (4) other subjects.","Government/History, one (1) Social Science subject and any other subject."
AGRICULTURAL SCIENCE & EDUCATION,"ADENIRAN OGUNSANYA COL OF EDU, OTTO-IJANIKIN, LAGOS (AFFL TO EKITI STATE UNIV)",AOCOE,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
BUSINESS EDUCATION,"ADENIRAN OGUNSANYA COL OF EDU, OTTO-IJANIKIN, LAGOS (AFFL TO EKITI STATE UNIV)",AOCOE,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
EDUCATION & ACCOUNTING,"ADENIRAN OGUNSANYA COL OF EDU, OTTO-IJANIKIN, LAGOS (AFFL TO EKITI STATE UNIV)",AOCOE,Two (2) ‘A’ Level passes in Business Method and one (1) Social Science subject.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject."
EDUCATION & BIOLOGY,"ADENIRAN OGUNSANYA COL OF EDU, OTTO-IJANIKIN, LAGOS (AFFL TO EKITI STATE UNIV)",AOCOE,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"ADENIRAN OGUNSANYA COL OF EDU, OTTO-IJANIKIN, LAGOS (AFFL TO EKITI STATE UNIV)",AOCOE,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & CHRISTIAN RELIGIOUS STUDIES,"ADENIRAN OGUNSANYA COL OF EDU, OTTO-IJANIKIN, LAGOS (AFFL TO EKITI STATE UNIV)",AOCOE,Two (2) 'A' Level passes/NCE merit in Religious Studies and one (1) other Arts subject.,"Five (5) 'O' Level credit passes or TC II merit in five (5) subjects including English Language, Religious Studies and three (3) other Arts subjects.",Two (2) Arts subject including Religious studies and one (1) other subject.
EDUCATION & COMPUTER SCIENCE,"ADENIRAN OGUNSANYA COL OF EDU, OTTO-IJANIKIN, LAGOS (AFFL TO EKITI STATE UNIV)",AOCOE,Two (2) ‘A’ Level passes including Physics or Chemistry.,"Five (5) SSC credit passes or its equivalents including Mathematics, English Language and three (3) other Science subjects.","Mathematics, Physics and one of Biology, Chemistry and Geography."
EDUCATION & ENGLISH LANGUAGE,"ADENIRAN OGUNSANYA COL OF EDU, OTTO-IJANIKIN, LAGOS (AFFL TO EKITI STATE UNIV)",AOCOE,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & FRENCH,"ADENIRAN OGUNSANYA COL OF EDU, OTTO-IJANIKIN, LAGOS (AFFL TO EKITI STATE UNIV)",AOCOE,Two (2) 'A' Level passes/NCE merit in French and one(1) other Arts subject.,Five (5) SSC credit passes to include English Language and French.,French plus two (2) other Arts subjects.
