Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AGRICULTURAL SCIENCE AND EDUCATION,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
BUSINESS EDUCATION,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
COMPUTER AND ROBOTICS EDUCATION,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,"i. Two (2)'A' Level passes or its equivalents in Physics and Mathematics.

ii. ND in Computer Science

iii.  NCE distinction credit or merit in Computer Education or Physics or Mathematics","Five (5) SSC credit passes including Mathematics, English Language, Physics, Chemistry and Biology.","Mathematics, Economics/ Commerce plus one (1) of Chemistry/Physics/Biology"
EDUCATION ACCOUNTING,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,Two (2) ‘A’ Level passes in Business Method and one (1) Social Science subject.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject."
EDUCATION AND BIOLOGY,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION AND CHEMISTRY:,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION AND ECONOMICS,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,"(i) Two (2) 'A' Level passes in Economics and one (1) other relevant subject.

(ii) NCE merit/credit in Economics and one (1) other subject.","Five (5) 'O' Level credit passes to include English Language, Economics and Mathematics.","Economics, Mathematics and one (1) other subject from Geography/Physics, History, Government and Literature in English."
EDUCATION AND ENGLISH LANGUAGE,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION AND FRENCH:,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,Two (2) 'A' Level passes/NCE merit in French and one(1) other Arts subject.,Five (5) SSC credit passes to include English Language and French.,French plus two (2) other Arts subjects.
EDUCATION AND INTEGRATED SCIENCE:,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,"(i) NCE Integrated         Science

 

(ii)   NCE Science

       Education

 

(iii)  'A' Level         passes in two (2)Science subjects","Five (5) SSC credit passes including Biology, Chemistry, English Language and Mathematics","Any three (3) of Mathematics, Chemistry, Physics, Biology and Agricultural Science."
EDUCATION AND MATHEMATICS,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION AND MUSIC:,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,Two (2) 'A' Level passes/NCE merit in Music.,Five (5) SSC credit passes including Music and English Language.,Music and any other two (2) Arts/Social Science subjects.
EDUCATION AND PHYSICS,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,"(i)  Two (2) 'A' Level passes in Physics and Mathematics.

(ii) NCE credit/merit in relevant subjects.","Five (5) 'O' Level credits passes to include English Language, Physics, Mathematics and two (2) other Science subjects or NTC/NBC.","Physics, Mathematics or Chemistry plus one (1) other subjects."
EDUCATION AND POLITICAL SCIENCE,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,"(i) Two (2) 'A' Level passes in relevant subjects chosen from Government or History, Economics and Geography/Physics.

(ii) NCE merit in Government/History, Economics and Geography/Physics.","Five (5) 'O' Level credit passes or equivalent to include English Language, Government/History and three (3) other subjects.",Government or History plus two (2) other Arts or Social Sciences subjects.
EDUCATION AND RELIGIOUS STUDIES,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,Two (2) 'A' Level passes/NCE merit in Religious Studies and one (1) other Arts subject.,"Five (5) 'O' Level credit passes or TC II merit in five (5) subjects including English Language, Religious Studies and three (3) other Arts subjects.",Two (2) Arts subject including Religious studies and one (1) other subject.
EDUCATION AND SOCIAL STUDIES,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,"(i) NCE Social Studies from recognized Colleges.

(ii)           Two (2) 'A' Level passes in relevant subjects.",Five (5) 'O' Level credit passes to include English Language plus two (2) Arts /Social Science subjects.,"Any three (3) of Christian Religious Studies, Economics, Geography/Physics, Government, History and Islamic Studies."
EDUCATION FINE AND APPLIED ARTS,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,"(i)    NCE merit in Fine and Applied Arts Double Major.

(ii)'A' Level passes in Fine Arts and any other subject.",Five (5) 'O' Level credit passes or TC II or NTC/NBC merit including Fine Art and English Language.,"Fine Arts, one (1) other Arts subject and any other subject."
"EDUCATION, GEOGRAPHY AND ENVIRONMENTAL STUDIES","ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,"Two (2) 'A' Level passes/NCE merit which should include Geography

/Physics.","Five (5) SSC credit passes to include Geography, English Language and Mathematics.",Geography plus two (2) other Social Sciences/Arts subjects.
"EDUCATION, HISTORY AND INTERNATIONAL STUDIES:","ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,Two (2) NCE merit/'A' Level passes in History and one (1) other relevant Arts subject.,"Five (5) SSC credit passes in English Language, History and three (3) relevant Arts subjects.","History and any other two (2) subjects chosen from Christian Religious Studies / Islamic Studies, Literature in English, French, Yoruba, Geography/Physics, Economics, Government and Hausa."
"EDUCATION, IGBO AND LINGUISTICS","ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,Two (2) NCE/'A' Level passes in Igbo and any relevant subject.,Five (5) SSC credit passes including English Language and Igbo.,Igbo and two (2) other Arts subjects.
GUIDANCE AND COUNSELLING,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,'A' Level passes or NCE in two (2) subjects...,Direct Entry only.,Direct Entry only.
HEALTH EDUCATION,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,"i)  Two (2) 'A' Level passes in any of Biology, Chemistry, Physics and Mathematics.

 

(ii)  NCE merit in Physical Education and credit in Arithmetical process or Mathematics.

 

(iii)  Diploma in Health Education, Environmental Sanitation, Physical Education, Social work, Health Administration with overall grades of merit plus three (3) 'O' Level credit passes/TC II merit which should include English Language.

 

(iv) NCE in Biology, Health Education, and Integrated Science with a pass grade plus two (2) 'O' Level credit passes/TC II merit passes.

 

(v)    Registered Nurse plus five (5) 'O' Level credit passes to include English Language.","i) Five (5) SSC credit passes/TC II merit passes including     English Language, Biology or its equivalent.

 

ii) Five (5) SSC credit passes/TC II merit passes to include English Language and Mathematics.",Biology and any two (2) relevant subjects.
HOME ECONOMICS AND EDUCATION,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,"(i)    NCE merit in Home Economics

(ii) 'A' Level passes in two (2) of Chemistry or any Biology, Botany and Agricultural Science.

(iii) ND/HND credit in Home Economics or Food Science or Hotel and Catering Management or any other related programme","Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language, Mathematics, Home Economics, Biology and Chemistry.","Chemistry, Biology or Agricultural Science and one (1) other subject."
"PHYSICAL EDUCATION, RECREATION AND HUMAN KINETICS","ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,(i) Two (2) 'A' Level passes in Biology/Botany and any other subject.,Five (5) 'O' Level credit passes to include Biology or Health Science.,Biology and two (2) relevant subjects.
PRIMARY EDUCATION STUDIES,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,Two (2) 'A' Level passes chosen from relevant subjects.,Five (5) 'O' Level credit passes including English Language.,Any three (3) subjects.
TEACHER EDUCATION SCIENCE:,"ALVAN IKOKU FEDERAL COLLEGE OF EDUCATION, IMO STATE, (AFFL TO UNIV OF NIGERA, NSUKKA)",EDALV,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
