Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
EDUCATION & BIOLOGY,"COLLEGE OF EDUCATION, KATSINA-ALA, BENUE STATE, (AFFL TO UNIV OF CALABAR)",KATALA DEG,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & ECONOMICS,"COLLEGE OF EDUCATION, KATSINA-ALA, BENUE STATE, (AFFL TO UNIV OF CALABAR)",KATALA DEG,"(i) Two (2) 'A' Level passes in Economics and one (1) other relevant subject.

(ii) NCE merit/credit in Economics and one (1) other subject.","Five (5) 'O' Level credit passes to include English Language, Economics and Mathematics.","Economics, Mathematics and one (1) other subject from Geography/Physics, History, Government and Literature in English."
EDUCATION & ENGLISH LANGUAGE,"COLLEGE OF EDUCATION, KATSINA-ALA, BENUE STATE, (AFFL TO UNIV OF CALABAR)",KATALA DEG,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & GEOGRAPHY,"COLLEGE OF EDUCATION, KATSINA-ALA, BENUE STATE, (AFFL TO UNIV OF CALABAR)",KATALA DEG,"Two (2) 'A' Level passes/NCE merit which should include Geography

/Physics.","Five (5) SSC credit passes to include Geography, English Language and Mathematics.",Geography plus two (2) other Social Sciences/Arts subjects.
EDUCATION & MATHEMATICS,"COLLEGE OF EDUCATION, KATSINA-ALA, BENUE STATE, (AFFL TO UNIV OF CALABAR)",KATALA DEG,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION & PHYSICS,"COLLEGE OF EDUCATION, KATSINA-ALA, BENUE STATE, (AFFL TO UNIV OF CALABAR)",KATALA DEG,"(i)  Two (2) 'A' Level passes in Physics and Mathematics.

(ii) NCE credit/merit in relevant subjects.","Five (5) 'O' Level credits passes to include English Language, Physics, Mathematics and two (2) other Science subjects or NTC/NBC.","Physics, Mathematics or Chemistry plus one (1) other subjects."
EDUCATION & RELIGIOUS STUDIES,"COLLEGE OF EDUCATION, KATSINA-ALA, BENUE STATE, (AFFL TO UNIV OF CALABAR)",KATALA DEG,Two (2) 'A' Level passes/NCE merit in Religious Studies and one (1) other Arts subject.,"Five (5) 'O' Level credit passes or TC II merit in five (5) subjects including English Language, Religious Studies and three (3) other Arts subjects.",Two (2) Arts subject including Religious studies and one (1) other subject.
EDUCATION AND SOCIAL STUDIES,"COLLEGE OF EDUCATION, KATSINA-ALA, BENUE STATE, (AFFL TO UNIV OF CALABAR)",KATALA DEG,"(i) NCE Social Studies from recognized Colleges.

(ii)           Two (2) 'A' Level passes in relevant subjects.",Five (5) 'O' Level credit passes to include English Language plus two (2) Arts /Social Science subjects.,"Any three (3) of Christian Religious Studies, Economics, Geography/Physics, Government, History and Islamic Studies."
HOME ECONOMICS & EDUCATION,"COLLEGE OF EDUCATION, KATSINA-ALA, BENUE STATE, (AFFL TO UNIV OF CALABAR)",KATALA DEG,"(i)    NCE merit in Home Economics

(ii) 'A' Level passes in two (2) of Chemistry or any Biology, Botany and Agricultural Science.

(iii) ND/HND credit in Home Economics or Food Science or Hotel and Catering Management or any other related programme","Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language, Mathematics, Home Economics, Biology and Chemistry.","Chemistry, Biology or Agricultural Science and one (1) other subject."
HUMAN KINETICS & HEALTH EDUCATION,"COLLEGE OF EDUCATION, KATSINA-ALA, BENUE STATE, (AFFL TO UNIV OF CALABAR)",KATALA DEG,No Direct Entry,As in Physical and Health Education,As in Physical and Health Education
TEACHER EDUCATION SCIENCE:,"COLLEGE OF EDUCATION, KATSINA-ALA, BENUE STATE, (AFFL TO UNIV OF CALABAR)",KATALA DEG,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
