Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AGRICULTURAL SCIENCE & EDUCATION,"DELTA STATE COLLEGE OF PHYSICAL EDUCATION, MOSOGAR (AFFILIATED TO UNI. OF BENIN)",MOSOGAR-DG,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
ECONOMICS,"DELTA STATE COLLEGE OF PHYSICAL EDUCATION, MOSOGAR (AFFILIATED TO UNI. OF BENIN)",MOSOGAR-DG,"(i)       Two (2) 'A' Level passes in Economics and one (1) other relevant subject.

(ii)   NCE merit/credit in Economics and one (1) other subject.","Five (5) 'O' Level credit passes to include English Language, Economics and Mathematics.","Economics, Mathematics and one (1) other subject from Geography/Physics, History, Government and Literature in English."
EDUCATION & BIOLOGY,"DELTA STATE COLLEGE OF PHYSICAL EDUCATION, MOSOGAR (AFFILIATED TO UNI. OF BENIN)",MOSOGAR-DG,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"DELTA STATE COLLEGE OF PHYSICAL EDUCATION, MOSOGAR (AFFILIATED TO UNI. OF BENIN)",MOSOGAR-DG,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & ENGLISH LANGUAGE,"DELTA STATE COLLEGE OF PHYSICAL EDUCATION, MOSOGAR (AFFILIATED TO UNI. OF BENIN)",MOSOGAR-DG,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & INTEGRATED SCIENCE,"DELTA STATE COLLEGE OF PHYSICAL EDUCATION, MOSOGAR (AFFILIATED TO UNI. OF BENIN)",MOSOGAR-DG,"(i) NCE Integrated         Science

 

(ii)   NCE Science

       Education

 

(iii)  'A' Level         passes in two (2)Science subjects","Five (5) SSC credit passes including Biology, Chemistry, English Language and Mathematics","Any three (3) of Mathematics, Chemistry, Physics, Biology and Agricultural Science."
EDUCATION & PHYSICS,"DELTA STATE COLLEGE OF PHYSICAL EDUCATION, MOSOGAR (AFFILIATED TO UNI. OF BENIN)",MOSOGAR-DG,"(i)  Two (2) 'A' Level passes in Physics and Mathematics.

(ii) NCE credit/merit in relevant subjects.","Five (5) 'O' Level credits passes to include English Language, Physics, Mathematics and two (2) other Science subjects or NTC/NBC.","Physics, Mathematics or Chemistry plus one (1) other subjects."
EDUCATIONAL MANAGEMENT,"DELTA STATE COLLEGE OF PHYSICAL EDUCATION, MOSOGAR (AFFILIATED TO UNI. OF BENIN)",MOSOGAR-DG,Two (2) 'A' Level passes/NCE merit/credit in relevant subjects.,Five (5) SSC credit passes in five (5) subjects including English Language and Mathematics.,"Economics, Mathematics and one (1) other Social Science/Arts subject."
HEALTH EDUCATION,"DELTA STATE COLLEGE OF PHYSICAL EDUCATION, MOSOGAR (AFFILIATED TO UNI. OF BENIN)",MOSOGAR-DG,"(i)  Two (2) 'A' Level passes in any of Biology, Chemistry, Physics and Mathematics.

 

(ii)  NCE merit in Physical Education and credit in Arithmetical process or Mathematics.

 

(iii)  Diploma in Health Education, Environmental Sanitation, Physical Education, Social work, Health Administration with overall grades of merit plus three (3) 'O' Level credit passes/TC II merit which should include English Language.

 

(iv) NCE in Biology, Health Education, and Integrated Science with a pass grade plus two (2) 'O' Level credit passes/TC II merit passes.

 

(v)    Registered Nurse plus five (5) 'O' Level credit passes to include English Language.","i) Five (5) SSC credit passes/TC II merit passes including     English Language, Biology or its equivalent.

 

ii) Five (5) SSC credit passes/TC II merit passes to include English Language and Mathematics.",Biology and any two (2) relevant subjects.
TEACHER EDUCATION SCIENCE:,"DELTA STATE COLLEGE OF PHYSICAL EDUCATION, MOSOGAR (AFFILIATED TO UNI. OF BENIN)",MOSOGAR-DG,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
