Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
EDUCATION & CHRISTIAN RELIGIOUS STUDIES,"FEDERAL COLLEGE OF EDUC. (SPECIAL), OYO, OYO STATE (AFF TO UNI. IBADAN)",OYOSPECIAL,Two (2) 'A' Level passes/NCE merit in Religious Studies and one (1) other Arts subject.,"Five (5) 'O' Level credit passes or TC II merit in five (5) subjects including English Language, Religious Studies and three (3) other Arts subjects.",Two (2) Arts subject including Religious studies and one (1) other subject.
EDUCATION & ENGLISH LANGUAGE,"FEDERAL COLLEGE OF EDUC. (SPECIAL), OYO, OYO STATE (AFF TO UNI. IBADAN)",OYOSPECIAL,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & FRENCH,"FEDERAL COLLEGE OF EDUC. (SPECIAL), OYO, OYO STATE (AFF TO UNI. IBADAN)",OYOSPECIAL,Two (2) 'A' Level passes/NCE merit in French and one(1) other Arts subject.,Five (5) SSC credit passes to include English Language and French.,French plus two (2) other Arts subjects.
EDUCATION & ISLAMIC STUDIES,"FEDERAL COLLEGE OF EDUC. (SPECIAL), OYO, OYO STATE (AFF TO UNI. IBADAN)",OYOSPECIAL,"(i) NCE merit in Islamic Studies and Education.

 

(ii) 'A' Level passes in Arabic/ Islamic Studies and any other relevant subject.","Five (5) SSC credit passes including English Language, Islamic Studies and three (3) other relevant subjects.",Islamic Studies/Arabic and two (2) other Social Science or Arts subjects.
EDUCATION & MATHEMATICS,"FEDERAL COLLEGE OF EDUC. (SPECIAL), OYO, OYO STATE (AFF TO UNI. IBADAN)",OYOSPECIAL,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATIONAL MANAGEMENT,"FEDERAL COLLEGE OF EDUC. (SPECIAL), OYO, OYO STATE (AFF TO UNI. IBADAN)",OYOSPECIAL,"Same as in Educational Psychology, Guidance and Counseling.","Same as in Educational Psychology, Guidance and Counseling.","Economics, Mathematics and one (1) other Social Science/Arts subject."
GUIDANCE & COUNSELLING,"FEDERAL COLLEGE OF EDUC. (SPECIAL), OYO, OYO STATE (AFF TO UNI. IBADAN)",OYOSPECIAL,'A' Level passes or NCE in two (2) subjects plus the UTME requirements.,Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language with 'O' Level pass in Mathematics.,Any three (3) subjects.
HUMAN KINETICS,"FEDERAL COLLEGE OF EDUC. (SPECIAL), OYO, OYO STATE (AFF TO UNI. IBADAN)",OYOSPECIAL,i) NCE in Physical and Health Education with overall percentage of 60% plus the UTME requirements.,"Five (5) 'O' Level credit passes at one (1) sitting to include English Language, Mathematics, Health Science/Physical Education/Biology and any two (2) other subjects.",English Language and three (3) other relevant subjects.
PRIMARY EDUCATION STUDIES,"FEDERAL COLLEGE OF EDUC. (SPECIAL), OYO, OYO STATE (AFF TO UNI. IBADAN)",OYOSPECIAL,Two (2) 'A' Level passes chosen from relevant subjects.,Five (5) 'O' Level credit passes including English Language.,Any three (3) subjects.
SPECIAL EDUCATION,"FEDERAL COLLEGE OF EDUC. (SPECIAL), OYO, OYO STATE (AFF TO UNI. IBADAN)",OYOSPECIAL,"(i) Two (2) 'A' Level passes in Arts or Social Science subjects.

(ii) NCE merit in Arts or Social Science subjects.",Five (5) 'O' Level credit passes including English Language.,Any three (3) Subjects
TEACHER EDUCATION SCIENCE:,"FEDERAL COLLEGE OF EDUC. (SPECIAL), OYO, OYO STATE (AFF TO UNI. IBADAN)",OYOSPECIAL,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
