Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
EDUCATION & BIOLOGY,"FEDERAL COLLEGE OF EDUCATION, ABEOKUTA (AFF TO UNIVERSITY OF IBADAN), OGUN STATE",FCABEODEG,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"FEDERAL COLLEGE OF EDUCATION, ABEOKUTA (AFF TO UNIVERSITY OF IBADAN), OGUN STATE",FCABEODEG,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & CHRISTIAN RELIGIOUS STUDIES,"FEDERAL COLLEGE OF EDUCATION, ABEOKUTA (AFF TO UNIVERSITY OF IBADAN), OGUN STATE",FCABEODEG,Two (2) 'A' Level passes/NCE merit in Religious Studies and one (1) other Arts subject.,"Five (5) 'O' Level credit passes or TC II merit in five (5) subjects including English Language, Religious Studies and three (3) other Arts subjects.",Two (2) Arts subject including Religious studies and one (1) other subject.
EDUCATION & ENGLISH LANGUAGE,"FEDERAL COLLEGE OF EDUCATION, ABEOKUTA (AFF TO UNIVERSITY OF IBADAN), OGUN STATE",FCABEODEG,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & FRENCH,"FEDERAL COLLEGE OF EDUCATION, ABEOKUTA (AFF TO UNIVERSITY OF IBADAN), OGUN STATE",FCABEODEG,Two (2) 'A' Level passes/NCE merit in French and one(1) other Arts subject.,Five (5) SSC credit passes to include English Language and French.,French plus two (2) other Arts subjects.
EDUCATION & ISLAMIC STUDIES,"FEDERAL COLLEGE OF EDUCATION, ABEOKUTA (AFF TO UNIVERSITY OF IBADAN), OGUN STATE",FCABEODEG,"(i) NCE merit in Islamic Studies and Education.

 

(ii) 'A' Level passes in Arabic/ Islamic Studies and any other relevant subject.","Five (5) SSC credit passes including English Language, Islamic Studies and three (3) other relevant subjects.",Islamic Studies/Arabic and two (2) other Social Science or Arts subjects.
EDUCATION & MATHEMATICS,"FEDERAL COLLEGE OF EDUCATION, ABEOKUTA (AFF TO UNIVERSITY OF IBADAN), OGUN STATE",FCABEODEG,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION & PHYSICS,"FEDERAL COLLEGE OF EDUCATION, ABEOKUTA (AFF TO UNIVERSITY OF IBADAN), OGUN STATE",FCABEODEG,"(i)  Two (2) 'A' Level passes in Physics and Mathematics.

(ii) NCE credit/merit in relevant subjects.","Five (5) 'O' Level credits passes to include English Language, Physics, Mathematics and two (2) other Science subjects or NTC/NBC.","Physics, Mathematics or Chemistry plus one (1) other subjects."
HOME ECONOMICS & EDUCATION,"FEDERAL COLLEGE OF EDUCATION, ABEOKUTA (AFF TO UNIVERSITY OF IBADAN), OGUN STATE",FCABEODEG,"(i)    NCE merit in Home Economics

(ii) 'A' Level passes in two (2) of Chemistry or any Biology, Botany and Agricultural Science.

(iii) ND/HND credit in Home Economics or Food Science or Hotel and Catering Management or any other related programme","Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language, Mathematics, Home Economics, Biology and Chemistry.","Chemistry, Biology or Agricultural Science and one (1) other subject."
HUMAN KINETICS & HEALTH EDUCATION,"FEDERAL COLLEGE OF EDUCATION, ABEOKUTA (AFF TO UNIVERSITY OF IBADAN), OGUN STATE",FCABEODEG,No Direct Entry,As in Physical and Health Education,As in Physical and Health Education
TEACHER EDUCATION SCIENCE:,"FEDERAL COLLEGE OF EDUCATION, ABEOKUTA (AFF TO UNIVERSITY OF IBADAN), OGUN STATE",FCABEODEG,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
