Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
BUSINESS EDUCATION,"FEDERAL COLLEGE OF EDUCATION, KANO, (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",EDKAN,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
EDUCATION & BIOLOGY,"FEDERAL COLLEGE OF EDUCATION, KANO, (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",EDKAN,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"FEDERAL COLLEGE OF EDUCATION, KANO, (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",EDKAN,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & CHRISTIAN RELIGIOUS STUDIES,"FEDERAL COLLEGE OF EDUCATION, KANO, (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",EDKAN,Two (2) 'A' Level passes/NCE merit in Religious Studies and one (1) other Arts subject.,"Five (5) 'O' Level credit passes or TC II merit in five (5) subjects including English Language, Religious Studies and three (3) other Arts subjects.",Two (2) Arts subject including Religious studies and one (1) other subject.
EDUCATION & ENGLISH LANGUAGE,"FEDERAL COLLEGE OF EDUCATION, KANO, (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",EDKAN,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & ISLAMIC STUDIES,"FEDERAL COLLEGE OF EDUCATION, KANO, (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",EDKAN,"(i) NCE merit in Islamic Studies and Education.

 

(ii) 'A' Level passes in Arabic/ Islamic Studies and any other relevant subject.","Five (5) SSC credit passes including English Language, Islamic Studies and three (3) other relevant subjects.",Islamic Studies/Arabic and two (2) other Social Science or Arts subjects.
EDUCATION & LANGUAGE ARTS,"FEDERAL COLLEGE OF EDUCATION, KANO, (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",EDKAN,Two (2) relevant NCE/'A' Level passes.,"Five (5) SSC credit passes including English Language plus four (4) subjects from Economics, Geography/Physics, Government, Home Economics, History, Arabic, Social Studies, Fine Arts, Music and Literature in English.","Any three (3) of Yoruba, Literature in English, Christian Religious studies, History, Economics and Islamic Studies."
EDUCATION & SOCIAL STUDIES,"FEDERAL COLLEGE OF EDUCATION, KANO, (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",EDKAN,"(i) NCE Social Studies from recognized Colleges.

(ii)           Two (2) 'A' Level passes in relevant subjects.",Five (5) 'O' Level credit passes to include English Language plus two (2) Arts /Social Science subjects.,"Any three (3) of Christian Religious Studies, Economics, Geography/Physics, Government, History and Islamic Studies."
PHYSICAL & HEALTH EDUCATION,"FEDERAL COLLEGE OF EDUCATION, KANO, (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",EDKAN,"(i)  Two (2) 'A' Level passes in any of Biology, Chemistry, Physics and Mathematics.

 

(ii)  NCE merit in Physical Education and credit in Arithmetical process or Mathematics.

 

(iii)  Diploma in Health Education, Environmental Sanitation, Physical Education, Social work, Health Administration with overall grades of merit plus three (3) 'O' Level credit passes/TC II merit which should include English Language.

 

(iv) NCE in Biology, Health Education, and Integrated Science with a pass grade plus two (2) 'O' Level credit passes/TC II merit passes.

 

(v)    Registered Nurse plus five (5) 'O' Level credit passes to include English Language.","i) Five (5) SSC credit passes/TC II merit passes including     English Language, Biology or its equivalent.

 

ii) Five (5) SSC credit passes/TC II merit passes to include English Language and Mathematics.",Biology and any two (2) relevant subjects.
TEACHER EDUCATION SCIENCE:,"FEDERAL COLLEGE OF EDUCATION, KANO, (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",EDKAN,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
