Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
EDUCATION & BIOLOGY,"FEDERAL COLLEGE OF EDUCATION, OKENE, (AFFL. TO UNIVERSITY OF IBADAN), KOGI STATE",FCOKENEDEG,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"FEDERAL COLLEGE OF EDUCATION, OKENE, (AFFL. TO UNIVERSITY OF IBADAN), KOGI STATE",FCOKENEDEG,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & CHRISTIAN RELIGIOUS STUDIES,"FEDERAL COLLEGE OF EDUCATION, OKENE, (AFFL. TO UNIVERSITY OF IBADAN), KOGI STATE",FCOKENEDEG,Two (2) 'A' Level passes/NCE merit in Religious Studies and one (1) other Arts subject.,"Five (5) 'O' Level credit passes or TC II merit in five (5) subjects including English Language, Religious Studies and three (3) other Arts subjects.",Two (2) Arts subject including Religious studies and one (1) other subject.
EDUCATION & ENGLISH LANGUAGE,"FEDERAL COLLEGE OF EDUCATION, OKENE, (AFFL. TO UNIVERSITY OF IBADAN), KOGI STATE",FCOKENEDEG,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & FRENCH,"FEDERAL COLLEGE OF EDUCATION, OKENE, (AFFL. TO UNIVERSITY OF IBADAN), KOGI STATE",FCOKENEDEG,Two (2) 'A' Level passes/NCE merit in French and one(1) other Arts subject.,Five (5) SSC credit passes to include English Language and French.,French plus two (2) other Arts subjects.
EDUCATION & INTEGRATED SCIENCE,"FEDERAL COLLEGE OF EDUCATION, OKENE, (AFFL. TO UNIVERSITY OF IBADAN), KOGI STATE",FCOKENEDEG,"(i) NCE Integrated         Science

 

(ii)   NCE Science

       Education

 

(iii)  'A' Level         passes in two (2)Science subjects","Five (5) SSC credit passes including Biology, Chemistry, English Language and Mathematics","Any three (3) of Mathematics, Chemistry, Physics, Biology and Agricultural Science."
EDUCATION & ISLAMIC STUDIES,"FEDERAL COLLEGE OF EDUCATION, OKENE, (AFFL. TO UNIVERSITY OF IBADAN), KOGI STATE",FCOKENEDEG,"(i) NCE merit in Islamic Studies and Education.

 

(ii) 'A' Level passes in Arabic/ Islamic Studies and any other relevant subject.","Five (5) SSC credit passes including English Language, Islamic Studies and three (3) other relevant subjects.",Islamic Studies/Arabic and two (2) other Social Science or Arts subjects.
EDUCATION & MATHEMATICS,"FEDERAL COLLEGE OF EDUCATION, OKENE, (AFFL. TO UNIVERSITY OF IBADAN), KOGI STATE",FCOKENEDEG,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION & SOCIAL STUDIES,"FEDERAL COLLEGE OF EDUCATION, OKENE, (AFFL. TO UNIVERSITY OF IBADAN), KOGI STATE",FCOKENEDEG,"(i) NCE Social Studies from recognized Colleges.

(ii)           Two (2) 'A' Level passes in relevant subjects.",Five (5) 'O' Level credit passes to include English Language plus two (2) Arts /Social Science subjects.,"Any three (3) of Christian Religious Studies, Economics, Geography/Physics, Government, History and Islamic Studies."
EDUCATIONAL MANAGEMENT,"FEDERAL COLLEGE OF EDUCATION, OKENE, (AFFL. TO UNIVERSITY OF IBADAN), KOGI STATE",FCOKENEDEG,"Same as in Educational Psychology, Guidance and Counseling.","Same as in Educational Psychology, Guidance and Counseling.","Economics, Mathematics and one (1) other Social Science/Arts subject."
GUIDANCE & COUNSELLING,"FEDERAL COLLEGE OF EDUCATION, OKENE, (AFFL. TO UNIVERSITY OF IBADAN), KOGI STATE",FCOKENEDEG,'A' Level passes or NCE in two (2) subjects plus the UTME requirements.,Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language with 'O' Level pass in Mathematics.,Any three (3) subjects.
HUMAN PHYSICAL & HEALTH EDUCATION,"FEDERAL COLLEGE OF EDUCATION, OKENE, (AFFL. TO UNIVERSITY OF IBADAN), KOGI STATE",FCOKENEDEG,No Direct Entry,As in Physical and Health Education,As in Physical and Health Education
TEACHER EDUCATION SCIENCE:,"FEDERAL COLLEGE OF EDUCATION, OKENE, (AFFL. TO UNIVERSITY OF IBADAN), KOGI STATE",FCOKENEDEG,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
