Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ADULT EDUCATION,"FEDERAL COLLEGE OF EDUCATION, PANKSHIN, (AFFL TO UNI OF JOS), PLATEAU STATE",FCPANKSHIN,"(i)    Two (2) 'A' Level   passes.

(ii)           NCE merit in two (2) subjects.","Five (5) 'O' Level credit passes including English Language, Mathematics and three (3) of Literature in English, History, French, Yoruba, Igbo, Hausa, Christian Religious Studies, Islamic Studies, Geography/Physic, Economics and Government or TC II with pass in English Language and four (4) other subjects.","Government/History, one (1) Social Science subject and any other subject."
BUSINESS EDUCATION,"FEDERAL COLLEGE OF EDUCATION, PANKSHIN, (AFFL TO UNI OF JOS), PLATEAU STATE",FCPANKSHIN,[Not Available],"SSC credit passes or TC II merits in English Language and any three (3) of:

1. Economics

2. Accounts

3. Government

4. Geography

5. History

6. Business Method

7. Statistics

8. Commerce

9. Any Science subjects

 

NB: GROUP A:

Commercial Arithmetic Costing, Principles of Accounts, Book Keeping Mathematics, Statistics.

 

GROUP B:

Office Practice, Business Method, Commerce, Economics.","Mathematics, Economics and any of Geography, Commerce and Principles of Accounts."
EARLY CHILDHOOD EDUCATION,"FEDERAL COLLEGE OF EDUCATION, PANKSHIN, (AFFL TO UNI OF JOS), PLATEAU STATE",FCPANKSHIN,Two (2) 'A' Level passes chosen from relevant subjects.,Five (5) 'O' Level credit passes including English Language.,Any three (3) subjects.
EDUCATION & AGRICULTURAL SCIENCE,"FEDERAL COLLEGE OF EDUCATION, PANKSHIN, (AFFL TO UNI OF JOS), PLATEAU STATE",FCPANKSHIN,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
EDUCATION & ARABIC,"FEDERAL COLLEGE OF EDUCATION, PANKSHIN, (AFFL TO UNI OF JOS), PLATEAU STATE",FCPANKSHIN,Two (2) 'A' Level passes or NCE in relevant subjects including Arabic.,Five (5) 'O' Level credit passes in relevant subjects including English Language and Arabic.,Arabic and any two (2) relevant Arts/Social Science subjects.
EDUCATION & BIOLOGY,"FEDERAL COLLEGE OF EDUCATION, PANKSHIN, (AFFL TO UNI OF JOS), PLATEAU STATE",FCPANKSHIN,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"FEDERAL COLLEGE OF EDUCATION, PANKSHIN, (AFFL TO UNI OF JOS), PLATEAU STATE",FCPANKSHIN,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & COMPUTER SCIENCE,"FEDERAL COLLEGE OF EDUCATION, PANKSHIN, (AFFL TO UNI OF JOS), PLATEAU STATE",FCPANKSHIN,Two (2) ‘A’ Level passes including Physics or Chemistry.,"Five (5) SSC credit passes or its equivalents including Mathematics, English Language and three (3) other Science subjects.","Mathematics, Physics and one of Biology, Chemistry and Geography."
EDUCATION & ENGLISH LANGUAGE,"FEDERAL COLLEGE OF EDUCATION, PANKSHIN, (AFFL TO UNI OF JOS), PLATEAU STATE",FCPANKSHIN,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & FRENCH,"FEDERAL COLLEGE OF EDUCATION, PANKSHIN, (AFFL TO UNI OF JOS), PLATEAU STATE",FCPANKSHIN,Two (2) 'A' Level passes/NCE merit in French and one(1) other Arts subject.,Five (5) SSC credit passes to include English Language and French.,French plus two (2) other Arts subjects.
