Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AGRICULTURAL SCIENCE & EDUCATION,"FEDERAL COLLEGE OF EDUCATION (TECH), GUSAU, (AFFL TO ABU ZARIA), ZAMFARA STATE",FCE(T)GUS,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
BUSINESS EDUCATION,"FEDERAL COLLEGE OF EDUCATION (TECH), GUSAU, (AFFL TO ABU ZARIA), ZAMFARA STATE",FCE(T)GUS,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
EDUCATION & ARABIC,"FEDERAL COLLEGE OF EDUCATION (TECH), GUSAU, (AFFL TO ABU ZARIA), ZAMFARA STATE",FCE(T)GUS,Two (2) 'A' Level passes or NCE in relevant subjects including Arabic.,Five (5) 'O' Level credit passes in relevant subjects including English Language and Arabic.,Arabic and any two (2) relevant Arts/Social Science subjects.
EDUCATION & BIOLOGY,"FEDERAL COLLEGE OF EDUCATION (TECH), GUSAU, (AFFL TO ABU ZARIA), ZAMFARA STATE",FCE(T)GUS,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"FEDERAL COLLEGE OF EDUCATION (TECH), GUSAU, (AFFL TO ABU ZARIA), ZAMFARA STATE",FCE(T)GUS,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & COMPUTER SCIENCE,"FEDERAL COLLEGE OF EDUCATION (TECH), GUSAU, (AFFL TO ABU ZARIA), ZAMFARA STATE",FCE(T)GUS,Two (2) ‘A’ Level passes including Physics or Chemistry.,"Five (5) SSC credit passes or its equivalents including Mathematics, English Language and three (3) other Science subjects.","Mathematics, Physics and one of Biology, Chemistry and Geography."
EDUCATION & ENGLISH LANGUAGE,"FEDERAL COLLEGE OF EDUCATION (TECH), GUSAU, (AFFL TO ABU ZARIA), ZAMFARA STATE",FCE(T)GUS,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & HAUSA,"FEDERAL COLLEGE OF EDUCATION (TECH), GUSAU, (AFFL TO ABU ZARIA), ZAMFARA STATE",FCE(T)GUS,Two (2) 'A' Level passes in relevant subjects to include Hausa.,Five (5) 'O' Level credit passes to include English Language and Hausa.,"Hausa, one (1) Arts and one (1) subject from Economics, French, Geography/Physics, Government, History, Islamic Studies, Literature in English and Mathematics."
EDUCATION & MATHEMATICS,"FEDERAL COLLEGE OF EDUCATION (TECH), GUSAU, (AFFL TO ABU ZARIA), ZAMFARA STATE",FCE(T)GUS,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION & SOCIAL STUDIES,"FEDERAL COLLEGE OF EDUCATION (TECH), GUSAU, (AFFL TO ABU ZARIA), ZAMFARA STATE",FCE(T)GUS,"(i) NCE Social Studies from recognized Colleges.

(ii)           Two (2) 'A' Level passes in relevant subjects.",Five (5) 'O' Level credit passes to include English Language plus two (2) Arts /Social Science subjects.,"Any three (3) of Christian Religious Studies, Economics, Geography/Physics, Government, History and Islamic Studies."
HOME ECONOMICS & EDUCATION,"FEDERAL COLLEGE OF EDUCATION (TECH), GUSAU, (AFFL TO ABU ZARIA), ZAMFARA STATE",FCE(T)GUS,"(i)    NCE merit in Home Economics

(ii) 'A' Level passes in two (2) of Chemistry or any Biology, Botany and Agricultural Science.

(iii) ND/HND credit in Home Economics or Food Science or Hotel and Catering Management or any other related programme","Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language, Mathematics, Home Economics, Biology and Chemistry.","Chemistry, Biology or Agricultural Science and one (1) other subject."
TEACHER EDUCATION SCIENCE:,"FEDERAL COLLEGE OF EDUCATION (TECH), GUSAU, (AFFL TO ABU ZARIA), ZAMFARA STATE",FCE(T)GUS,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
