Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AGRICULTURAL SCIENCE AND EDUCATION,"KWARA STATE COLLEGE OF EDUCATION, ILORIN, AFFILIATED TO UNIVERSITY OF ILORIN",ILORINCOL-DEG,[Not Available],[Not Available],[Not Available]
EDUCATION AND CHRISTIAN RELIGIOUS STUDIES,"KWARA STATE COLLEGE OF EDUCATION, ILORIN, AFFILIATED TO UNIVERSITY OF ILORIN",ILORINCOL-DEG,[Not Available],[Not Available],[Not Available]
EDUCATION AND COMPUTER SCIENCE,"KWARA STATE COLLEGE OF EDUCATION, ILORIN, AFFILIATED TO UNIVERSITY OF ILORIN",ILORINCOL-DEG,[Not Available],[Not Available],[Not Available]
EDUCATION AND ISLAMIC STUDIES,"KWARA STATE COLLEGE OF EDUCATION, ILORIN, AFFILIATED TO UNIVERSITY OF ILORIN",ILORINCOL-DEG,[Not Available],[Not Available],[Not Available]
EDUCATION AND MATHEMATICS,"KWARA STATE COLLEGE OF EDUCATION, ILORIN, AFFILIATED TO UNIVERSITY OF ILORIN",ILORINCOL-DEG,[Not Available],[Not Available],[Not Available]
EDUCATION AND YORUBA,"KWARA STATE COLLEGE OF EDUCATION, ILORIN, AFFILIATED TO UNIVERSITY OF ILORIN",ILORINCOL-DEG,[Not Available],[Not Available],[Not Available]
EDUCATIONAL MANAGEMENT,"KWARA STATE COLLEGE OF EDUCATION, ILORIN, AFFILIATED TO UNIVERSITY OF ILORIN",ILORINCOL-DEG,[Not Available],[Not Available],[Not Available]
EDUCATIONAL TECHNOLOGY,"KWARA STATE COLLEGE OF EDUCATION, ILORIN, AFFILIATED TO UNIVERSITY OF ILORIN",ILORINCOL-DEG,[Not Available],[Not Available],[Not Available]
GUIDANCE AND COUNSELLING,"KWARA STATE COLLEGE OF EDUCATION, ILORIN, AFFILIATED TO UNIVERSITY OF ILORIN",ILORINCOL-DEG,[Not Available],[Not Available],[Not Available]
PHYSICAL AND HEALTH EDUCATION,"KWARA STATE COLLEGE OF EDUCATION, ILORIN, AFFILIATED TO UNIVERSITY OF ILORIN",ILORINCOL-DEG,[Not Available],[Not Available],[Not Available]
