Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AGRICULTURAL SCIENCE & EDUCATION,"KWARA STATE COLLEGE OF EDUCATION, ORO, (AFFL TO EKITI STATE UNI), KWARA STATE",ORO-DEG,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
EDUCATION & BIOLOGY,"KWARA STATE COLLEGE OF EDUCATION, ORO, (AFFL TO EKITI STATE UNI), KWARA STATE",ORO-DEG,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"KWARA STATE COLLEGE OF EDUCATION, ORO, (AFFL TO EKITI STATE UNI), KWARA STATE",ORO-DEG,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & COMPUTER SCIENCE,"KWARA STATE COLLEGE OF EDUCATION, ORO, (AFFL TO EKITI STATE UNI), KWARA STATE",ORO-DEG,Two (2) ‘A’ Level passes including Physics or Chemistry.,"Five (5) SSC credit passes or its equivalents including Mathematics, English Language and three (3) other Science subjects.","Mathematics, Physics and one of Biology, Chemistry and Geography."
EDUCATION & ECONOMICS,"KWARA STATE COLLEGE OF EDUCATION, ORO, (AFFL TO EKITI STATE UNI), KWARA STATE",ORO-DEG,"(i) Two (2) 'A' Level passes in Economics and one (1) other relevant subject.

(ii) NCE merit/credit in Economics and one (1) other subject.","Five (5) 'O' Level credit passes to include English Language, Economics and Mathematics.","Economics, Mathematics and one (1) other subject from Geography/Physics, History, Government and Literature in English."
EDUCATION & ENGLISH LANGUAGE,"KWARA STATE COLLEGE OF EDUCATION, ORO, (AFFL TO EKITI STATE UNI), KWARA STATE",ORO-DEG,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & FRENCH,"KWARA STATE COLLEGE OF EDUCATION, ORO, (AFFL TO EKITI STATE UNI), KWARA STATE",ORO-DEG,Two (2) 'A' Level passes/NCE merit in French and one(1) other Arts subject.,Five (5) SSC credit passes to include English Language and French.,French plus two (2) other Arts subjects.
EDUCATION & MATHEMATICS,"KWARA STATE COLLEGE OF EDUCATION, ORO, (AFFL TO EKITI STATE UNI), KWARA STATE",ORO-DEG,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION AND INTEGRATED SCIENCE:,"KWARA STATE COLLEGE OF EDUCATION, ORO, (AFFL TO EKITI STATE UNI), KWARA STATE",ORO-DEG,"(i) NCE Integrated         Science

 

(ii)   NCE Science

       Education

 

(iii)  'A' Level         passes in two (2)Science subjects","Five (5) SSC credit passes including Biology, Chemistry, English Language and Mathematics","Any three (3) of Mathematics, Chemistry, Physics, Biology and Agricultural Science."
NURSERY & PRIMARY EDUCATION,"KWARA STATE COLLEGE OF EDUCATION, ORO, (AFFL TO EKITI STATE UNI), KWARA STATE",ORO-DEG,Two (2) 'A' Level passes chosen from relevant subjects.,Five (5) 'O' Level credit passes including English Language.,Any three (3) subjects.
SOCIAL STUDIES,"KWARA STATE COLLEGE OF EDUCATION, ORO, (AFFL TO EKITI STATE UNI), KWARA STATE",ORO-DEG,"(i) NCE Social Studies from recognized Colleges.

(ii)           Two (2) 'A' Level passes in relevant subjects.",Five (5) 'O' Level credit passes to include English Language plus two (2) Arts /Social Science subjects.,"Any three (3) of Christian Religious Studies, Economics, Geography/Physics, Government, History and Islamic Studies."
TEACHER EDUCATION SCIENCE:,"KWARA STATE COLLEGE OF EDUCATION, ORO, (AFFL TO EKITI STATE UNI), KWARA STATE",ORO-DEG,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
