Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
EDUCATION & ACCOUNTING,"MICHAEL OTEDOLA COL OF PRIMARY EDUC. EPE, (AFF TO UI), LAGOS STATE",MOCPEN,Two (2) ‘A’ Level passes in Business Method and one (1) Social Science subject.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject."
EDUCATION & BIOLOGY,"MICHAEL OTEDOLA COL OF PRIMARY EDUC. EPE, (AFF TO UI), LAGOS STATE",MOCPEN,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHRISTIAN RELIGIOUS STUDIES,"MICHAEL OTEDOLA COL OF PRIMARY EDUC. EPE, (AFF TO UI), LAGOS STATE",MOCPEN,Two (2) 'A' Level passes/NCE merit in Religious Studies and one (1) other Arts subject.,"Five (5) 'O' Level credit passes or TC II merit in five (5) subjects including English Language, Religious Studies and three (3) other Arts subjects.",Two (2) Arts subject including Religious studies and one (1) other subject.
EDUCATION & COMPUTER SCIENCE,"MICHAEL OTEDOLA COL OF PRIMARY EDUC. EPE, (AFF TO UI), LAGOS STATE",MOCPEN,Two (2) ‘A’ Level passes including Physics or Chemistry.,"Five (5) SSC credit passes or its equivalents including Mathematics, English Language and three (3) other Science subjects.","Mathematics, Physics and one of Biology, Chemistry and Geography."
EDUCATION & ECONOMICS,"MICHAEL OTEDOLA COL OF PRIMARY EDUC. EPE, (AFF TO UI), LAGOS STATE",MOCPEN,"(i) Two (2) 'A' Level passes in Economics and one (1) other relevant subject.

(ii) NCE merit/credit in Economics and one (1) other subject.","Five (5) 'O' Level credit passes to include English Language, Economics and Mathematics.","Economics, Mathematics and one (1) other subject from Geography/Physics, History, Government and Literature in English."
EDUCATION & ENGLISH LANGUAGE,"MICHAEL OTEDOLA COL OF PRIMARY EDUC. EPE, (AFF TO UI), LAGOS STATE",MOCPEN,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & FRENCH,"MICHAEL OTEDOLA COL OF PRIMARY EDUC. EPE, (AFF TO UI), LAGOS STATE",MOCPEN,Two (2) 'A' Level passes/NCE merit in French and one(1) other Arts subject.,Five (5) SSC credit passes to include English Language and French.,French plus two (2) other Arts subjects.
EDUCATION & INTEGRATED SCIENCE,"MICHAEL OTEDOLA COL OF PRIMARY EDUC. EPE, (AFF TO UI), LAGOS STATE",MOCPEN,"(i) NCE Integrated         Science

 

(ii)   NCE Science

       Education

 

(iii)  'A' Level         passes in two (2)Science subjects","Five (5) SSC credit passes including Biology, Chemistry, English Language and Mathematics","Any three (3) of Mathematics, Chemistry, Physics, Biology and Agricultural Science."
EDUCATION & ISLAMIC STUDIES,"MICHAEL OTEDOLA COL OF PRIMARY EDUC. EPE, (AFF TO UI), LAGOS STATE",MOCPEN,"(i) NCE merit in Islamic Studies and Education.

 

(ii) 'A' Level passes in Arabic/ Islamic Studies and any other relevant subject.","Five (5) SSC credit passes including English Language, Islamic Studies and three (3) other relevant subjects.",Islamic Studies/Arabic and two (2) other Social Science or Arts subjects.
EDUCATION & MATHEMATICS,"MICHAEL OTEDOLA COL OF PRIMARY EDUC. EPE, (AFF TO UI), LAGOS STATE",MOCPEN,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
