Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
BUSINESS EDUCATION,"NIGER STATE COLLEGE OF EDUCATION, MINNA (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",NSCOE,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
EDUCATION AND ARABIC,"NIGER STATE COLLEGE OF EDUCATION, MINNA (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",NSCOE,Two (2) 'A' Level passes or NCE in relevant subjects including Arabic.,Five (5) 'O' Level credit passes in relevant subjects including English Language and Arabic.,Arabic and any two (2) relevant Arts/Social Science subjects.
EDUCATION AND BIOLOGY,"NIGER STATE COLLEGE OF EDUCATION, MINNA (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",NSCOE,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION AND CHRISTIAN RELIGIOUS STUDIES,"NIGER STATE COLLEGE OF EDUCATION, MINNA (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",NSCOE,Two (2) 'A' Level passes/NCE merit in Religious Studies and one (1) other Arts subject.,"Five (5) 'O' Level credit passes or TC II merit in five (5) subjects including English Language, Religious Studies and three (3) other Arts subjects.",Two (2) Arts subject including Religious studies and one (1) other subject.
EDUCATION AND ENGLISH LANGUAGE,"NIGER STATE COLLEGE OF EDUCATION, MINNA (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",NSCOE,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION AND HAUSA,"NIGER STATE COLLEGE OF EDUCATION, MINNA (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",NSCOE,Two (2) 'A' Level passes in relevant subjects to include Hausa.,Five (5) 'O' Level credit passes to include English Language and Hausa.,"Hausa, one (1) Arts and one (1) subject from Economics, French, Geography/Physics, Government, History, Islamic Studies, Literature in English and Mathematics."
EDUCATION AND HISTORY:,"NIGER STATE COLLEGE OF EDUCATION, MINNA (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",NSCOE,Two (2) NCE merit/'A' Level passes in History and one (1) other relevant Arts subject.,"Five (5) SSC credit passes in English Language, History and three (3) relevant Arts subjects.","History and any other two (2) subjects chosen from Christian Religious Studies / Islamic Studies, Literature in English, French, Yoruba, Geography/Physics, Economics, Government and Hausa."
EDUCATION AND ISLAMIC STUDIES:,"NIGER STATE COLLEGE OF EDUCATION, MINNA (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",NSCOE,"(i) NCE merit in Islamic Studies and Education.

 

(ii) 'A' Level passes in Arabic/ Islamic Studies and any other relevant subject.","Five (5) SSC credit passes including English Language, Islamic Studies and three (3) other relevant subjects.",Islamic Studies/Arabic and two (2) other Social Science or Arts subjects.
EDUCATION AND MATHEMATICS,"NIGER STATE COLLEGE OF EDUCATION, MINNA (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",NSCOE,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION AND SOCIAL STUDIES,"NIGER STATE COLLEGE OF EDUCATION, MINNA (AFFL TO AHMADU BELLO UNIVERSITY, ZARIA)",NSCOE,"(i) NCE Social Studies from recognized Colleges.

(ii)           Two (2) 'A' Level passes in relevant subjects.",Five (5) 'O' Level credit passes to include English Language plus two (2) Arts /Social Science subjects.,"Any three (3) of Christian Religious Studies, Economics, Geography/Physics, Government, History and Islamic Studies."
