Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AGRICULTURAL SCIENCE AND EDUCATION,"NIGER STATE COLLEGE OF EDUCATION, MINNA, (AFFL TO USMANU DANFODIYO UNI, SOKOTO)",NSCOE-DG,[Not Available],[Not Available],[Not Available]
BUSINESS EDUCATION,"NIGER STATE COLLEGE OF EDUCATION, MINNA, (AFFL TO USMANU DANFODIYO UNI, SOKOTO)",NSCOE-DG,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
EDUCATION & ECONOMICS,"NIGER STATE COLLEGE OF EDUCATION, MINNA, (AFFL TO USMANU DANFODIYO UNI, SOKOTO)",NSCOE-DG,"(i) Two (2) 'A' Level passes in Economics and one (1) other relevant subject.

(ii) NCE merit/credit in Economics and one (1) other subject.","Five (5) 'O' Level credit passes to include English Language, Economics and Mathematics.","Economics, Mathematics and one (1) other subject from Geography/Physics, History, Government and Literature in English."
EDUCATION & GEOGRAPHY,"NIGER STATE COLLEGE OF EDUCATION, MINNA, (AFFL TO USMANU DANFODIYO UNI, SOKOTO)",NSCOE-DG,"Two (2) 'A' Level passes/NCE merit which should include Geography

/Physics.","Five (5) SSC credit passes to include Geography, English Language and Mathematics.",Geography plus two (2) other Social Sciences/Arts subjects.
EDUCATION AND CHEMISTRY,"NIGER STATE COLLEGE OF EDUCATION, MINNA, (AFFL TO USMANU DANFODIYO UNI, SOKOTO)",NSCOE-DG,[Not Available],[Not Available],[Not Available]
EDUCATION AND COMPUTER SCIENCE,"NIGER STATE COLLEGE OF EDUCATION, MINNA, (AFFL TO USMANU DANFODIYO UNI, SOKOTO)",NSCOE-DG,[Not Available],[Not Available],[Not Available]
EDUCATION AND PHYSICS,"NIGER STATE COLLEGE OF EDUCATION, MINNA, (AFFL TO USMANU DANFODIYO UNI, SOKOTO)",NSCOE-DG,[Not Available],[Not Available],[Not Available]
EDUCATIONAL ADMINISTRATION & PLANNING,"NIGER STATE COLLEGE OF EDUCATION, MINNA, (AFFL TO USMANU DANFODIYO UNI, SOKOTO)",NSCOE-DG,"(i) Two (2)'A' Level passes from Literature in English, History, Christian Religious Studies/Islamic Studies, Hausa, Yoruba and Igbo with 'O' Level pass in Mathematics.

(ii)  NCE merit in the subjects listed above.","(i) Five (5)'O' Level credit passes to include English Language, Mathematics and Economics.

(ii)  Five (5) TC II merit including English Language and Mathematics.","Any three (3) of Literature In English, History, French, Geography/Physics, Economics and Mathematics."
GUIDANCE & COUNSELLING,"NIGER STATE COLLEGE OF EDUCATION, MINNA, (AFFL TO USMANU DANFODIYO UNI, SOKOTO)",NSCOE-DG,'A' Level passes or NCE in two (2) subjects plus the UTME requirements.,Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language with 'O' Level pass in Mathematics.,Any three (3) subjects.
PRIMARY EDUCATION,"NIGER STATE COLLEGE OF EDUCATION, MINNA, (AFFL TO USMANU DANFODIYO UNI, SOKOTO)",NSCOE-DG,Two (2) 'A' Level passes chosen from relevant subjects.,Five (5) 'O' Level credit passes including English Language.,Any three (3) subjects.
