Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
BUSINESS EDUCATION,"YABA COLLEGE OF TECHNOLOGY, YABA, LAGOS STATE (AFFL TO UNIV OF NIG, NSUKKA)",YABA-DEG,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
COMPUTER EDUCATION,"YABA COLLEGE OF TECHNOLOGY, YABA, LAGOS STATE (AFFL TO UNIV OF NIG, NSUKKA)",YABA-DEG,"i. Two (2)'A' Level passes or its equivalents in Physics and Mathematics.

ii. ND in Computer Science

iii.  NCE distinction credit or merit in Computer Education or Physics or Mathematics","Five (5) SSC credit passes including Mathematics, English Language, Physics, Chemistry and Biology.","Mathematics, Economics/ Commerce plus one (1) of Chemistry/Physics/Biology"
EDUCATION & BIOLOGY,"YABA COLLEGE OF TECHNOLOGY, YABA, LAGOS STATE (AFFL TO UNIV OF NIG, NSUKKA)",YABA-DEG,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"YABA COLLEGE OF TECHNOLOGY, YABA, LAGOS STATE (AFFL TO UNIV OF NIG, NSUKKA)",YABA-DEG,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & INTEGRATED SCIENCE,"YABA COLLEGE OF TECHNOLOGY, YABA, LAGOS STATE (AFFL TO UNIV OF NIG, NSUKKA)",YABA-DEG,"(i) NCE Integrated         Science

 

(ii)   NCE Science

       Education

 

(iii)  'A' Level         passes in two (2)Science subjects","Five (5) SSC credit passes including Biology, Chemistry, English Language and Mathematics","Any three (3) of Mathematics, Chemistry, Physics, Biology and Agricultural Science."
EDUCATION & MATHEMATICS,"YABA COLLEGE OF TECHNOLOGY, YABA, LAGOS STATE (AFFL TO UNIV OF NIG, NSUKKA)",YABA-DEG,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION & PHYSICS,"YABA COLLEGE OF TECHNOLOGY, YABA, LAGOS STATE (AFFL TO UNIV OF NIG, NSUKKA)",YABA-DEG,"(i)  Two (2) 'A' Level passes in Physics and Mathematics.

(ii) NCE credit/merit in relevant subjects.","Five (5) 'O' Level credits passes to include English Language, Physics, Mathematics and two (2) other Science subjects or NTC/NBC.","Physics, Mathematics or Chemistry plus one (1) other subjects."
EDUCATION FINE ART,"YABA COLLEGE OF TECHNOLOGY, YABA, LAGOS STATE (AFFL TO UNIV OF NIG, NSUKKA)",YABA-DEG,"(i)    NCE merit in Fine and Applied Arts Double Major.

(ii)'A' Level passes in Fine Arts and any other subject.",Five (5) 'O' Level credit passes or TC II or NTC/NBC merit including Fine Art and English Language.,"Fine Arts, one (1) other Arts subject and any other subject."
HOME ECONOMICS & EDUCATION,"YABA COLLEGE OF TECHNOLOGY, YABA, LAGOS STATE (AFFL TO UNIV OF NIG, NSUKKA)",YABA-DEG,"(i)    NCE merit in Home Economics

(ii) 'A' Level passes in two (2) of Chemistry or any Biology, Botany and Agricultural Science.

(iii) ND/HND credit in Home Economics or Food Science or Hotel and Catering Management or any other related programme","Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language, Mathematics, Home Economics, Biology and Chemistry.","Chemistry, Biology or Agricultural Science and one (1) other subject."
INDUSTRIAL EDUCATION TECHNOLOGY,"YABA COLLEGE OF TECHNOLOGY, YABA, LAGOS STATE (AFFL TO UNIV OF NIG, NSUKKA)",YABA-DEG,"(i)    Two (2) 'A' Level passes in Physics and Mathematics.

(ii)   ND lower credit in Civil Engineering, Production/Electrical Engineering.

(iii)    Final City and Guilds or its equivalent plus National Technical Certificate.

(iv) NCE credit  in Technical Education plus 'O' Level credit passes in Physics or Mathematics.",Five (5) 'O' Level credit passes to include Physics or Mathematics.,"Mathematics, Physics and one (1) other Science subject."
INDUSTRIAL TECHNICAL EDUCATION,"YABA COLLEGE OF TECHNOLOGY, YABA, LAGOS STATE (AFFL TO UNIV OF NIG, NSUKKA)",YABA-DEG,"(i)    Two (2) 'A' Level passes in Physics and Mathematics.

(ii)   ND lower credit in Civil Engineering, Production/Electrical Engineering.

(iii)    Final City and Guilds or its equivalent plus National Technical Certificate.

(iv) NCE credit  in Technical Education plus 'O' Level credit passes in Physics or Mathematics.",Five (5) 'O' Level credit passes to include Physics or Mathematics.,"Mathematics, Physics and one (1) other Science subject."
STATISTICS EDUCATION,"YABA COLLEGE OF TECHNOLOGY, YABA, LAGOS STATE (AFFL TO UNIV OF NIG, NSUKKA)",YABA-DEG,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
