Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
ANATOMY,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
BANKING AND FINANCE,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
BIOCHEMISTRY,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOMEDICAL ENGINEERING,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"Two (2) 'A' Level passes in Chemistry and any one of Physics, Biology/ Zoology/Botany and Mathematics.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Physics, Chemistry and Biology."
BOTANY,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
CHEMISTRY,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
CIVIL AND ENVIRONMENTAL ENGINEERING,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,[Not Available],[Not Available],[Not Available]
COMPUTER ENGINEERING,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"Three (3) 'A' Level passes in Pure Mathematics or Pure and Applied Mathematics, Chemistry and Physics.","Five (5) SSC credit passes to include Mathematics, Further Mathematics, Chemistry, Physics and 

English Language.","Mathematics, Physics and Chemistry."
COMPUTER SCIENCE & INFORMATION TECHNOLOGY,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CRIMINOLOGY & SECURITY STUDIES,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
DOCTOR OF PHARMACY,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,[Not Available],[Not Available],[Not Available]
DOCTOR OF PHYSIOTHERAPY,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,[Not Available],[Not Available],[Not Available]
ECONOMICS,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
EDUCATION AND BIOLOGY,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,[Not Available],[Not Available],[Not Available]
EDUCATION AND CHEMISTRY,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,[Not Available],[Not Available],[Not Available]
ELECTRICAL /ELECTRONICS ENGINEERING,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"Two (2) 'A' Level passes in Mathematics, Physics or Chemistry","Five (5) SSC credit passes to include Mathematics, Physics, Chemistry, English Language and any other Science subject.","Mathematics, Physics and Chemistry"
GEOLOGY,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"(i) Two (2) 'A' Level passes from Geology, Chemistry, Mathematics, Physics, Biology and Geography.","Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and any other subject.","Any three (3) of Chemistry, Physics, Mathematics, Biology and Geography."
GUIDANCE AND COUNSELLING,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,[Not Available],[Not Available],[Not Available]
HEALTH INFORMATION MANAGEMENT,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,[Not Available],[Not Available],[Not Available]
INDUSTRIAL CHEMISTRY,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
INTERNATIONAL RELATIONS,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"Two (2) 'A' Level passes in Social Science subject from Government/History, Economics, Sociology and Business Management.","Five (5) SSC credit passes to include English Language, Government or History and three (3) relevant subjects.","Economics, Literature in English and Geography/Government/History."
LAW,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"Two (2)'A' Level passes in Arts or Social Science subjects.

(ii)   NCE/ND/First Degree (Second Class Lower).","Five (5)'O' Level credit passes to include English Language, Literature in English and Mathematics.",Any three (3) Arts or Social Science subjects.
LIBRARY AND INFORMATION SCIENCE,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
MATHEMATICS,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MECHANICAL ENGINEERING,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,[Not Available],[Not Available],[Not Available]
MECHATRONICS ENGINEERING,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"'A' Level passes in any two (2) of  Mathematics, Physics and Chemistry","Five (5) SSC credit passes to include Mathematics, Physics, Chemistry ,English Language and any other Science subject.","Mathematics, Chemistry and Physics."
MEDICAL LABORATORY SCIENCE,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"'A' Level passes   to include Physics, Chemistry and Biology or Zoology","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology","Physics, Chemistry and Biology"
MEDICINE AND SURGERY,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
NURSING/NURSING SCIENCE,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"(i)              'A' Level passes in any two (2) of Physics, Chemistry, Biology and Mathematics

(ii)            ND Upper Credit in Prosthesis and Orthopaedic Technology.




(i)              Two (2) 'A' Level passes in Biology/ Zoology, Chemistry and Physics plus  three (3) other 'O' Level credit passes in Mathematics, Physics and English Language.

(ii)            NRN or its approved equivalent plus five (5) 'O' Level credit passes  in English Language and four (4) Science subjects chosen from Mathematics, Physics, Chemistry, Biology, Human Anatomy, Physiology and Hygiene, Health Science, Further Mathematics and General Science.","Five (5) SSC credit passes including English Language, Physics, Mathematics, Chemistry and Biology.","Chemistry, Biology and Physics."
PHYSICS,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
PHYSICS & ENERGY STUDIES,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
PHYSICS WITH ELECTRONICS,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
PHYSIOLOGY,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"Two (2) 'A' Level passes chosen from Chemistry, Physics and Biology/Zoology.","Five (5) SSC credit passes in English Language, Maths, Physics, Chemistry and Biology.","Physics, Chemistry and Biology"
POLITICAL SCIENCE,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Government or History plus two (2) other Social Science/Arts subjects.
PROCUREMENT MANAGEMENT,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,[Not Available],[Not Available],[Not Available]
PUBLIC ADMINISTRATION,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government, Geography and Statistics.","Five (5) SSC credit passes to include English Language,              

Economics and Government. For NBC holders, the                             other relevant                             subjects could be                             from any of the                             following:  Accounting, Principles of Accounts,                             Commerce, Office           Practice and Secretarial   Duties.","Government, Economics and any other subject."
PUBLIC HEALTH,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"(i)              Two (2) 'A' Level passes in Biology/ Zoology, Chemistry and Physics plus  three (3) other 'O' Level credit passes in Mathematics, Physics and English Language.

(ii)            NRN or its approved equivalent plus five (5) 'O' Level credit passes  in English Language and four (4) Science subjects chosen from Mathematics, Physics, Chemistry, Biology, Human Anatomy, Physiology and Hygiene, Health Science, Further Mathematics and General Science.","Five (5) SSC credit passes in Mathematics, Chemistry, Biology, Physics and English Language.","Physics, Chemistry and Biology."
REMOTE SENSING AND GEOSCIENCE INFORMATION SYSTEM,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,[Not Available],[Not Available],[Not Available]
SOCIOLOGY,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Three (3) Social Science or Arts subjects.
STATISTICS,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"Two (2) 'A' Level passes to include Mathematics or Statistics.

NCE credit in relevant subjects.","Five (5) SSC credit passes to include English Language, Mathematics and at least three (3) subjects from Physics, Statistics, Chemistry, Further Mathematics, Economics and Geography.","Mathematics and any two (2) of Physics, Chemistry and Economics."
TELECOMMUNICATION ENGINEERING,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,'A' Level passes/ND and HND in relevant subjects into 200 and 300 levels.,"Five (5) SSC credit passes including English Language, Economics and Mathematics.","Mathematics, Economics and any one of Account, Commerce and Government."
ZOOLOGY,"ACHIEVERS UNIVERSITY, OWO, ONDO STATE",ACHIEVERS,"Two (2) 'A' Level passes or NCE in Biology, Zoology or Botany and one other Science subject","Five (5) SSC credit passes in English Language, Mathematics, Biology and two (2) other Science subject.","Biology and any two (2) of Physics, Chemistry and Mathematics."
