Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,Two (2) 'A' Level passes including Accounting/Commerce/Business Management or Economics.,"Five (5) SSCE credit passes including English Language, Mathematics, Accounting/Commerce/Business Management and any two (2) other relevant subjects.","Mathematics, Accounting/Business management and any other Social Science subject."
AGRICULTURAL ENGINEERING,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,"'A' Level passes in Mathematics, Physics or Chemistry","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any other Science subject.","Mathematics, Chemistry and Physics."
BIOCHEMISTRY,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE with merit  plus JAMB DE requirement.







ND with lower credit  plus JAMB DE requirement.","Five (5) SSCE credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGICAL SCIENCE(S),"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,"Two (2) 'A' Level passes to include one (1) of Botany, Zoology, Biology or Chemistry  plus JAMB DE requirement.

 

NCE with merit  plus JAMB DE requirement.







ND with lower credit  plus JAMB DE requirement.","Five (5) SSCE credit passes to include English Language, Mathematics, Chemistry, Biology and any other Science subject.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,"Two (2) 'A' Level passes including Accounting/Commerce and any other Social Science subject.

NCE with merit plus JAMB DE requirement.

ND with lower credit plus JAMB DE requirement.","Five (5) SSCE credit passes including English Language, Mathematics, Accounting/Commerce/Business Management and two (2) other relevant subjects.",Accounting/Business Management/Mathematics and any other Social Science subject.
CHEMICAL ENGINEERING,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,[Not Available],[Not Available],[Not Available]
CHEMISTRY,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,"Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology plus JAMB DE requirements.

 

NCE with merit plus JAMB DE requirements.




ND with lower credit","Five (5) SSCE credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
CIVIL ENGINEERING,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,"Two (2) 'A' Level passes in Physics, Chemistry or Mathematics plus JAMB DE requirement. 

NCE with merit plus JAMB DE requirement.

ND with lower credit plus JAMB DE requirement.","Five (5) SSCE credit passes to include Physics, Chemistry, Mathematics, English Language and one Science subject","Physics, Chemistry and Mathematics"
COMPUTER ENGINEERING,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,"Two (2) 'A' Level passes in science subjects including Mathematics.

 

NCE merit in Mathematics and one (1) other Science or Social Science subject.




ND lower credit in Computer Science or any other related area.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CYBER SECURITY,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,[Not Available],[Not Available],[Not Available]
ECONOMICS,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,"Two (2)'A' Level passes in Economics and any other Social Science subject.

NCE with merit plus JAMB DE requirement.  .

﻿ND with lower credit plus JAMB DE requirement.","Five (5)SSCE credit passes in English Language, Mathematics, Economics and any two (2) Arts or Social Science subjects.","Economics, Mathematics and any other Social Science subject."
ELECTRICAL /ELECTRONICS ENGINEERING,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,"Two (2) 'A' Level passes in Mathematics, Physics or Chemistry plus JAMB DE requirements

NCE Technical with at least merit plus JAMB DE requirements

ND lower credit in Electrical Electronics Engineering with JAMB DE requirements.","Five (5) SSCE credit passes to include Mathematics, Physics, Chemistry, English Language and any other Science subject.","Mathematics, Physics and Chemistry"
ENGLISH LANGUAGE,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,"Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject  plus JAMB DE requirement.

NCE with merit  plus JAMB DE requirement

ND with lower credit  plus JAMB DE requirement","Five (5) SSCE credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
FINANCE,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,[Not Available],[Not Available],[Not Available]
FOOD SCIENCE AND NUTRITION,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,[Not Available],[Not Available],[Not Available]
GEOPHYSICS,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,'A' Level passes in Chemistry and Physics or Mathematics.,"Five (5) SSC credit passes including English Language, Mathematics, Physics and Chemistry/Biology.","Any three (3) of Physics, Chemistry, Biology and Mathematics."
HISTORY & INTERNATIONAL STUDIES,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,"Two A'level pass in History/Government and any other related subject  plus JAMB DE requirement.

NCE with merit plus JAMB DE requirement.

ND with lower credit  plus JAMB DE requirement.","English Language, Government/History/Civic Education and any other two Social Science/Arts subjects.",Government/History and any other two from Social Science/Arts.
HUMAN ANATOMY,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics plus JAMB DE requirement.

NCE with merit plus JAMB DE requirement.

ND with lower credit plus JAMB DE requirement.","Five (5) SSCE credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
INFORMATION SYSTEMS,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,[Not Available],[Not Available],[Not Available]
LAW,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,"Two (2) 'A' Level passes in Literature in English and any other Arts or Social Science subject plus JAMB DE requirement.

First Degree/HND in any discipline plus JAMB DE requirement.","Five (5)'O' Level credit passes to include English Language, Literature in English and Mathematics.",Literature in English and any two (2) Arts or Social Science subjects.
LIBRARY & INFORMATION MANAGEMENT,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,"(i) Two (2) 'A' Level passes in relevant subject plus the UTME requirements.

(ii) NCE merit in relevant subjects.","Five (5) SSC credit passes in English Language, Mathematics and three (3) other relevant Arts/Sciences/Social Sciences subjects.",Any three (3) subjects.
LIBRARY AND INFORMATION SCIENCE,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,"(i) Two (2) 'A' Level passes in relevant subje﻿cts plus the JAMB DE requirements.

(ii) NCE merit in relevant subjects plus the JAMB DE requirements. 

(III) DIPLOMA in Library Science or any Social Science Discipline which must be from a Polytechnic, Monotechnic or any specialized institution under NBTE watch.","Five (5) SSCE   credit passes in English Language, Mathematics and three (3) other relevant Arts/Sciences/Social Sciences subjects.",English and any other three (3) subjects.
LIBRARY SCIENCE,"ADELEKE UNIVERSITY, EDE, OSUN STATE",AUE,"(i) Two (2)'A' Level passes in relevant subjects.

(ii) NCE/ND in relevant subject/programmes",Five (5)SSC credit passes including English Language and Mathematics.,Any three (3) Arts or Social Science subjects
