Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"AFE BABALOLA UNIVERSITY, ADO-EKITI, EKITI STATE",ABUAD,Two (2)'A' Level passes including Mathematics,"FIVE O LEVEL CREDIT PASSES IN ENGLISH, MATHS, FINANCIAL ACCOUNTING/ECONOMICS/COMMERCE/BOOK KEEPING ANY TWO ARTS OR SOCIAL SCIENCE SUBJECTS.","MATHS, FINANCIAL ACCOUNTING/ECONOMICS/COMMERCE/BOOK KEEPING AND ANY SOCIAL SCIENCE SUBJECT"
AERONAUTIC & ASTRONAUTIC ENGINEERING,"AFE BABALOLA UNIVERSITY, ADO-EKITI, EKITI STATE",ABUAD,"'A' Level passes in any two (2) of  Mathematics, Physics and Chemistry","'A' Level passes in any two (2) of  Mathematics, Physics and Chemistry","Mathematics, Chemistry and Physics."
AGRICULTURAL ENGINEERING,"AFE BABALOLA UNIVERSITY, ADO-EKITI, EKITI STATE",ABUAD,'A' Level passes or equivalent in Physics and Mathematics.,"Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any from Introduction to Agricultural Science, Materials and Workshop Process and Machining, Tractor Layout Power Unit Under Carriage and Auto Electricity; Transmission System; Implement and Machine; Principles of Crop Husbandry and Land Use, Materials and Workshop Processes; Construction and Maintenance of Agricultural Machines; general Metal Work; General Wood Work and Building/Engineering Drawing.","Mathematics, Chemistry and Physics."
AGRICULTURE SCIENCE,"AFE BABALOLA UNIVERSITY, ADO-EKITI, EKITI STATE",ABUAD,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ARCHITECTURE,"AFE BABALOLA UNIVERSITY, ADO-EKITI, EKITI STATE",ABUAD,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

(ii)  ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
BANKING & FINANCE,"AFE BABALOLA UNIVERSITY, ADO-EKITI, EKITI STATE",ABUAD,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"AFE BABALOLA UNIVERSITY, ADO-EKITI, EKITI STATE",ABUAD,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOMEDICAL ENGINEERING,"AFE BABALOLA UNIVERSITY, ADO-EKITI, EKITI STATE",ABUAD,"Two (2) 'A' Level passes in Chemistry and any one of Physics, Biology/ Zoology/Botany and Mathematics.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Physics, Chemistry and Biology."
BIOTECHNOLOGY,"AFE BABALOLA UNIVERSITY, ADO-EKITI, EKITI STATE",ABUAD,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"AFE BABALOLA UNIVERSITY, ADO-EKITI, EKITI STATE",ABUAD,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
