Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.","Mathematics, Economics plus any Social Science subject."
BIOCHEMISTRY,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,[Not Available],[Not Available],[Not Available]
BUSINESS EDUCATION,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,[Not Available],[Not Available],[Not Available]
CHEMISTRY,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CYBER SECURITY,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,"Two (2) 'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies /Islamic Studies."
EDUCATION AND BIOLOGY,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,[Not Available],[Not Available],[Not Available]
EDUCATION AND CHEMISTRY,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,[Not Available],[Not Available],[Not Available]
EDUCATION AND ECONOMICS,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,[Not Available],[Not Available],[Not Available]
EDUCATION AND ENGLISH LANGUAGE,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,[Not Available],[Not Available],[Not Available]
EDUCATION AND PHYSICS,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,[Not Available],[Not Available],[Not Available]
EDUCATIONAL MANAGEMENT,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,[Not Available],[Not Available],[Not Available]
ENGLISH,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
ENTREPRENEURSHIP,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,"Two (2) 'A' Level passes to include Economics and one (1) of, Accounts, Business Management, Government, Geography or Mathematics.","Five (5) SSC credit passes to include English Language, Mathematics, Economics, one (1)Science subject and one (1)other Social Science or Commercial subject.","Economics, Mathematics and one (1) other Social Science or Commercial subject."
FORENSIC SCIENCE,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
GEOLOGY AND MINERAL SCIENCE,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,[Not Available],[Not Available],[Not Available]
GUIDANCE AND COUNSELLING,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,[Not Available],[Not Available],[Not Available]
HISTORY AND DIPLOMATIC STUDIES,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,[Not Available],[Not Available],[Not Available]
INDUSTRIAL CHEMISTRY,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

 

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
INTERNATIONAL RELATIONS,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,"Two (2) 'A' Level passes in Social Science subject from Government/History, Economics, Sociology and Business Management.","Five (5) SSC credit passes to include English Language, Government or History and three (3) relevant subjects.","Economics, Literature in English and Geography/Government/History."
MASS COMMUNICATION,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
MICROBIOLOGY,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
PHYSICS WITH ELECTRONICS,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
PLANT SCIENCE & BIOTECHNOLOGY,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
SOCIOLOGY AND CRIMINOLOGY,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
SPECIAL EDUCATION,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,[Not Available],[Not Available],[Not Available]
TAXATION,"AHMAN PATEGI UNIVERSITY, PATIGI, KWARA STATE",APU,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
