Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"ALETHEIA UNIVERSITY, AGO-IWOYE, OGUN STATE",ALETHEIA,[Not Available],[Not Available],[Not Available]
BANKING AND FINANCE,"ALETHEIA UNIVERSITY, AGO-IWOYE, OGUN STATE",ALETHEIA,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"ALETHEIA UNIVERSITY, AGO-IWOYE, OGUN STATE",ALETHEIA,[Not Available],[Not Available],[Not Available]
COMPUTER ENGINEERING,"ALETHEIA UNIVERSITY, AGO-IWOYE, OGUN STATE",ALETHEIA,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"ALETHEIA UNIVERSITY, AGO-IWOYE, OGUN STATE",ALETHEIA,[Not Available],[Not Available],[Not Available]
ECONOMICS,"ALETHEIA UNIVERSITY, AGO-IWOYE, OGUN STATE",ALETHEIA,[Not Available],[Not Available],[Not Available]
ELECTRICAL AND ELECTRONICS ENGINEERING,"ALETHEIA UNIVERSITY, AGO-IWOYE, OGUN STATE",ALETHEIA,[Not Available],[Not Available],[Not Available]
ENGLISH LANGUAGE,"ALETHEIA UNIVERSITY, AGO-IWOYE, OGUN STATE",ALETHEIA,[Not Available],[Not Available],[Not Available]
FOOD SCIENCE & TECHNOLOGY,"ALETHEIA UNIVERSITY, AGO-IWOYE, OGUN STATE",ALETHEIA,[Not Available],[Not Available],[Not Available]
INDUSTRIAL CHEMISTRY,"ALETHEIA UNIVERSITY, AGO-IWOYE, OGUN STATE",ALETHEIA,[Not Available],[Not Available],[Not Available]
INDUSTRIAL MATHEMATICS,"ALETHEIA UNIVERSITY, AGO-IWOYE, OGUN STATE",ALETHEIA,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"ALETHEIA UNIVERSITY, AGO-IWOYE, OGUN STATE",ALETHEIA,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"ALETHEIA UNIVERSITY, AGO-IWOYE, OGUN STATE",ALETHEIA,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"ALETHEIA UNIVERSITY, AGO-IWOYE, OGUN STATE",ALETHEIA,[Not Available],[Not Available],[Not Available]
PHYSICS WITH ELECTRONICS,"ALETHEIA UNIVERSITY, AGO-IWOYE, OGUN STATE",ALETHEIA,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"ALETHEIA UNIVERSITY, AGO-IWOYE, OGUN STATE",ALETHEIA,[Not Available],[Not Available],[Not Available]
TAXATION,"ALETHEIA UNIVERSITY, AGO-IWOYE, OGUN STATE",ALETHEIA,[Not Available],[Not Available],[Not Available]
