Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
ARABIC,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
BIOTECHNOLOGY,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
CRIMINOLOGY AND SECURITY STUDIES,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
DATA SCIENCE,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
ECONOMICS,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
ENGLISH LANGUAGE AND LITERARY STUDIES,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
ENTREPRENEURSHIP,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
HUMAN ANATOMY,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
HUMAN PHYSIOLOGY,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
HUMAN RESOURCE MANAGEMENT,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
INDUSTRIAL MATHEMATICS,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
ISLAMIC STUDIES,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
LAW,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
MEDICAL LABORATORY SCIENCE,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
MEDICINE & SURGERY,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
PEACE STUDIES AND CONFLICT RESOLUTION,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
PETROLEUM CHEMISTRY,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
PHYSICS WITH ELECTRONICS,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
PROCUREMENT MANAGEMENT,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
PUBLIC HEALTH,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"AL-ANSAR UNIVERSITY, MAIDUGURI, BORNO STATE",AL-ANSAR,[Not Available],[Not Available],[Not Available]
