Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ARABIC,"AL-ISTIQAMA UNIVERSITY, SUMAILA, KANO STATE",ISTIQAMA,[Not Available],[Not Available],[Not Available]
BIOTECHNOLOGY,"AL-ISTIQAMA UNIVERSITY, SUMAILA, KANO STATE",ISTIQAMA,[Not Available],[Not Available],[Not Available]
COMMUNITY HEALTH,"AL-ISTIQAMA UNIVERSITY, SUMAILA, KANO STATE",ISTIQAMA,[Not Available],[Not Available],[Not Available]
CRIMINOLOGY AND SECURITY STUDIES,"AL-ISTIQAMA UNIVERSITY, SUMAILA, KANO STATE",ISTIQAMA,[Not Available],[Not Available],[Not Available]
ENGLISH LANGUAGE,"AL-ISTIQAMA UNIVERSITY, SUMAILA, KANO STATE",ISTIQAMA,[Not Available],[Not Available],[Not Available]
ENVIRONMENTAL HEALTH SCIENCE,"AL-ISTIQAMA UNIVERSITY, SUMAILA, KANO STATE",ISTIQAMA,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS,"AL-ISTIQAMA UNIVERSITY, SUMAILA, KANO STATE",ISTIQAMA,[Not Available],[Not Available],[Not Available]
PEACE AND CONFLICT RESOLUTION,"AL-ISTIQAMA UNIVERSITY, SUMAILA, KANO STATE",ISTIQAMA,[Not Available],[Not Available],[Not Available]
SHARI&sq;AH,"AL-ISTIQAMA UNIVERSITY, SUMAILA, KANO STATE",ISTIQAMA,[Not Available],[Not Available],[Not Available]
SOCIOLOGY,"AL-ISTIQAMA UNIVERSITY, SUMAILA, KANO STATE",ISTIQAMA,[Not Available],[Not Available],[Not Available]
