Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"AMERICAN UNIVERSITY OF NIGERIA, YOLA, ADAMAWA STATE",AUN,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
BUSINESS ADMINISTRATION,"AMERICAN UNIVERSITY OF NIGERIA, YOLA, ADAMAWA STATE",AUN,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
CHEMICAL ENGINEERING,"AMERICAN UNIVERSITY OF NIGERIA, YOLA, ADAMAWA STATE",AUN,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CIVIL ENGINEERING,"AMERICAN UNIVERSITY OF NIGERIA, YOLA, ADAMAWA STATE",AUN,[Not Available],[Not Available],[Not Available]
COMPUTER ENGINEERING,"AMERICAN UNIVERSITY OF NIGERIA, YOLA, ADAMAWA STATE",AUN,"Three (3) 'A' Level passes in Pure Mathematics or Pure and Applied Mathematics, Chemistry and Physics.","Five (5) SSC credit passes to include Mathematics, Further Mathematics, Chemistry, Physics and 

English Language.","Mathematics, Physics and Chemistry."
COMPUTER SCIENCE,"AMERICAN UNIVERSITY OF NIGERIA, YOLA, ADAMAWA STATE",AUN,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CONSERVATION BIOLOGY,"AMERICAN UNIVERSITY OF NIGERIA, YOLA, ADAMAWA STATE",AUN,"Two (2) 'A' Level passes or NCE in Biology, Zoology or Botany and one other Science subject","Five (5) SSC credit passes in English Language, Mathematics, Biology and two (2) other Science subject.","Biology and any two (2) of Physics, Chemistry and Mathematics."
DATA SCIENCE & ANALYTICS,"AMERICAN UNIVERSITY OF NIGERIA, YOLA, ADAMAWA STATE",AUN,"i)      Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"AMERICAN UNIVERSITY OF NIGERIA, YOLA, ADAMAWA STATE",AUN,"Two (2) ‘A’ Level passes in Economics and any one (1) of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and CRS/IS."
ELECTRICAL /ELECTRONICS ENGINEERING,"AMERICAN UNIVERSITY OF NIGERIA, YOLA, ADAMAWA STATE",AUN,"Two (2) 'A' Level passes in Mathematics, Physics or Chemistry","Five (5) SSC credit passes to include Mathematics, Physics, Chemistry, English Language and any other Science subject.","Mathematics, Physics and Chemistry"
