Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"AVE-MARIA UNIVERSITY, PIYANKO, NASARAWA STATE",AVE-MARIA,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.","Mathematics, Economics plus any Social Science subject."
BIOCHEMISTRY,"AVE-MARIA UNIVERSITY, PIYANKO, NASARAWA STATE",AVE-MARIA,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"AVE-MARIA UNIVERSITY, PIYANKO, NASARAWA STATE",AVE-MARIA,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"AVE-MARIA UNIVERSITY, PIYANKO, NASARAWA STATE",AVE-MARIA,Two (2) 'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
COMPUTER SCIENCE,"AVE-MARIA UNIVERSITY, PIYANKO, NASARAWA STATE",AVE-MARIA,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CRIMINOLOGY & SECURITY STUDIES,"AVE-MARIA UNIVERSITY, PIYANKO, NASARAWA STATE",AVE-MARIA,"Two (2) 'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies /Islamic Studies."
CYBER SECURITY,"AVE-MARIA UNIVERSITY, PIYANKO, NASARAWA STATE",AVE-MARIA,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"AVE-MARIA UNIVERSITY, PIYANKO, NASARAWA STATE",AVE-MARIA,"Two (2) 'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies /Islamic Studies."
ENTREPRENEURIAL STUDIES,"AVE-MARIA UNIVERSITY, PIYANKO, NASARAWA STATE",AVE-MARIA,"Two (2) 'A' Level passes to include Economics and one (1) of, Accounts, Business Management, Government, Geography or Mathematics.","Five (5) SSC credit passes to include English Language, Mathematics, Economics, one (1)Science subject and one (1)other Social Science or Commercial subject.","Economics, Mathematics and one (1) other Social Science or Commercial subject."
FORENSIC SCIENCE,"AVE-MARIA UNIVERSITY, PIYANKO, NASARAWA STATE",AVE-MARIA,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
