Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
AVIATION MANAGEMENT,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
AVIATION SECURITY,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
BIOTECHNOLOGY,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
BUSINESS MANAGEMENT,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
DATA SCIENCE,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
ECONOMICS,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
ENTREPRENEURSHIP,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
ENVIRONMENTAL HEALTH SCIENCE,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
HEALTH CARE ADMINISTRATION AND HOSPITAL MANAGEMENT,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
HEALTH INFORMATION MANAGEMENT,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
PROCUREMENT MANAGEMENT,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
PUBLIC ADMINISTRATION,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
PUBLIC HEALTH,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"AZMAN UNIVERSITY, KANO, KANO STATE",AZMAN,[Not Available],[Not Available],[Not Available]
