Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"BABA AHMED UNIVERSITY, KANO, KANO STATE",BAUK,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"BABA AHMED UNIVERSITY, KANO, KANO STATE",BAUK,[Not Available],[Not Available],[Not Available]
BIOLOGY,"BABA AHMED UNIVERSITY, KANO, KANO STATE",BAUK,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"BABA AHMED UNIVERSITY, KANO, KANO STATE",BAUK,[Not Available],[Not Available],[Not Available]
CHEMISTRY,"BABA AHMED UNIVERSITY, KANO, KANO STATE",BAUK,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"BABA AHMED UNIVERSITY, KANO, KANO STATE",BAUK,[Not Available],[Not Available],[Not Available]
ECONOMICS,"BABA AHMED UNIVERSITY, KANO, KANO STATE",BAUK,[Not Available],[Not Available],[Not Available]
ENTREPRENEURSHIP,"BABA AHMED UNIVERSITY, KANO, KANO STATE",BAUK,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATION,"BABA AHMED UNIVERSITY, KANO, KANO STATE",BAUK,[Not Available],[Not Available],[Not Available]
PHYSICS WITH ELECTRONICS,"BABA AHMED UNIVERSITY, KANO, KANO STATE",BAUK,[Not Available],[Not Available],[Not Available]
POLITICAL SCIENCE,"BABA AHMED UNIVERSITY, KANO, KANO STATE",BAUK,[Not Available],[Not Available],[Not Available]
PUBLIC ADMINISTRATION,"BABA AHMED UNIVERSITY, KANO, KANO STATE",BAUK,[Not Available],[Not Available],[Not Available]
SOCIOLOGY,"BABA AHMED UNIVERSITY, KANO, KANO STATE",BAUK,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"BABA AHMED UNIVERSITY, KANO, KANO STATE",BAUK,[Not Available],[Not Available],[Not Available]
