Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"BELLS UNIVERSITY OF TECHNOLOGY, OTA, OGUN STATE",BELLS,"Two (2) A' Level passes in any two of Accounting, Economics, Geography and Mathematics.

ND/HND  with minimum of Lower Credit in a related field from recognized Institutions (Banking and Finance, Accounting, Business Administration, Marketing, Insurance, Management, Statistics ) are eligible","Five (5) O' Level Credits at one or two sittings which must include English Language, Mathematics, Economics  and any other two (2) Science/Social Science  subjects.","English Language, Mathematics, Economics and any other Social Science  or Science subject"
AGRICULTURAL AND BIO-RESOURCES ENGINEERING,"BELLS UNIVERSITY OF TECHNOLOGY, OTA, OGUN STATE",BELLS,"A' Level passes in Science subjects including Mathematics and Physics/Chemistry

NCE (technical) with at least Credit in Mathematics, Physics and one other Science Subject

ND in any Engineering course/Food Science and Technology with minimum of credit level from a recognized Polytechnic may be admitted into 200 Level

HND in Agricultural/Civil/Mechanical/Food Engineering with at least Lower Credit from a recognized Polytechnic may be admitted into 3oo Level","Five (5 )O' Level Credits including English Language, Mathematics, Physics, Chemistry plus one other Science or Social Science Subject","English Language, Mathematics, Physics and Chemistry"
AGRICULTURE,"BELLS UNIVERSITY OF TECHNOLOGY, OTA, OGUN STATE",BELLS,"Two A' Level passes including Biology and any of Agricultural Science, Chemistry or Geography

OND/HND/NCE- Lower Credit in Agricultural Science, Biology (Botany, and Zoology), Chemistry and related discipline may be admitted into 200 Level","Five (5) O' Level Credits at one or two sittings to include English Language, Mathematics, Biology/Agricultural Science, Chemistry and Physics","English Language, Biology/Agricultural Science, Chemistry, Physics/Mathematics"
APPLIED MATHEMATICS,"BELLS UNIVERSITY OF TECHNOLOGY, OTA, OGUN STATE",BELLS,"A' Level passes(graded A-E) in subjects to include Mathematics.





OND holders in Mathematics, Statistics or any related Courses with at least Upper Credit including may be admitted into 200 Level","Five (5) Credit passes in SSCE (or its equivalent) at one or two sittings which must include English Language, Mathematics, and any  three (3) other  subjects  from Physics, Chemistry, Biology, Agricultural Science, Geography, Computer Science, Economics, Further Mathematics and any other Science subject","English Language, Mathematics and any two (2) from Physics, Chemistry, Geography and Biology."
ARCHITECTURE,"BELLS UNIVERSITY OF TECHNOLOGY, OTA, OGUN STATE",BELLS,"A' Level passes chosen from Mathematics, Physics and any of Chemistry, Geography, Fine Arts, Graphic Design, and Economics with minimum of 9 points.

National Diploma in Architectural Technology with at least an Upper Credit from a recognized Polytechnic with adequate O' Level requirement as stated may be admitted into 200 Level

HND in Architectural Technology with at least a Lower Credit from a recognized Polytechnic with adequate O' Level requirement as stated may be admitted into 200 Level.

Candidate with adequate requirements from any recognized University with presentation of good transcript with adequate O' Level requirements as stated may be admitted into 200 Level.

HND in Architectural Technology with at least an Upper Credit from a recognized Polytechnic with adequate O' Level requirement as stated may be admitted into 300 Level.","Five (5) O' Level Credits in not more than two sittings in English, Mathematics, Physics and two other (Science or Social Science) subjects from the following; Technical Drawing, Economics, Geography, Chemistry and Fine Art.

Preference will be given to Candidates with a credit in Technical Drawing or Fine Art.","English Language, Physics, Mathematics, and any of Chemistry, Geography,  Fine Art, and Economics."
BANKING & FINANCE,"BELLS UNIVERSITY OF TECHNOLOGY, OTA, OGUN STATE",BELLS,"Two (2)'A' Level passes in any two of Accounting, Economics, Geography, Mathematics and Banking Management.

ND/HND  with minimum of Lower Credit from a recognized institution in related fields (Banking and Finance, Accounting, Business Administration, Marketing, Insurance, Management, Statistics)  are eligible","Five O' Level Credits at one or two sittings which must include English Language, Mathematics, Economics  and any other two science/social science subjects","Economics, Mathematics, English language and any other Social Science  or Science subject"
BIOCHEMISTRY,"BELLS UNIVERSITY OF TECHNOLOGY, OTA, OGUN STATE",BELLS,"A' Level passes in Biology and Physics/Chemistry

 

ND/HND at Lower Credit in Chemistry, Food Science and Technology and related disciplines may be admitted into 200 Level.","Five (5) O' Level Credits at one or two sittings which must include English Language, Chemistry, Mathematics, Physics and Biology.","English Language, Biology, Chemistry and Physics/Mathematics."
BIOMEDICAL ENGINEERING,"BELLS UNIVERSITY OF TECHNOLOGY, OTA, OGUN STATE",BELLS,"Two (2) 'A' Level passes in Science subjects including Mathematics and Physics.

ND/HND in any related course with at least an Upper Credit from a recognized Polytechnic

HND in related course with at least lower credit or BSc.  with Third Class may be admitted into 300 Level","Five (5) O' Level Credit  at one or two sittings which must include English Language, Mathematics, Physics, Chemistry and Biology","English Language, Physics, Chemistry and Biology/ Mathematics."
BIOTECHNOLOGY,"BELLS UNIVERSITY OF TECHNOLOGY, OTA, OGUN STATE",BELLS,"Two  (2 ) A' Level passes in Biology and any of  Chemistry, Physics/ Mathematics.

   


JUPEB with good approved results in relevant subjects


ND/HND Lower Credit in  Life Sciences ( Virology, Biochemistry, Genetics, Science Laboratory Technology  and related disciplines may be considered for admission into 200 Level.","Five  (5) O' Level Credits at one or two sittings which must include the following: Biology, Chemistry, Mathematics, English Language and  any of Physics, Geography, Agricultural Science, Economics or Food and Nutrition.

A Pass in Physics may be accepted without prejudice to passing five O' Level.","English Language, Mathematics/Physics, Chemistry and  Biology."
BUILDING TECHNOLOGY,"BELLS UNIVERSITY OF TECHNOLOGY, OTA, OGUN STATE",BELLS,"Two 'A' Level passes from Mathematics, Physics, Geography, Economics and Chemistry.

ND in the relevant areas of study with at least Lower Credit from a recognized Polytechnic.

HND with at least Lower Credit in relevant areas of study may be admitted into 300 Level","Five (5) O' Level Credits at one or two sittings to include Mathematics, English Language, Physics, Chemistry and any one of Geography, Economics/Government, Building Construction and Land Surveying, Biology, Fine Arts, Agricultural Sciences and Technical drawing.","English Language, and any three from Mathematics, Physics, Chemistry, Economics and Geography"
