Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING AND FINANCE,"BRITISH CANADIAN UNIVERSITY, KAKUM, OBUDU, CROSS RIVER STATE",BCU,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"BRITISH CANADIAN UNIVERSITY, KAKUM, OBUDU, CROSS RIVER STATE",BCU,[Not Available],[Not Available],[Not Available]
BIOTECHNOLOGY,"BRITISH CANADIAN UNIVERSITY, KAKUM, OBUDU, CROSS RIVER STATE",BCU,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"BRITISH CANADIAN UNIVERSITY, KAKUM, OBUDU, CROSS RIVER STATE",BCU,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"BRITISH CANADIAN UNIVERSITY, KAKUM, OBUDU, CROSS RIVER STATE",BCU,[Not Available],[Not Available],[Not Available]
CRIMINOLOGY AND SECURITY STUDIES,"BRITISH CANADIAN UNIVERSITY, KAKUM, OBUDU, CROSS RIVER STATE",BCU,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"BRITISH CANADIAN UNIVERSITY, KAKUM, OBUDU, CROSS RIVER STATE",BCU,[Not Available],[Not Available],[Not Available]
ECONOMICS,"BRITISH CANADIAN UNIVERSITY, KAKUM, OBUDU, CROSS RIVER STATE",BCU,[Not Available],[Not Available],[Not Available]
ENTREPRENEURSHIP STUDIES,"BRITISH CANADIAN UNIVERSITY, KAKUM, OBUDU, CROSS RIVER STATE",BCU,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"BRITISH CANADIAN UNIVERSITY, KAKUM, OBUDU, CROSS RIVER STATE",BCU,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"BRITISH CANADIAN UNIVERSITY, KAKUM, OBUDU, CROSS RIVER STATE",BCU,[Not Available],[Not Available],[Not Available]
MEDICAL LABORATORY SCIENCE,"BRITISH CANADIAN UNIVERSITY, KAKUM, OBUDU, CROSS RIVER STATE",BCU,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"BRITISH CANADIAN UNIVERSITY, KAKUM, OBUDU, CROSS RIVER STATE",BCU,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"BRITISH CANADIAN UNIVERSITY, KAKUM, OBUDU, CROSS RIVER STATE",BCU,[Not Available],[Not Available],[Not Available]
PHYSICS,"BRITISH CANADIAN UNIVERSITY, KAKUM, OBUDU, CROSS RIVER STATE",BCU,[Not Available],[Not Available],[Not Available]
PHYSIOTHERAPY,"BRITISH CANADIAN UNIVERSITY, KAKUM, OBUDU, CROSS RIVER STATE",BCU,[Not Available],[Not Available],[Not Available]
PUBLIC HEALTH,"BRITISH CANADIAN UNIVERSITY, KAKUM, OBUDU, CROSS RIVER STATE",BCU,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"BRITISH CANADIAN UNIVERSITY, KAKUM, OBUDU, CROSS RIVER STATE",BCU,[Not Available],[Not Available],[Not Available]
