Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"CANADIAN UNIVERSITY OF NIGERIA, ABUJA",CANADIAN-UNI,[Not Available],[Not Available],[Not Available]
BROADCAST JOURNALISM,"CANADIAN UNIVERSITY OF NIGERIA, ABUJA",CANADIAN-UNI,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"CANADIAN UNIVERSITY OF NIGERIA, ABUJA",CANADIAN-UNI,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"CANADIAN UNIVERSITY OF NIGERIA, ABUJA",CANADIAN-UNI,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"CANADIAN UNIVERSITY OF NIGERIA, ABUJA",CANADIAN-UNI,[Not Available],[Not Available],[Not Available]
DOCTOR OF PHYSIOTHERAPY,"CANADIAN UNIVERSITY OF NIGERIA, ABUJA",CANADIAN-UNI,[Not Available],[Not Available],[Not Available]
ECONOMICS,"CANADIAN UNIVERSITY OF NIGERIA, ABUJA",CANADIAN-UNI,[Not Available],[Not Available],[Not Available]
INFORMATION SYSTEMS,"CANADIAN UNIVERSITY OF NIGERIA, ABUJA",CANADIAN-UNI,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"CANADIAN UNIVERSITY OF NIGERIA, ABUJA",CANADIAN-UNI,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS,"CANADIAN UNIVERSITY OF NIGERIA, ABUJA",CANADIAN-UNI,[Not Available],[Not Available],[Not Available]
LOGISTICS AND SUPPLY CHAIN MANAGEMENT,"CANADIAN UNIVERSITY OF NIGERIA, ABUJA",CANADIAN-UNI,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"CANADIAN UNIVERSITY OF NIGERIA, ABUJA",CANADIAN-UNI,[Not Available],[Not Available],[Not Available]
MEDICAL LABORATORY SCIENCE,"CANADIAN UNIVERSITY OF NIGERIA, ABUJA",CANADIAN-UNI,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"CANADIAN UNIVERSITY OF NIGERIA, ABUJA",CANADIAN-UNI,[Not Available],[Not Available],[Not Available]
PUBLIC HEALTH,"CANADIAN UNIVERSITY OF NIGERIA, ABUJA",CANADIAN-UNI,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"CANADIAN UNIVERSITY OF NIGERIA, ABUJA",CANADIAN-UNI,[Not Available],[Not Available],[Not Available]
