Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"CARITAS UNIVERSITY, AMORJI-NIKE, ENUGU, ENUGU STATE",CARITAS,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
ARCHITECTURE,"CARITAS UNIVERSITY, AMORJI-NIKE, ENUGU, ENUGU STATE",CARITAS,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
BANKING & FINANCE,"CARITAS UNIVERSITY, AMORJI-NIKE, ENUGU, ENUGU STATE",CARITAS,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
BIOCHEMISTRY,"CARITAS UNIVERSITY, AMORJI-NIKE, ENUGU, ENUGU STATE",CARITAS,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"CARITAS UNIVERSITY, AMORJI-NIKE, ENUGU, ENUGU STATE",CARITAS,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
CHEMICAL ENGINEERING,"CARITAS UNIVERSITY, AMORJI-NIKE, ENUGU, ENUGU STATE",CARITAS,"'A' Level passes in Physics, Chemistry and Mathematics.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics and English Language and any other Science subject.","Mathematics, Physics and Chemistry."
COMPUTER ENGINEERING,"CARITAS UNIVERSITY, AMORJI-NIKE, ENUGU, ENUGU STATE",CARITAS,"Three (3) 'A' Level passes in Pure Mathematics or Pure and Applied Mathematics, Chemistry and Physics.","Five (5) SSC credit passes to include Mathematics, Further Mathematics, Chemistry, Physics and 

English Language.","Mathematics, Physics and Chemistry."
COMPUTER SCIENCE,"CARITAS UNIVERSITY, AMORJI-NIKE, ENUGU, ENUGU STATE",CARITAS,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"CARITAS UNIVERSITY, AMORJI-NIKE, ENUGU, ENUGU STATE",CARITAS,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ELECTRICAL /ELECTRONICS ENGINEERING,"CARITAS UNIVERSITY, AMORJI-NIKE, ENUGU, ENUGU STATE",CARITAS,"Two (2) 'A' Level passes in Mathematics, Physics or Chemistry","Five (5) SSC credit passes to include Mathematics, Physics, Chemistry, English Language and any other Science subject.","Mathematics, Physics and Chemistry"
ENGLISH LANGUAGE,"CARITAS UNIVERSITY, AMORJI-NIKE, ENUGU, ENUGU STATE",CARITAS,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
ESTATE MANAGEMENT,"CARITAS UNIVERSITY, AMORJI-NIKE, ENUGU, ENUGU STATE",CARITAS,"Two (2) ‘A’ Level passes in Mathematics, Economics, Geography, Biology and Physics.","Five (5) SSCE credit passes including Chemistry, Mathematics and English Language.","Mathematics, Economics and one other subject"
INDUSTRIAL CHEMISTRY,"CARITAS UNIVERSITY, AMORJI-NIKE, ENUGU, ENUGU STATE",CARITAS,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
INDUSTRIAL RELATIONS & PERSONNEL MANAGEMENT,"CARITAS UNIVERSITY, AMORJI-NIKE, ENUGU, ENUGU STATE",CARITAS,"Two (2) 'A' Level passes chosen from Economics, Accounting, Business Management, Government, Geography and Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics plus any two (2) subjects listed under the Direct Entry column.","Mathematics, Economics plus one (1) other subject."
MARKETING,"CARITAS UNIVERSITY, AMORJI-NIKE, ENUGU, ENUGU STATE",CARITAS,"Two (2) ‘A’ Level passes chosen from Accounting, Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics and any three (3) relevant subjects.","Mathematics, Economics plus one (1) other subject."
MASS COMMUNICATION,"CARITAS UNIVERSITY, AMORJI-NIKE, ENUGU, ENUGU STATE",CARITAS,"Two (2) ‘A’ Level passes in Literature in English, Economics or Government.","Five (5) SSC credit passes to include English Language, Literature in English and Government plus a pass in Mathematics.","Literature in English, Economics and Government."
MATHEMATICS WITH STATISTICS,"CARITAS UNIVERSITY, AMORJI-NIKE, ENUGU, ENUGU STATE",CARITAS,")       Two (2) 'A' Level passes in Mathematics and either Physics or Chemistry

(ii)           NCE merit in Mathematics and either Physics or Chemistry","Five (5) SSC credit passes to include English Language, Mathematics and at least three(3) of Physics, Chemistry, Biology and Additional/Further Mathematics.","Maths, Physics and Chemistry or Biology"
