Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"CHRISTOPHER UNIVERSITY, MOWE, OGUN STATE",CHRISTOPHER,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
BANKING & FINANCE,"CHRISTOPHER UNIVERSITY, MOWE, OGUN STATE",CHRISTOPHER,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BUSINESS ADMINISTRATION,"CHRISTOPHER UNIVERSITY, MOWE, OGUN STATE",CHRISTOPHER,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
COMPUTER SCIENCE,"CHRISTOPHER UNIVERSITY, MOWE, OGUN STATE",CHRISTOPHER,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)           NCE merit in Mathematics and one (1) other Science or Social Science subject","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography"
ECONOMICS,"CHRISTOPHER UNIVERSITY, MOWE, OGUN STATE",CHRISTOPHER,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ENGLISH LANGUAGE,"CHRISTOPHER UNIVERSITY, MOWE, OGUN STATE",CHRISTOPHER,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
HISTORY & DIPLOMATIC STUDIES,"CHRISTOPHER UNIVERSITY, MOWE, OGUN STATE",CHRISTOPHER,Two (2) 'A' Level passes/NCE (upper credit) in History/ Government and any other related subject.,"Five (5) SSC credit passes to include English Language, Geography, Government/History.",History/Government and any other two (2) subjects from the Arts and Social Sciences.
INFORMATION SCIENCE & MEDIA STUDIES,"CHRISTOPHER UNIVERSITY, MOWE, OGUN STATE",CHRISTOPHER,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)           NCE merit in Mathematics and one (1) other Science or Social Science subject","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography"
INTERNATIONAL RELATIONS,"CHRISTOPHER UNIVERSITY, MOWE, OGUN STATE",CHRISTOPHER,"Two (2) 'A' Level passes in Social Science subject from Government/History, Economics, Sociology and Business Management.","Five (5) SSC credit passes to include English Language, Government or History and three (3) relevant subjects.","Economics, Literature in English and Geography/Government/History."
LITERATURE IN ENGLISH,"CHRISTOPHER UNIVERSITY, MOWE, OGUN STATE",CHRISTOPHER,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,Five (5) SSC credit passes to include Literature in English and English Language.,"Literature in English, one other Arts subject and another Arts or Social Science subject."
MARKETING,"CHRISTOPHER UNIVERSITY, MOWE, OGUN STATE",CHRISTOPHER,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
MASS COMMUNICATION,"CHRISTOPHER UNIVERSITY, MOWE, OGUN STATE",CHRISTOPHER,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
POLITICAL SCIENCE,"CHRISTOPHER UNIVERSITY, MOWE, OGUN STATE",CHRISTOPHER,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Government or History plus two (2) other Social Science/Arts subjects.
PSYCHOLOGY,"CHRISTOPHER UNIVERSITY, MOWE, OGUN STATE",CHRISTOPHER,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Any three (3) subjects from Arts or Social Science
SOCIOLOGY,"CHRISTOPHER UNIVERSITY, MOWE, OGUN STATE",CHRISTOPHER,Two (2) 'A' Level passes including Government or History,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required",Three (3) Social Science or Arts subjects
