Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
APPLIED BIOLOGY & BIOTECHNOLOGY,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BANKING & FINANCE,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
CHEMISTRY,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
CHRISTIAN RELIGIOUS STUDIES,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,Two (2) ‘A’ Level passes/NCE to include CRS/Religious Studies.,"Five (5) SSC credit passes in English Language, CRS and three (3) other relevant subjects.",Two (2) Arts subjects including CRS and any other subject.
COMPUTER SCIENCE,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
COMPUTER SCIENCE EDUCATION,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,"i)      Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ENGLISH LANGUAGE,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
ENVIRONMENTAL HEALTH SCIENCE,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,[Not Available],[Not Available],[Not Available]
FRENCH,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,Two (2) ‘A’ Level passes including French and one other Arts subject.,Five (5) SSC credit passes including French and English Language plus one other Arts subject.,French and any other two (2) subjects from Arts and Social Sciences.
GUIDANCE AND COUNSELLING,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,[Not Available],[Not Available],[Not Available]
HISTORY & DIPLOMATIC STUDIES,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,Two (2) 'A' Level passes/NCE (upper credit) in History/ Government and any other related subject.,"Five (5) SSC credit passes to include English Language, Geography, Government/History.",History/Government and any other two (2) subjects from the Arts and Social Sciences.
INDUSTRIAL CHEMISTRY,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
INDUSTRIAL RELATIONS AND PERSONNEL MANAGEMENT,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,[Not Available],[Not Available],[Not Available]
INFORMATION SYSTEMS,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,"i)      Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
INFORMATION TECHNOLOGY,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,"Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
INTERNATIONAL RELATIONS,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,"Two (2) 'A' Level passes in Social Science subject from Government/History, Economics, Sociology and Business Management.","Five (5) SSC credit passes to include English Language, Government or History and three (3) relevant subjects.","Economics, Literature in English and Geography/Government/History."
LAW,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,"i)    Two (2)'A' Level passes in Arts or Social Science subjects.

(ii)   NCE/ND/First Degree (Second Class Lower).","Five (5)'O' Level credit passes to include English Language, Literature in         English and Mathematics",Any three (3) Arts or Social Science subjects
LIBRARY AND INFORMATION SCIENCE,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,[Not Available],[Not Available],[Not Available]
LITERATURE IN ENGLISH,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,Five (5) SSC credit passes to include Literature in English and English Language.,"Literature in English, one other Arts subject and another Arts or Social Science subject."
MARKETING,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
MASS COMMUNICATION,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
MATHEMATICS,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MEDICAL LABORATORY SCIENCE,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
NURSING SCIENCE,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,"(i)              'A' Level passes in any two (2) of Physics, Chemistry, Biology and Mathematics

(ii)            ND Upper Credit in Prosthesis and Orthopaedic Technology.




(i)              Two (2) 'A' Level passes in Biology/ Zoology, Chemistry and Physics plus  three (3) other 'O' Level credit passes in Mathematics, Physics and English Language.

(ii)            NRN or its approved equivalent plus five (5) 'O' Level credit passes  in English Language and four (4) Science subjects chosen from Mathematics, Physics, Chemistry, Biology, Human Anatomy, Physiology and Hygiene, Health Science, Further Mathematics and General Science.","Five (5) SSC credit passes including English Language, Physics, Mathematics, Chemistry and Biology.","Chemistry, Biology and Physics."
PHYSICS,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
POLITICAL SCIENCE,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Government or History plus two (2) other Social Science/Arts subjects.
PUBLIC ADMINISTRATION,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
PUBLIC HEALTH,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,[Not Available],[Not Available],[Not Available]
SOCIAL JUSTICE,"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE",CLIFFORD,[Not Available],[Not Available],[Not Available]
