Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"COSMOPOLITAN UNIVERSITY, FCT, ABUJA",COSMOPOLITAN,[Not Available],[Not Available],[Not Available]
BUSINESS MANAGEMENT,"COSMOPOLITAN UNIVERSITY, FCT, ABUJA",COSMOPOLITAN,[Not Available],[Not Available],[Not Available]
COMPUTER ENGINEERING,"COSMOPOLITAN UNIVERSITY, FCT, ABUJA",COSMOPOLITAN,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"COSMOPOLITAN UNIVERSITY, FCT, ABUJA",COSMOPOLITAN,[Not Available],[Not Available],[Not Available]
CRIMINOLOGY AND SECURITY STUDIES,"COSMOPOLITAN UNIVERSITY, FCT, ABUJA",COSMOPOLITAN,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"COSMOPOLITAN UNIVERSITY, FCT, ABUJA",COSMOPOLITAN,[Not Available],[Not Available],[Not Available]
ECONOMICS,"COSMOPOLITAN UNIVERSITY, FCT, ABUJA",COSMOPOLITAN,[Not Available],[Not Available],[Not Available]
ELECTRICAL AND ELECTRONICS ENGINEERING,"COSMOPOLITAN UNIVERSITY, FCT, ABUJA",COSMOPOLITAN,[Not Available],[Not Available],[Not Available]
ENTREPRENEURSHIP,"COSMOPOLITAN UNIVERSITY, FCT, ABUJA",COSMOPOLITAN,[Not Available],[Not Available],[Not Available]
HEALTH INFORMATION SYSTEM,"COSMOPOLITAN UNIVERSITY, FCT, ABUJA",COSMOPOLITAN,[Not Available],[Not Available],[Not Available]
INFORMATION SYSTEM,"COSMOPOLITAN UNIVERSITY, FCT, ABUJA",COSMOPOLITAN,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS,"COSMOPOLITAN UNIVERSITY, FCT, ABUJA",COSMOPOLITAN,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"COSMOPOLITAN UNIVERSITY, FCT, ABUJA",COSMOPOLITAN,[Not Available],[Not Available],[Not Available]
PUBLIC HEALTH,"COSMOPOLITAN UNIVERSITY, FCT, ABUJA",COSMOPOLITAN,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"COSMOPOLITAN UNIVERSITY, FCT, ABUJA",COSMOPOLITAN,[Not Available],[Not Available],[Not Available]
TELECOMMUNICATION ENGINEERING,"COSMOPOLITAN UNIVERSITY, FCT, ABUJA",COSMOPOLITAN,[Not Available],[Not Available],[Not Available]
