Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"COVENANT UNIVERSITY, CANAANLAND, OTA, OGUN STATE",COVENANT,Two (2)'A' Level passes including Economics.,"Five (5) O/L credit passes to include English Language, Mathematics, Economics, and any other two from:   Geography, Government, Account, Book keeping, Business Management, Commerce, Marketing, Business studies, Office practice, Insurance, Financial Accounting, Store Management and Type writing.","Mathematics, Economics and any other from: Geography, or Government,   Account, Book keeping, Commerce or  Financial Accounting,  Business Management, Commerce, Marketing, Business studies, Office practice, Insurance, Financial Accounting, Store Management and Type writing."
ARCHITECTURE,"COVENANT UNIVERSITY, CANAANLAND, OTA, OGUN STATE",COVENANT,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics,  and two other subjects from Fine Art, Geography Biology, Economics, Technical Drawing, Introduction to Building Construction, further maths and Land surveying.","Physics, Mathematics, and any of Chemistry, Geography, Fine Art, Biology and Economics."
BANKING AND FINANCE,"COVENANT UNIVERSITY, CANAANLAND, OTA, OGUN STATE",COVENANT,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5) O/L credit passes to include English Language, Mathematics, Economics, and any other two from:   Geography, Government, Account, Book keeping, Business Management, Commerce, Marketing, Business studies, Office practice, Insurance, Financial Accounting, Store Management and Type writing.","Mathematics, Economics and one from:  Geography, or Government,   Account, Book keeping, Commerce or  Financial Accounting,  Business Management, Commerce, Marketing, Business studies, Office practice, Insurance, Financial Accounting, Store Management and Type writing."
BIOCHEMISTRY,"COVENANT UNIVERSITY, CANAANLAND, OTA, OGUN STATE",COVENANT,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) O/L credit passes to include English Language,  Mathematics and other three from : Biology, Chemistry,  Food and Nutrition, Agricultural Science, Health/General Science or Physics.","Biology, Chemistry and Physics."
BIOLOGY,"COVENANT UNIVERSITY, CANAANLAND, OTA, OGUN STATE",COVENANT,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language,  Mathematics and other three from : Agricultural Science, Biology, Chemistry,  Food and Nutrition, Health/ General Science or Physics.","Biology, Chemistry and either Physics or Mathematics."
BUILDING,"COVENANT UNIVERSITY, CANAANLAND, OTA, OGUN STATE",COVENANT,"'A' Level passes in Mathematics, Physics and Chemistry.","Five (5) SSC credit passes in Mathematics, English Language, Physics, and two other subjects from : Chemistry, Geography, Fine Arts and Technical drawing, Building Construction, Land survey, Biology, Computer science, computer studies, data processing, integrated science, Further maths","Mathematics, Physics and any from Chemistry, Geography, Biology, Computer science, data processing, Further mathematics Integrated science or physics."
BUSINESS ADMINISTRATION,"COVENANT UNIVERSITY, CANAANLAND, OTA, OGUN STATE",COVENANT,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) O/L credit passes to include English Language, Mathematics, Economics, and any other two from:   Geography, Government, Account, Book keeping, Business Management, Commerce, Marketing, Business studies, Office practice, Insurance, Financial Accounting, Store Management and Type writing. Or Biology, chemistry, Computer science, Computer studies, Data Processing, Physics.","Mathematics, Economics and one from:  Geography, or Government,   Account, Book keeping, Commerce or  Financial Accounting,  Business Management, Commerce, Marketing, Business studies, Office practice, Insurance, Financial Accounting, Store Management and Type writing. Or Biology, chemistry, Computer science, Computer studies, Data Processing, Physics."
CHEMICAL ENGINEERING,"COVENANT UNIVERSITY, CANAANLAND, OTA, OGUN STATE",COVENANT,"'A' Level passes in Physics, Chemistry and Mathematics.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and Biology, Further Mathematics or Technical Drawing.","Mathematics, Physics and Chemistry."
CIVIL ENGINEERING,"COVENANT UNIVERSITY, CANAANLAND, OTA, OGUN STATE",COVENANT,(i) 'A' Level passes in Physics and Mathematics. (ii) ND/HND upper credit at appropriate levels.,"Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and any of Biology, Building Construction, woodwork, Further Mathematics or Technical Drawing.","Physics, Chemistry and Mathematics"
COMPUTER ENGINEERING,"COVENANT UNIVERSITY, CANAANLAND, OTA, OGUN STATE",COVENANT,"Three (3) 'A' Level passes in Pure Mathematics or Pure and Applied Mathematics, Chemistry and Physics.","Five (5) O/L credit passes to include Mathematics, Physics, Chemistry, English Language and any of Applied Electricity, Basic Electronics, Biology, Computer Studies, Information Technology, Further Mathematics or Technical Drawing..","Mathematics, Physics and Chemistry."
